round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4019519910501596,0.03044391121775645,203.0,6668.0,711.0,0.0,0.2975206611570248,0.2975206611570248,0.39669421487603307,0.5289256198347108,0.4487603305785124,0.7520661157024794,0.48194608421881147,1.0,0.05063291139240506,0.16381260096930533,507.0,2.122448979591837,0.05612714224278259,0.023545916669703484,0.0
1,0.4035915092247008,0.025144209436473896,170.0,6761.0,711.0,0.0,0.2,0.2,0.29649122807017547,0.4105263157894737,0.34438596491228074,0.6210526315789474,0.39508354218880537,1.0,0.026722925457102673,0.15574746873138773,523.0,,,,0.0
2,0.4045077105575326,0.014044943820224719,95.0,6764.0,711.0,0.0,0.2318840579710145,0.2318840579710145,0.323671497584541,0.463768115942029,0.37294685990338156,0.6811594202898551,0.41383712905452036,1.0,0.02250351617440225,0.16753782668500689,609.0,,,,0.0
3,0.4052213831746858,0.01106955871353777,74.0,6685.0,711.0,0.0,0.17543859649122806,0.17543859649122806,0.26023391812865493,0.3684210526315789,0.31286549707602335,0.5964912280701754,0.3644667223614592,1.0,0.014064697609001406,0.16827320297438722,611.0,,,,0.0
4,0.4057325270761604,0.007948410317936413,53.0,6668.0,711.0,0.0,0.14285714285714285,0.14285714285714285,0.27380952380952384,0.4523809523809524,0.3333333333333333,0.7142857142857143,0.37069160997732425,1.0,0.008438818565400843,0.16480826760946424,606.0,,,,0.0
5,0.4065137092652065,0.01208955223880597,81.0,6700.0,711.0,0.0,0.2545454545454545,0.2545454545454545,0.39090909090909093,0.6,0.4227272727272727,0.7454545454545455,0.4567604617604617,1.0,0.01969057665260197,0.16951018161805173,616.0,,,,0.0
6,0.40723702610691587,0.011096316023080338,75.0,6759.0,711.0,0.0,0.15789473684210525,0.15789473684210525,0.24561403508771928,0.3684210526315789,0.2982456140350877,0.5964912280701754,0.3560219994430521,1.0,0.012658227848101266,0.16518600777345918,595.0,,,,0.0
7,0.40785425647850787,0.009557945041816009,64.0,6696.0,711.0,0.0,0.22916666666666666,0.22916666666666666,0.2986111111111111,0.3958333333333333,0.3454861111111111,0.5833333333333334,0.40172784391534394,1.0,0.015471167369901548,0.16772941502633767,605.0,,,,0.0
8,0.4083557561554263,0.007818373176965869,52.0,6651.0,711.0,0.0,0.2,0.2,0.3208333333333333,0.5,0.35083333333333333,0.625,0.3994642857142857,1.0,0.011251758087201125,0.16828658705915023,606.0,,,,0.0
9,0.40884761160778865,0.0076611086074808476,51.0,6657.0,711.0,0.0,0.043478260869565216,0.043478260869565216,0.15942028985507245,0.30434782608695654,0.21594202898550724,0.5434782608695652,0.27813146997929605,1.0,0.0028129395218002813,0.16685052399338113,605.0,,,,0.0
10,0.4092719574882582,0.006604623236265386,44.0,6662.0,711.0,0.0,0.11428571428571428,0.11428571428571428,0.23333333333333336,0.4,0.2919047619047619,0.6571428571428571,0.3392630385487528,1.0,0.005625879043600563,0.16528239202657807,597.0,2.2867132867132867,0.05320784329183251,0.023018367870891447,0.0
11,0.409725236042396,0.00700238379022646,47.0,6712.0,711.0,0.0,0.16216216216216217,0.16216216216216217,0.25225225225225223,0.3783783783783784,0.3009009009009009,0.5945945945945946,0.35111540111540107,1.0,0.008438818565400843,0.16595059076262084,618.0,,,,0.0
