round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40109365506466454,0.016841483232382923,114.0,6769.0,711.0,0.0,0.21052631578947367,0.21052631578947367,0.3048245614035087,0.4342105263157895,0.35219298245614034,0.6447368421052632,0.4006161236424394,1.0,0.02250351617440225,0.15157894736842106,216.0,2.3076923076923075,0.0566113406849614,0.014167333486209945,0.0
1,0.4022606062359556,0.017995240928019036,121.0,6724.0,711.0,0.0,0.2328767123287671,0.2328767123287671,0.3424657534246575,0.4794520547945205,0.3924657534246575,0.6986301369863014,0.4332952815829528,1.0,0.02390998593530239,0.16210374639769454,225.0,,,,0.0
2,0.40308036532322616,0.012880739505985755,85.0,6599.0,711.0,0.0,0.16129032258064516,0.16129032258064516,0.2553763440860215,0.3870967741935484,0.31989247311827956,0.6774193548387096,0.3624615975422427,1.0,0.014064697609001406,0.1554591467823572,215.0,,,,0.0
3,0.4040447877788386,0.01473187978786093,100.0,6788.0,711.0,0.0,0.1643835616438356,0.1643835616438356,0.28538812785388123,0.4520547945205479,0.3367579908675799,0.684931506849315,0.3775603392041748,1.0,0.016877637130801686,0.14648295866569977,202.0,,,,0.0
4,0.4051152967045685,0.016547406082289804,111.0,6708.0,711.0,0.0,0.24324324324324326,0.24324324324324326,0.3288288288288288,0.44594594594594594,0.3835585585585585,0.6891891891891891,0.42527348777348783,1.0,0.02531645569620253,0.15115465360391883,216.0,,,,0.0
5,0.40632082477408404,0.018819632640770852,125.0,6642.0,711.0,0.0,0.16455696202531644,0.16455696202531644,0.2932489451476793,0.46835443037974683,0.34008438818565395,0.6708860759493671,0.3824141048824593,1.0,0.01828410689170183,0.14986187845303867,217.0,,,,0.0
6,0.4075649297418241,0.019105450236966824,129.0,6752.0,711.0,0.0,0.15476190476190477,0.15476190476190477,0.2837301587301587,0.4523809523809524,0.31765873015873014,0.5952380952380952,0.3718679138321995,1.0,0.01828410689170183,0.14163701067615658,199.0,,,,0.0
7,0.4085775733202172,0.015470752909974952,105.0,6787.0,711.0,0.0,0.14084507042253522,0.14084507042253522,0.2629107981220657,0.4225352112676056,0.30375586854460096,0.6056338028169014,0.3556114464565169,1.0,0.014064697609001406,0.15115413253909157,203.0,,,,0.0
8,0.4096866591441715,0.016889411073579087,115.0,6809.0,711.0,0.0,0.17567567567567569,0.17567567567567569,0.32657657657657657,0.5135135135135135,0.35360360360360354,0.6216216216216216,0.4038502788502788,1.0,0.01828410689170183,0.14215686274509803,203.0,,,,0.0
9,0.4106317931506717,0.014386376981796829,98.0,6812.0,711.0,0.0,0.23809523809523808,0.23809523809523808,0.37566137566137564,0.5555555555555556,0.397089947089947,0.6507936507936508,0.441036785084404,1.0,0.02109704641350211,0.14180206794682423,192.0,,,,0.0
10,0.4114322637888301,0.012399163429937257,83.0,6694.0,711.0,0.0,0.24074074074074073,0.24074074074074073,0.3888888888888889,0.5925925925925926,0.4138888888888889,0.7037037037037037,0.45587889476778365,1.0,0.01828410689170183,0.1556047197640118,211.0,2.196078431372549,0.0514932868020421,0.013285998895078279,0.0
11,0.41230024399888127,0.013323464100666173,90.0,6755.0,711.0,0.0,0.2903225806451613,0.2903225806451613,0.37365591397849457,0.5,0.4139784946236559,0.6774193548387096,0.4551651305683564,1.0,0.02531645569620253,0.14796283059328091,207.0,,,,0.0
12,0.4130621377388151,0.011643330876934414,79.0,6785.0,711.0,0.0,0.19642857142857142,0.19642857142857142,0.28273809523809523,0.4107142857142857,0.349702380952381,0.6964285714285714,0.3902210884353742,1.0,0.015471167369901548,0.14423791821561338,194.0,,,,0.0
