round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2516949724657389,0.026363091671659677,176.0,6676.0,711.0,0.0,0.2736842105263158,0.2736842105263158,0.37719298245614036,0.5052631578947369,0.41824561403508775,0.6947368421052632,0.45795321637426906,1.0,0.03656821378340366,0.16191744340878828,608.0,2.2735042735042734,0.06804771023400025,0.016347065325177962,0.0
1,0.2530258754544841,0.020541827924977673,138.0,6718.0,711.0,0.0,0.18518518518518517,0.18518518518518517,0.3292181069958848,0.5185185185185185,0.351440329218107,0.6172839506172839,0.4014452282970802,1.0,0.02109704641350211,0.15783926218708827,599.0,,,,0.0
2,0.2540192305837649,0.015500376222723853,103.0,6645.0,711.0,0.0,0.2857142857142857,0.2857142857142857,0.38888888888888884,0.5238095238095238,0.4452380952380952,0.7619047619047619,0.4766565885613504,1.0,0.02531645569620253,0.16618610747051113,634.0,,,,0.0
3,0.255031874162158,0.015662291169451073,105.0,6704.0,711.0,0.0,0.18461538461538463,0.18461538461538463,0.3487179487179487,0.5692307692307692,0.3917948717948718,0.7538461538461538,0.42299755799755795,1.0,0.016877637130801686,0.164390756302521,626.0,,,,0.0
4,0.25602522929143884,0.015334226589251154,103.0,6717.0,711.0,0.0,0.25,0.25,0.3359375,0.46875,0.38203125000000004,0.671875,0.4283916170634921,1.0,0.02250351617440225,0.1601123595505618,627.0,,,,0.0
5,0.2567871230313727,0.012009729401033748,79.0,6578.0,711.0,0.0,0.2037037037037037,0.2037037037037037,0.33641975308641975,0.5185185185185185,0.3854938271604938,0.7222222222222222,0.4196869488536155,1.0,0.015471167369901548,0.16631186801490155,625.0,,,,0.0
6,0.25760688211864324,0.012613147351239057,85.0,6739.0,711.0,0.0,0.1724137931034483,0.1724137931034483,0.2672413793103448,0.3793103448275862,0.3146551724137931,0.5862068965517241,0.3683497536945813,1.0,0.014064697609001406,0.16357370095440085,617.0,,,,0.0
7,0.2583687758585771,0.011740228860157527,79.0,6729.0,711.0,0.0,0.14285714285714285,0.14285714285714285,0.24107142857142858,0.35714285714285715,0.2883928571428571,0.5714285714285714,0.3445223922902495,1.0,0.011251758087201125,0.16212642158159218,613.0,,,,0.0
8,0.2591113811493987,0.011460038696234558,77.0,6719.0,711.0,0.0,0.21153846153846154,0.21153846153846154,0.30128205128205127,0.40384615384615385,0.3435897435897436,0.5769230769230769,0.3985119047619048,1.0,0.015471167369901548,0.163302752293578,623.0,,,,0.0
9,0.25984434221566416,0.011282660332541567,76.0,6736.0,711.0,0.0,0.1896551724137931,0.1896551724137931,0.27586206896551724,0.39655172413793105,0.3155172413793103,0.5689655172413793,0.37324849480021893,1.0,0.015471167369901548,0.16466683686494765,645.0,,,,0.0
10,0.26057730328192963,0.011450956757571192,76.0,6637.0,711.0,0.0,0.3191489361702128,0.3191489361702128,0.41134751773049644,0.5319148936170213,0.45815602836879427,0.7446808510638298,0.49056062141168527,1.0,0.02109704641350211,0.16455361859482304,623.0,2.3421052631578947,0.06462877911763229,0.015852481799713436,0.0
11,0.2612331105517461,0.010143198090692125,68.0,6704.0,711.0,0.0,0.19148936170212766,0.19148936170212766,0.2978723404255319,0.44680851063829785,0.348936170212766,0.6808510638297872,0.3910081053698075,1.0,0.012658227848101266,0.15793508816764631,618.0,,,,0.0
12,0.2619757158425677,0.01150799581527425,77.0,6691.0,711.0,0.0,0.23076923076923078,0.23076923076923078,0.33974358974358976,0.4807692307692308,0.4022435897435897,0.75,0.4351648351648351,1.0,0.016877637130801686,0.16587427363972532,628.0,,,,0.0
13,0.262621878887828,0.010156131574958314,67.0,6597.0,711.0,0.0,0.1568627450980392,0.1568627450980392,0.28431372549019607,0.49019607843137253,0.30588235294117644,0.5882352941176471,0.359360410830999,1.0,0.011251758087201125,0.16341077085533262,619.0,,,,0.0
14,0.2632294650348639,0.009456619633743621,63.0,6662.0,711.0,0.0,0.26666666666666666,0.26666666666666666,0.34074074074074073,0.4444444444444444,0.3907407407407407,0.6666666666666666,0.43851851851851853,1.0,0.016877637130801686,0.1643979057591623,628.0,,,,0.0
15,0.2638756280801242,0.010034446607757975,67.0,6677.0,711.0,0.0,0.13725490196078433,0.13725490196078433,0.24509803921568626,0.39215686274509803,0.3078431372549019,0.6666666666666666,0.3482103952692188,1.0,0.009845288326300985,0.16758457907159716,639.0,,,,0.0
16,0.2642228201641447,0.005359535506922733,36.0,6717.0,711.0,0.0,0.25,0.25,0.3095238095238095,0.39285714285714285,0.3577380952380952,0.6071428571428571,0.40593820861678004,1.0,0.009845288326300985,0.1616187325019089,635.0,,,,0.0
17,0.26489791588307343,0.010435301132975552,70.0,6708.0,711.0,0.0,0.1590909090909091,0.1590909090909091,0.26515151515151514,0.4090909090909091,0.30037878787878786,0.5681818181818182,0.3585948773448773,1.0,0.009845288326300985,0.16156418832004116,628.0,,,,0.0
18,0.26538012711087966,0.007416196974191634,50.0,6742.0,711.0,0.0,0.24242424242424243,0.24242424242424243,0.3181818181818182,0.42424242424242425,0.3742424242424242,0.6666666666666666,0.42107984607984605,1.0,0.011251758087201125,0.16499871696176546,643.0,,,,0.0
19,0.2659684248088032,0.009174311926605505,61.0,6649.0,711.0,0.0,0.11904761904761904,0.11904761904761904,0.18650793650793648,0.2857142857142857,0.23531746031746031,0.5,0.3008975812547241,1.0,0.007032348804500703,0.1651017214397496,633.0,,,,0.0
20,0.2665085013839462,0.008373205741626795,56.0,6688.0,711.0,0.0,0.1891891891891892,0.1891891891891892,0.27927927927927926,0.40540540540540543,0.33468468468468465,0.6486486486486487,0.3798369798369798,1.0,0.009845288326300985,0.1602732527588019,610.0,2.4684684684684686,0.06273820246735906,0.01613379403441199,0.0
21,0.2670871548573137,0.008899436369029961,60.0,6742.0,711.0,0.0,0.043478260869565216,0.043478260869565216,0.15217391304347827,0.30434782608695654,0.19130434782608696,0.4782608695652174,0.2572550034506556,1.0,0.0028129395218002813,0.16257430860687516,629.0,,,,0.0
22,0.26760794298334445,0.008013058317257753,54.0,6739.0,711.0,0.0,0.17142857142857143,0.17142857142857143,0.27619047619047615,0.45714285714285713,0.3204761904761904,0.6571428571428571,0.3695351473922902,1.0,0.008438818565400843,0.16610953972743636,646.0,,,,0.0
23,0.2680997984357068,0.007574632407544928,51.0,6733.0,711.0,0.0,0.14705882352941177,0.14705882352941177,0.22549019607843135,0.3235294117647059,0.2549019607843137,0.4411764705882353,0.32796451914098973,1.0,0.007032348804500703,0.16289945440374123,627.0,,,,0.0
24,0.26868809613363037,0.009172932330827067,61.0,6650.0,711.0,0.0,0.1282051282051282,0.1282051282051282,0.21367521367521364,0.3076923076923077,0.2623931623931624,0.5128205128205128,0.32760480260480257,1.0,0.007032348804500703,0.166351606805293,616.0,,,,0.0
25,0.2693728360771152,0.010458093975548682,71.0,6789.0,711.0,0.0,0.16326530612244897,0.16326530612244897,0.24149659863945575,0.3469387755102041,0.2914965986394558,0.5714285714285714,0.3493116294136703,1.0,0.011251758087201125,0.16175710594315246,626.0,,,,0.0
26,0.2699129126522582,0.008378216636744464,56.0,6684.0,711.0,0.0,0.13793103448275862,0.13793103448275862,0.30459770114942525,0.5172413793103449,0.34597701149425286,0.6896551724137931,0.3945812807881773,1.0,0.005625879043600563,0.1645077720207254,635.0,,,,0.0
27,0.27037583543095217,0.007154568490087942,48.0,6709.0,711.0,0.0,0.2972972972972973,0.2972972972972973,0.34234234234234234,0.40540540540540543,0.3707207207207207,0.5405405405405406,0.4345559845559846,1.0,0.015471167369901548,0.16196098562628336,631.0,,,,0.0
28,0.27087733510787065,0.007751937984496124,52.0,6708.0,711.0,0.0,0.17857142857142858,0.17857142857142858,0.3392857142857143,0.5357142857142857,0.37142857142857144,0.6785714285714286,0.4135770975056689,1.0,0.007032348804500703,0.16496197220036715,629.0,,,,0.0
