round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25182999160952463,0.028460155781905333,190.0,6676.0,711.0,0.0,0.2815533980582524,0.2815533980582524,0.39805825242718446,0.5728155339805825,0.42815533980582526,0.6990291262135923,0.4690938511326861,1.0,0.040787623066104076,0.13906581740976645,393.0,2.274193548387097,0.06808903842979923,0.01676609579245061,0.0
1,0.2534984424577342,0.025751711818993748,173.0,6718.0,711.0,0.0,0.25,0.25,0.3882575757575758,0.5681818181818182,0.4354166666666666,0.7727272727272727,0.4653950216450217,1.0,0.030942334739803096,0.14234104046242774,394.0,,,,0.0
2,0.254723258976362,0.019106363773130734,127.0,6647.0,711.0,0.0,0.16455696202531644,0.16455696202531644,0.2869198312236287,0.45569620253164556,0.3375527426160337,0.6708860759493671,0.38024914607193083,1.0,0.01828410689170183,0.14107274063188832,384.0,,,,0.0
3,0.25595771971954595,0.0191044776119403,128.0,6700.0,711.0,0.0,0.11267605633802817,0.11267605633802817,0.2769953051643192,0.5070422535211268,0.3234741784037559,0.704225352112676,0.362458081824279,1.0,0.011251758087201125,0.1475649945075064,403.0,,,,0.0
4,0.2575200840976381,0.02416467780429594,162.0,6704.0,711.0,0.0,0.24210526315789474,0.24210526315789474,0.343859649122807,0.5157894736842106,0.3996491228070176,0.7578947368421053,0.43099832915622405,1.0,0.03234880450070324,0.1394700139470014,400.0,,,,0.0
5,0.2592078233949599,0.026628119293974437,175.0,6572.0,711.0,0.0,0.25,0.25,0.35795454545454547,0.5,0.4068181818181818,0.7159090909090909,0.44425054112554113,1.0,0.030942334739803096,0.14275309541150766,392.0,,,,0.0
6,0.2612041778780777,0.030712166172106824,207.0,6740.0,711.0,0.0,0.2647058823529412,0.2647058823529412,0.36437908496732024,0.5098039215686274,0.40359477124183,0.6764705882352942,0.4476657329598505,1.0,0.0379746835443038,0.14007782101167315,360.0,,,,0.0
7,0.2628822729508434,0.025827519667507792,174.0,6737.0,711.0,0.0,0.26262626262626265,0.26262626262626265,0.35016835016835024,0.47474747474747475,0.3981481481481482,0.6767676767676768,0.4435746352413019,1.0,0.03656821378340366,0.14006634721710284,380.0,,,,0.0
8,0.2646857429428387,0.027831522547998214,187.0,6719.0,711.0,0.0,0.308411214953271,0.308411214953271,0.4376947040498442,0.616822429906542,0.46246105919003117,0.7289719626168224,0.4991136329921377,1.0,0.046413502109704644,0.14154200230149597,369.0,,,,0.0
9,0.26612273240170126,0.022149546603240672,149.0,6727.0,711.0,0.0,0.189873417721519,0.189873417721519,0.310126582278481,0.46835443037974683,0.36645569620253166,0.7088607594936709,0.4045107494474583,1.0,0.02109704641350211,0.13891834570519618,393.0,,,,0.0
10,0.26736683736944133,0.019424785423881947,129.0,6641.0,711.0,0.0,0.2702702702702703,0.2702702702702703,0.3918918918918919,0.5405405405405406,0.43040540540540545,0.7027027027027027,0.4675622050622051,1.0,0.02812939521800281,0.13731456827691138,361.0,2.248062015503876,0.06146423742214914,0.017570326242572973,0.0
11,0.2685627212144008,0.018504700790926726,124.0,6701.0,711.0,0.0,0.2876712328767123,0.2876712328767123,0.3972602739726027,0.547945205479452,0.42602739726027394,0.6712328767123288,0.4698303979125896,1.0,0.029535864978902954,0.14033227288794628,397.0,,,,0.0
12,0.2697971819575847,0.01912445838936202,128.0,6693.0,711.0,0.0,0.23943661971830985,0.23943661971830985,0.3755868544600939,0.5352112676056338,0.42276995305164317,0.7464788732394366,0.45539347194276775,1.0,0.02390998593530239,0.14215686274509803,377.0,,,,0.0
13,0.27098342157798805,0.0186222558667676,123.0,6605.0,711.0,0.0,0.2236842105263158,0.2236842105263158,0.3399122807017544,0.5,0.3833333333333333,0.6842105263157895,0.42457706766917297,1.0,0.02390998593530239,0.13603082851637766,353.0,,,,0.0
14,0.27202499783004946,0.016179775280898877,108.0,6675.0,711.0,0.0,0.18571428571428572,0.18571428571428572,0.2880952380952381,0.42857142857142855,0.3288095238095238,0.6,0.38022675736961453,1.0,0.01828410689170183,0.13875598086124402,377.0,,,,0.0
15,0.2729894202856619,0.014936519790888723,100.0,6695.0,711.0,0.0,0.25,0.25,0.39285714285714285,0.5714285714285714,0.4473214285714286,0.8035714285714286,0.4731859410430839,1.0,0.01969057665260197,0.14045801526717558,368.0,,,,0.0
16,0.27380917937293253,0.012660113196306225,85.0,6714.0,711.0,0.0,0.2037037037037037,0.2037037037037037,0.3950617283950617,0.6296296296296297,0.41265432098765437,0.7037037037037037,0.4501690182245738,1.0,0.015471167369901548,0.142183532825535,392.0,,,,0.0
17,0.27492790942144296,0.01726704376302471,116.0,6718.0,711.0,0.0,0.16923076923076924,0.16923076923076924,0.2769230769230769,0.4461538461538462,0.3192307692307692,0.6307692307692307,0.3686996336996337,1.0,0.015471167369901548,0.14074874010079194,391.0,,,,0.0
18,0.2758055338560503,0.013485477178423237,91.0,6748.0,711.0,0.0,0.16393442622950818,0.16393442622950818,0.25409836065573765,0.39344262295081966,0.2893442622950819,0.5573770491803278,0.349303929221962,1.0,0.014064697609001406,0.13962962962962963,377.0,,,,0.0
19,0.2767988889853311,0.015419161676646706,103.0,6680.0,711.0,0.0,0.2857142857142857,0.2857142857142857,0.40773809523809523,0.5535714285714286,0.46130952380952384,0.7857142857142857,0.4871173469387755,1.0,0.02250351617440225,0.1401938851603281,376.0,,,,0.0
20,0.2777825998900558,0.015232974910394265,102.0,6696.0,711.0,0.0,0.18181818181818182,0.18181818181818182,0.3363636363636363,0.5272727272727272,0.36090909090909085,0.6363636363636364,0.41111832611832605,1.0,0.014064697609001406,0.13716974303293522,379.0,2.3053435114503817,0.056899573330236944,0.022400242516019776,0.0
21,0.27888204148945406,0.01699210016395886,114.0,6709.0,711.0,0.0,0.208955223880597,0.208955223880597,0.33084577114427854,0.4925373134328358,0.37039800995024874,0.6716417910447762,0.4131485429992893,1.0,0.01969057665260197,0.13360175695461202,365.0,,,,0.0
22,0.27982717549595426,0.01453359039003411,98.0,6743.0,711.0,0.0,0.14754098360655737,0.14754098360655737,0.28415300546448086,0.47540983606557374,0.3169398907103825,0.6229508196721312,0.367967733541504,1.0,0.012658227848101266,0.1410494975809453,379.0,,,,0.0
23,0.2807433768287861,0.01405741343592779,95.0,6758.0,711.0,0.0,0.3018867924528302,0.3018867924528302,0.41509433962264153,0.5471698113207547,0.4471698113207548,0.6981132075471698,0.4861111111111111,1.0,0.02250351617440225,0.1331168831168831,369.0,,,,0.0
24,0.28170779928439854,0.015051173991571343,100.0,6644.0,711.0,0.0,0.21428571428571427,0.21428571428571427,0.375,0.5714285714285714,0.4026785714285714,0.6964285714285714,0.4433815192743764,1.0,0.016877637130801686,0.13912054586808187,367.0,,,,0.0
25,0.28245040457522014,0.011372027765470388,77.0,6771.0,711.0,0.0,0.16666666666666666,0.16666666666666666,0.24074074074074073,0.35185185185185186,0.29074074074074074,0.5740740740740741,0.3460831863609642,1.0,0.012658227848101266,0.13687251715420728,379.0,,,,0.0
26,0.28326051943793457,0.012567324955116697,84.0,6684.0,711.0,0.0,0.15217391304347827,0.15217391304347827,0.25,0.3695652173913043,0.3326086956521739,0.7391304347826086,0.36554520358868187,1.0,0.009845288326300985,0.13913986266714853,385.0,,,,0.0
27,0.2839549036059756,0.010783285906844391,72.0,6677.0,711.0,0.0,0.25,0.25,0.356060606060606,0.5,0.39924242424242423,0.7045454545454546,0.4389430014430014,1.0,0.015471167369901548,0.13703831549879186,397.0,,,,0.0
28,0.284842172265139,0.013805522208883553,92.0,6664.0,711.0,0.0,0.23333333333333334,0.23333333333333334,0.3055555555555555,0.4166666666666667,0.35555555555555546,0.6333333333333333,0.40582671957671956,1.0,0.01969057665260197,0.13595056343147946,374.0,,,,0.0
29,0.2859126811908688,0.016527695056581297,111.0,6716.0,711.0,0.0,0.208955223880597,0.208955223880597,0.31094527363184077,0.44776119402985076,0.3587064676616915,0.6567164179104478,0.4030206112295664,1.0,0.01969057665260197,0.14045354791514264,384.0,,,,0.0
