round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,hits@5,mrr@10,hits@10,mrr@20,hits@20,hit_rate@5,rec_coverage@5,unique_recs@5,novelty,clustering_diff,degree_kl,replay_size
0,0.14128007938476805,0.053895723491505565,184.0,3414.0,378.0,0.0,0.5307228915662651,0.8674698795180723,0.550898833428954,1.0,0.550898833428954,1.0,0.23544973544973544,0.6182612918892666,1273.0,2.3597560975609757,0.1497671124420523,4.772630632785793,1.0
1,0.14653105102125197,0.05599300087489064,192.0,3429.0,378.0,0.0,0.5693693693693693,0.8918918918918919,0.5840358215358216,1.0,0.5840358215358216,1.0,0.24074074074074073,0.6330724070450098,1294.0,,,,2.0
2,0.15016951955676838,0.04488119683191552,153.0,3409.0,378.0,0.0,0.5044270833333333,0.859375,0.5228236607142858,1.0,0.5228236607142858,1.0,0.20634920634920634,0.6359810625986323,1209.0,,,,3.0
3,0.1547176052261639,0.0504778972520908,169.0,3348.0,378.0,0.0,0.5469444444444443,0.9166666666666666,0.558287037037037,1.0,0.558287037037037,1.0,0.19047619047619047,0.6379928315412187,1246.0,,,,4.0
4,0.15881088232861987,0.05127445168938945,173.0,3374.0,378.0,0.0,0.463235294117647,0.7941176470588235,0.49145074696545293,1.0,0.49145074696545293,1.0,0.23544973544973544,0.6430405752439651,1252.0,,,,5.0
5,0.1627801207310014,0.04913717461245978,168.0,3419.0,378.0,0.0,0.4988304093567251,0.8070175438596491,0.5256961849067112,1.0,0.5256961849067112,1.0,0.1984126984126984,0.6394380853277836,1229.0,,,,6.0
6,0.16654262796659225,0.04636519748139668,162.0,3494.0,378.0,0.0,0.5494047619047618,0.8928571428571429,0.5645691609977324,1.0,0.5645691609977324,1.0,0.19576719576719576,0.6281732205077153,1262.0,,,,7.0
7,0.17138013726949475,0.051555299539170506,179.0,3472.0,378.0,0.0,0.5559322033898306,0.864406779661017,0.5745426419155233,1.0,0.5745426419155233,1.0,0.20634920634920634,0.6292246520874751,1266.0,,,,8.0
8,0.17460514347142975,0.04579710144927536,158.0,3450.0,378.0,0.0,0.43402777777777773,0.7708333333333334,0.46607969576719577,1.0,0.46607969576719577,1.0,0.18253968253968253,0.6480999479437792,1245.0,,,,9.0
9,0.17770611097329034,0.04153354632587859,143.0,3443.0,378.0,0.0,0.45568181818181813,0.75,0.48841089466089466,1.0,0.48841089466089466,1.0,0.16137566137566137,0.6414141414141414,1270.0,,,,10.0
