C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
C:\conda\envs\gnn\lib\site-packages\dgl\backend\pytorch\sparse.py:157: FutureWarning: `torch.cuda.amp.autocast_mode._cast(value, dtype)` is deprecated. Please use `torch.amp.autocast_mode._cast(value, 'cuda', dtype)` instead.
  return th.cuda.amp.autocast_mode._cast(
C:\conda\envs\gnn\lib\site-packages\dgl\backend\pytorch\sparse.py:148: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  return th.cuda.amp.autocast(enabled=False)
Round    1/200  coverage=0.1356  prec@K=0.0058  accepted=11  loss=0.7312  (0.9s)
Round    2/200  coverage=0.1360  prec@K=0.0071  accepted=14  loss=0.7302  (0.3s)
Round    3/200  coverage=0.1363  prec@K=0.0059  accepted=12  loss=0.7302  (0.3s)
Round    4/200  coverage=0.1366  prec@K=0.0050  accepted=10  loss=0.7285  (0.3s)
Round    5/200  coverage=0.1369  prec@K=0.0047  accepted=10  loss=0.7276  (0.3s)
Round    6/200  coverage=0.1374  prec@K=0.0090  accepted=19  loss=0.7247  (0.4s)
Round    7/200  coverage=0.1378  prec@K=0.0074  accepted=14  loss=0.7227  (0.3s)
Round    8/200  coverage=0.1381  prec@K=0.0052  accepted=11  loss=0.7208  (0.3s)
Round    9/200  coverage=0.1383  prec@K=0.0037  accepted=8  loss=0.7190  (0.3s)
Round   10/200  coverage=0.1384  prec@K=0.0009  accepted=2  loss=0.7172  (0.4s)
Round   11/200  coverage=0.1386  prec@K=0.0034  accepted=7  loss=0.7153  (0.5s)
Round   12/200  coverage=0.1386  prec@K=0.0010  accepted=2  loss=0.7135  (0.4s)
Round   13/200  coverage=0.1389  prec@K=0.0046  accepted=10  loss=0.7123  (0.4s)
Round   14/200  coverage=0.1391  prec@K=0.0038  accepted=8  loss=0.7104  (0.4s)
Round   15/200  coverage=0.1392  prec@K=0.0020  accepted=4  loss=0.7086  (0.4s)
Round   16/200  coverage=0.1393  prec@K=0.0010  accepted=2  loss=0.7076  (0.4s)
Round   17/200  coverage=0.1394  prec@K=0.0020  accepted=4  loss=0.7057  (0.5s)
Round   18/200  coverage=0.1396  prec@K=0.0030  accepted=6  loss=0.7048  (0.6s)
Round   19/200  coverage=0.1397  prec@K=0.0020  accepted=4  loss=0.7038  (0.4s)
Round   20/200  coverage=0.1399  prec@K=0.0044  accepted=9  loss=0.7027  (0.5s)
Round   21/200  coverage=0.1400  prec@K=0.0014  accepted=3  loss=0.7019  (0.6s)
Round   22/200  coverage=0.1402  prec@K=0.0025  accepted=5  loss=0.7010  (0.5s)
Round   23/200  coverage=0.1403  prec@K=0.0025  accepted=5  loss=0.7008  (0.6s)
Round   24/200  coverage=0.1405  prec@K=0.0029  accepted=6  loss=0.7000  (0.5s)
Round   25/200  coverage=0.1405  prec@K=0.0010  accepted=2  loss=0.6998  (0.5s)
Round   26/200  coverage=0.1407  prec@K=0.0022  accepted=5  loss=0.6998  (0.6s)
Round   27/200  coverage=0.1407  prec@K=0.0004  accepted=1  loss=0.6998  (0.8s)
Round   28/200  coverage=0.1407  prec@K=0.0005  accepted=1  loss=0.6991  (0.5s)
Round   29/200  coverage=0.1408  prec@K=0.0005  accepted=1  loss=0.6991  (0.5s)
Round   30/200  coverage=0.1408  prec@K=0.0010  accepted=2  loss=0.6989  (0.6s)
Round   31/200  coverage=0.1409  prec@K=0.0010  accepted=2  loss=0.6989  (0.7s)
Round   32/200  coverage=0.1409  prec@K=0.0005  accepted=1  loss=0.6970  (0.6s)
Round   33/200  coverage=0.1410  prec@K=0.0014  accepted=3  loss=0.6951  (0.7s)
Round   34/200  coverage=0.1410  prec@K=0.0000  accepted=0  loss=0.6931  (0.7s)
Round   35/200  coverage=0.1410  prec@K=0.0005  accepted=1  loss=0.6917  (0.7s)
Round   36/200  coverage=0.1410  prec@K=0.0000  accepted=0  loss=0.6897  (0.6s)
Round   37/200  coverage=0.1410  prec@K=0.0005  accepted=1  loss=0.6882  (0.8s)
Round   38/200  coverage=0.1411  prec@K=0.0005  accepted=1  loss=0.6867  (0.7s)
Round   39/200  coverage=0.1411  prec@K=0.0009  accepted=2  loss=0.6853  (0.7s)
Round   40/200  coverage=0.1412  prec@K=0.0005  accepted=1  loss=0.6838  (0.8s)
Round   41/200  coverage=0.1412  prec@K=0.0010  accepted=2  loss=0.6825  (0.7s)
Round   42/200  coverage=0.1412  prec@K=0.0005  accepted=1  loss=0.6814  (0.7s)
Round   43/200  coverage=0.1413  prec@K=0.0005  accepted=1  loss=0.6804  (0.8s)
Round   44/200  coverage=0.1414  prec@K=0.0014  accepted=3  loss=0.6795  (0.8s)
Round   45/200  coverage=0.1414  prec@K=0.0015  accepted=3  loss=0.6785  (0.7s)
Round   46/200  coverage=0.1414  prec@K=0.0000  accepted=0  loss=0.6777  (0.8s)
Round   47/200  coverage=0.1415  prec@K=0.0005  accepted=1  loss=0.6772  (0.8s)
Round   48/200  coverage=0.1415  prec@K=0.0010  accepted=2  loss=0.6767  (0.8s)
Round   49/200  coverage=0.1415  prec@K=0.0000  accepted=0  loss=0.6762  (0.8s)
Round   50/200  coverage=0.1416  prec@K=0.0010  accepted=2  loss=0.6758  (0.8s)
Round   51/200  coverage=0.1416  prec@K=0.0000  accepted=0  loss=0.6757  (0.9s)
Round   52/200  coverage=0.1416  prec@K=0.0000  accepted=0  loss=0.6756  (1.0s)
Round   53/200  coverage=0.1416  prec@K=0.0000  accepted=0  loss=0.6753  (0.8s)
Round   54/200  coverage=0.1416  prec@K=0.0000  accepted=0  loss=0.6753  (0.8s)
Round   55/200  coverage=0.1416  prec@K=0.0005  accepted=1  loss=0.6753  (0.9s)
Round   56/200  coverage=0.1416  prec@K=0.0005  accepted=1  loss=0.6752  (0.9s)
Round   57/200  coverage=0.1416  prec@K=0.0000  accepted=0  loss=0.6734  (0.9s)
Round   58/200  coverage=0.1417  prec@K=0.0005  accepted=1  loss=0.6716  (0.9s)
Round   59/200  coverage=0.1417  prec@K=0.0011  accepted=2  loss=0.6698  (0.9s)
Round   60/200  coverage=0.1417  prec@K=0.0000  accepted=0  loss=0.6680  (0.9s)
Round   61/200  coverage=0.1417  prec@K=0.0000  accepted=0  loss=0.6661  (1.0s)
Round   62/200  coverage=0.1417  prec@K=0.0005  accepted=1  loss=0.6645  (0.8s)
Round   63/200  coverage=0.1418  prec@K=0.0005  accepted=1  loss=0.6627  (0.8s)
Round   64/200  coverage=0.1418  prec@K=0.0000  accepted=0  loss=0.6613  (0.9s)
Round   65/200  coverage=0.1418  prec@K=0.0000  accepted=0  loss=0.6599  (0.8s)
Round   66/200  coverage=0.1418  prec@K=0.0000  accepted=0  loss=0.6584  (0.8s)
Round   67/200  coverage=0.1418  prec@K=0.0000  accepted=0  loss=0.6570  (1.0s)
Round   68/200  coverage=0.1418  prec@K=0.0000  accepted=0  loss=0.6560  (0.8s)
Round   69/200  coverage=0.1418  prec@K=0.0000  accepted=0  loss=0.6550  (0.9s)
Round   70/200  coverage=0.1418  prec@K=0.0000  accepted=0  loss=0.6540  (1.1s)
Round   71/200  coverage=0.1418  prec@K=0.0005  accepted=1  loss=0.6531  (1.1s)
Round   72/200  coverage=0.1418  prec@K=0.0005  accepted=1  loss=0.6525  (0.9s)
Round   73/200  coverage=0.1419  prec@K=0.0005  accepted=1  loss=0.6517  (1.0s)
Round   74/200  coverage=0.1419  prec@K=0.0005  accepted=1  loss=0.6513  (0.8s)
Round   75/200  coverage=0.1419  prec@K=0.0010  accepted=2  loss=0.6511  (0.8s)
Round   76/200  coverage=0.1419  prec@K=0.0000  accepted=0  loss=0.6505  (0.9s)
Round   77/200  coverage=0.1419  prec@K=0.0000  accepted=0  loss=0.6507  (0.8s)
Round   78/200  coverage=0.1420  prec@K=0.0005  accepted=1  loss=0.6503  (0.8s)
Round   79/200  coverage=0.1420  prec@K=0.0000  accepted=0  loss=0.6503  (1.0s)
Round   80/200  coverage=0.1420  prec@K=0.0000  accepted=0  loss=0.6501  (0.8s)
Round   81/200  coverage=0.1420  prec@K=0.0000  accepted=0  loss=0.6501  (0.9s)
Round   82/200  coverage=0.1420  prec@K=0.0000  accepted=0  loss=0.6479  (1.0s)
Round   83/200  coverage=0.1420  prec@K=0.0000  accepted=0  loss=0.6457  (0.8s)
Round   84/200  coverage=0.1420  prec@K=0.0005  accepted=1  loss=0.6435  (0.9s)
Round   85/200  coverage=0.1420  prec@K=0.0005  accepted=1  loss=0.6412  (0.8s)
Round   86/200  coverage=0.1421  prec@K=0.0005  accepted=1  loss=0.6388  (0.8s)
Round   87/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6365  (1.0s)
Round   88/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6338  (0.8s)
Round   89/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6316  (0.8s)
Round   90/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6292  (1.0s)
Round   91/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6270  (0.8s)
Round   92/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6248  (0.8s)
Round   93/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6231  (0.9s)
Round   94/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6213  (0.8s)
Round   95/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6198  (0.9s)
Round   96/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6186  (0.8s)
Round   97/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6170  (0.8s)
Round   98/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6162  (1.0s)
Round   99/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6157  (0.9s)
Round  100/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6148  (0.8s)
Round  101/200  coverage=0.1421  prec@K=0.0005  accepted=1  loss=0.6147  (0.9s)
Round  102/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6141  (0.9s)
Round  103/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6140  (0.8s)
Round  104/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6140  (0.9s)
Round  105/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6138  (0.8s)
Round  106/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6137  (0.9s)
Round  107/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6099  (1.0s)
Round  108/200  coverage=0.1421  prec@K=0.0005  accepted=1  loss=0.6066  (0.8s)
Round  109/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.6032  (0.8s)
Round  110/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.5995  (1.0s)
Round  111/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.5961  (0.9s)
Round  112/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.5923  (0.8s)
Round  113/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.5886  (1.0s)
Round  114/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.5854  (0.8s)
Round  115/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.5823  (0.9s)
Round  116/200  coverage=0.1421  prec@K=0.0000  accepted=0  loss=0.5787  (0.8s)
Round  117/200  coverage=0.1421  prec@K=0.0005  accepted=1  loss=0.5763  (0.8s)
