round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.13553607552258934,0.021454735740450027,41.0,1911.0,588.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03571428571428571,0.2628458498023715,399.0,1.9536423841059603,0.14893461319517567,21.687893096909157,0.0
1,0.13590132614070577,0.026153846153846153,51.0,1950.0,588.0,0.0,0.8888888888888888,0.8888888888888888,0.9074074074074073,0.9444444444444444,0.9185185185185184,1.0,0.030612244897959183,0.2531477799867462,382.0,,,,0.0
2,0.13623848055742863,0.027761370348493797,47.0,1693.0,588.0,0.0,0.9285714285714286,0.9285714285714286,0.9642857142857143,1.0,0.9642857142857143,1.0,0.04931972789115646,0.2872340425531915,378.0,,,,0.0
3,0.13663182737693863,0.026785714285714284,48.0,1792.0,588.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02891156462585034,0.27849002849002846,391.0,,,,0.0
4,0.13710946280062936,0.03596287703016241,62.0,1724.0,588.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.2892193308550186,389.0,,,,0.0
5,0.1373623286131715,0.01838235294117647,30.0,1632.0,588.0,0.0,0.9090909090909091,0.9090909090909091,0.9545454545454546,1.0,0.9545454545454546,1.0,0.025510204081632654,0.3013923013923014,368.0,,,,0.0
6,0.1374747134187458,0.02090800477897252,35.0,1674.0,588.0,0.0,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666,1.0,0.025510204081632654,0.3005507474429583,382.0,,,,0.0
7,0.13772757923128792,0.024303497332542976,41.0,1687.0,588.0,0.0,0.6363636363636364,0.6363636363636364,0.7727272727272727,0.9090909090909091,0.7727272727272727,0.9090909090909091,0.027210884353741496,0.30061823802163834,389.0,,,,0.0
8,0.13792425264104294,0.02804333970681963,44.0,1569.0,588.0,0.0,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.7444444444444445,0.8888888888888888,0.030612244897959183,0.31385642737896496,376.0,,,,0.0
9,0.1380366374466172,0.028942705256940343,49.0,1693.0,588.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.027210884353741496,0.2982866043613707,383.0,,,,0.0
10,0.13812092605079793,0.024761904761904763,39.0,1575.0,588.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027210884353741496,0.31725888324873097,375.0,2.471264367816092,0.13300226877645446,6.509894851533588,0.0
11,0.13823331085637222,0.019135802469135803,31.0,1620.0,588.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.023809523809523808,0.30673316708229426,369.0,,,,0.0
12,0.13831759946055294,0.02719797596457938,43.0,1581.0,588.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.027210884353741496,0.3333333333333333,391.0,,,,0.0
13,0.13851427287030793,0.02568922305764411,41.0,1596.0,588.0,0.0,0.5,0.5,0.638888888888889,0.8333333333333334,0.638888888888889,0.8333333333333334,0.027210884353741496,0.31679073614557485,383.0,,,,0.0
14,0.13862665767588223,0.023709902370990237,34.0,1434.0,588.0,0.0,0.8,0.8,0.8,0.8,0.8400000000000001,1.0,0.022108843537414966,0.3464788732394366,369.0,,,,0.0
15,0.13868285007866937,0.015272727272727273,21.0,1375.0,588.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.02040816326530612,0.37613751263902934,372.0,,,,0.0
16,0.1388233310856372,0.022796352583586626,30.0,1316.0,588.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.025510204081632654,0.39823008849557523,360.0,,,,0.0
17,0.13890761968981793,0.02869757174392936,39.0,1359.0,588.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.022108843537414966,0.3701716738197425,345.0,,,,0.0
18,0.13896381209260508,0.023311897106109324,29.0,1244.0,588.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013605442176870748,0.41636582430806257,346.0,,,,0.0
19,0.13907619689817938,0.02188679245283019,29.0,1325.0,588.0,0.0,0.25,0.25,0.3333333333333333,0.5,0.3958333333333333,0.75,0.02040816326530612,0.3825136612021858,350.0,,,,0.0
20,0.13910429309957295,0.025954198473282442,34.0,1310.0,588.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.025510204081632654,0.38819523269012485,342.0,2.403225806451613,0.12210155137061193,7.139669750803244,0.0
21,0.13916048550236007,0.014992503748125937,20.0,1334.0,588.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008503401360544218,0.3876464323748669,364.0,,,,0.0
22,0.13918858170375364,0.017712177121771217,24.0,1355.0,588.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.017006802721088437,0.3964059196617336,375.0,,,,0.0
23,0.1392447741065408,0.02265625,29.0,1280.0,588.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.025510204081632654,0.407621247113164,353.0,,,,0.0
24,0.13930096650932794,0.025477707006369428,32.0,1256.0,588.0,0.0,0.0,0.0,0.25,0.5,0.375,1.0,0.030612244897959183,0.41217798594847777,352.0,,,,0.0
25,0.13938525511350866,0.0202757502027575,25.0,1233.0,588.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,1.0,0.7777777777777778,1.0,0.023809523809523808,0.4246411483253589,355.0,,,,0.0
26,0.13949763991908293,0.024057738572574178,30.0,1247.0,588.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.027210884353741496,0.42592592592592593,345.0,,,,0.0
27,0.13955383232187007,0.01875,24.0,1280.0,588.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.023809523809523808,0.41916859122401845,363.0,,,,0.0
28,0.13958192852326365,0.01507936507936508,19.0,1260.0,588.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.023809523809523808,0.44768856447688565,368.0,,,,0.0
29,0.13961002472465722,0.02109375,27.0,1280.0,588.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02891156462585034,0.436670687575392,362.0,,,,0.0
30,0.13966621712744437,0.022819885900570498,28.0,1227.0,588.0,0.0,0.5,0.5,0.5,0.5,0.625,1.0,0.02040816326530612,0.4584415584415584,353.0,2.367021276595745,0.11159942675838942,7.646606241219706,0.0
31,0.13969431332883794,0.015447154471544716,19.0,1230.0,588.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.01020408163265306,0.45241199478487615,347.0,,,,0.0
