round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,mrr@10,mrr@20,hits@5,hit_rate@5,rec_coverage@5,novelty,clustering_diff,degree_kl,replay_size
0,0.06917619235317304,0.046162402669632924,83.0,1798.0,189.0,0.0,1.0,1.0,1.0,1.0,0.2275132275132275,0.3233280674038968,4.070921985815603,0.08292576032697976,2.4327765253317706,1.0
1,0.07188608592826172,0.048515981735159815,85.0,1752.0,189.0,0.0,1.0,1.0,1.0,1.0,0.24338624338624337,0.334913112164297,3.2550335570469797,,,2.0
2,0.0751872290106425,0.05807935595169638,101.0,1739.0,189.0,0.0,1.0,1.0,1.0,1.0,0.2804232804232804,0.3264876250658241,3.5795454545454546,,,3.0
3,0.07720733149389042,0.0455607476635514,78.0,1712.0,189.0,0.0,1.0,1.0,1.0,1.0,0.21164021164021163,0.3196419167983149,3.3289473684210527,,,4.0
4,0.07907962160031533,0.038018433179723504,66.0,1736.0,189.0,0.0,1.0,1.0,1.0,1.0,0.17989417989417988,0.3328067403896788,3.4727272727272727,,,5.0
5,0.08055774536854553,0.04188790560471976,71.0,1695.0,189.0,0.0,1.0,1.0,1.0,1.0,0.21164021164021163,0.31332280147446023,3.2756756756756755,,,6.0
6,0.081641702798581,0.02865329512893983,50.0,1745.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.3122696155871511,3.593582887700535,,,7.0
7,0.08277493102089081,0.03241013553329405,55.0,1697.0,189.0,0.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.30595050026329645,3.336842105263158,,,8.0
8,0.0836125344895546,0.03096330275229358,54.0,1744.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12698412698412698,0.30858346498156924,3.308139534883721,,,9.0
9,0.08449940875049271,0.0343082114735658,61.0,1778.0,189.0,0.0,1.0,1.0,1.0,1.0,0.14814814814814814,0.325434439178515,3.341614906832298,,,10.0
10,0.08484430429641308,0.02841225626740947,51.0,1795.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.30858346498156924,3.2,0.05678319298584615,1.6854675481002332,11.0
11,0.08578044934962555,0.029243119266055047,51.0,1744.0,189.0,0.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.3001579778830964,3.057894736842105,,,12.0
12,0.08676586519511234,0.03198653198653199,57.0,1782.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.30595050026329645,3.108108108108108,,,13.0
13,0.08755419787150177,0.033632286995515695,60.0,1784.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.31437598736176936,2.9337016574585637,,,14.0
14,0.08789909341742215,0.024362606232294616,43.0,1765.0,189.0,0.0,1.0,1.0,1.0,1.0,0.06878306878306878,0.3022643496577146,3.1435897435897435,,,15.0
15,0.08834253054789121,0.018296169239565466,32.0,1749.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.3033175355450237,3.2222222222222223,,,16.0
16,0.08913086322428064,0.03673938002296211,64.0,1742.0,189.0,0.0,1.0,1.0,1.0,1.0,0.13227513227513227,0.3022643496577146,3.0053763440860215,,,17.0
17,0.08952502956247536,0.022828507795100223,41.0,1796.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08465608465608465,0.3043707214323328,3.202247191011236,,,18.0
18,0.08996846669294442,0.026785714285714284,48.0,1792.0,189.0,0.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.315955766192733,3.0350877192982457,,,19.0
19,0.09051044540796216,0.023755656108597284,42.0,1768.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12698412698412698,0.3285939968404423,3.431578947368421,,,20.0
20,0.09095388253843122,0.02058319039451115,36.0,1749.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08465608465608465,0.32754081095313325,3.331578947368421,0.04076099024100627,1.2938104154087842,21.0
21,0.09129877808435159,0.026622296173044926,48.0,1803.0,189.0,0.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.33175355450236965,3.246153846153846,,,22.0
22,0.09189002759164368,0.027700831024930747,50.0,1805.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10052910052910052,0.3359662980516061,3.3526315789473684,,,23.0
23,0.09272763106030744,0.030005770340450086,52.0,1733.0,189.0,0.0,1.0,1.0,1.0,1.0,0.12698412698412698,0.32701421800947866,3.2054054054054055,,,24.0
24,0.09336815135987386,0.02345537757437071,41.0,1748.0,189.0,0.0,1.0,1.0,1.0,1.0,0.10582010582010581,0.32701421800947866,3.1621621621621623,,,25.0
