round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.10036460386283011,0.008611410118406888,8.0,929.0,189.0,0.0,0.25,0.25,0.3333333333333333,0.5,0.4395833333333333,1.0,0.010582010582010581,0.289002557544757,113.0,4.115107913669065,0.08446703182902783,1.8164616152494644,1.0
1,0.10080804099329917,0.00972972972972973,9.0,925.0,189.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.40555555555555556,1.0,0.005291005291005291,0.28534031413612565,109.0,,,,2.0
2,0.10105439495467088,0.005376344086021506,5.0,930.0,189.0,0.0,0.2,0.2,0.36666666666666664,0.6,0.45666666666666667,1.0,0.005291005291005291,0.2835820895522388,114.0,,,,3.0
3,0.10120220733149389,0.0033259423503325942,3.0,902.0,189.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,1.0,0.7777777777777778,1.0,0.010582010582010581,0.28083989501312334,107.0,,,,4.0
4,0.1013500197083169,0.00322234156820623,3.0,931.0,189.0,0.0,0.0,0.0,0.25,0.5,0.375,1.0,0.0,0.28534031413612565,109.0,,,,5.0
5,0.10144856129286559,0.0022099447513812156,2.0,905.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010582010582010581,0.2775,111.0,,,,6.0
6,0.10159637366968861,0.003257328990228013,3.0,921.0,189.0,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.2888888888888889,1.0,0.0,0.2695035460992908,114.0,,,,7.0
7,0.10174418604651163,0.003278688524590164,3.0,915.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.611111111111111,1.0,0.611111111111111,1.0,0.005291005291005291,0.2864450127877238,112.0,,,,8.0
8,0.10184272763106031,0.002185792349726776,2.0,915.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.26582278481012656,105.0,,,,9.0
9,0.10194126921560899,0.0021645021645021645,2.0,924.0,189.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.2786458333333333,107.0,,,,10.0
10,0.10203981080015767,0.0021253985122210413,2.0,941.0,189.0,0.0,0.0,0.0,0.41666666666666663,1.0,0.41666666666666663,1.0,0.0,0.27851458885941643,105.0,4.136986301369863,0.08137908913729687,1.7548852483885644,11.0
11,0.102089081592432,0.0010718113612004287,1.0,933.0,189.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.29166666666666663,1.0,0.0,0.28804347826086957,106.0,,,,12.0
12,0.10223689396925502,0.003264417845484222,3.0,919.0,189.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,1.0,0.0,0.27078384798099764,114.0,,,,13.0
13,0.10228616476152937,0.0010845986984815619,1.0,922.0,189.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.25745257452574527,95.0,,,,14.0
14,0.10243397713835238,0.003246753246753247,3.0,924.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4666666666666666,1.0,0.005291005291005291,0.30256410256410254,118.0,,,,15.0
15,0.10248324793062673,0.0010741138560687433,1.0,931.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.2766990291262136,114.0,,,,16.0
16,0.10263106030744974,0.0032397408207343412,3.0,926.0,189.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.0,0.2756756756756757,102.0,,,,17.0
17,0.10263106030744974,0.0,0.0,916.0,189.0,0.0,,,,,,,0.0,0.2782152230971129,106.0,,,,18.0
18,0.10268033109972409,0.0010857763300760044,1.0,921.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.2691358024691358,109.0,,,,19.0
19,0.10268033109972409,0.0,0.0,926.0,189.0,0.0,,,,,,,0.0,0.2814070351758794,112.0,,,,20.0
20,0.10268033109972409,0.0,0.0,914.0,189.0,0.0,,,,,,,0.0,0.2668463611859838,99.0,3.8187919463087248,0.08085141184918819,1.7815496942693145,21.0
21,0.10272960189199842,0.0010718113612004287,1.0,933.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.2689295039164491,103.0,,,,22.0
22,0.10272960189199842,0.0,0.0,919.0,189.0,0.0,,,,,,,0.0,0.263681592039801,106.0,,,,23.0
23,0.10272960189199842,0.0,0.0,924.0,189.0,0.0,,,,,,,0.0,0.26358695652173914,97.0,,,,24.0
24,0.10272960189199842,0.0,0.0,927.0,189.0,0.0,,,,,,,0.0,0.2764227642276423,102.0,,,,25.0
25,0.10277887268427276,0.0010834236186348862,1.0,923.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.2741514360313316,105.0,,,,26.0
26,0.10277887268427276,0.0,0.0,923.0,189.0,0.0,,,,,,,0.0,0.25879396984924624,103.0,,,,27.0
