round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.20358691367757192,0.039289558665231435,73.0,1858.0,189.0,0.0,0.27906976744186046,0.27906976744186046,0.4147286821705426,0.5813953488372093,0.46705426356589147,0.813953488372093,0.06349206349206349,0.21311475409836064,143.0,3.050314465408805,0.07943902864256111,0.32427181514441616,1.0
1,0.20757784785179345,0.04285714285714286,81.0,1890.0,189.0,0.0,0.39215686274509803,0.39215686274509803,0.49019607843137253,0.6078431372549019,0.5166666666666667,0.7254901960784313,0.08994708994708994,0.19213973799126638,132.0,,,,2.0
2,0.211864406779661,0.04622741764080765,87.0,1882.0,189.0,0.0,0.38181818181818183,0.38181818181818183,0.46060606060606063,0.5818181818181818,0.4896969696969697,0.7090909090909091,0.10582010582010581,0.2159090909090909,133.0,,,,3.0
3,0.2155597162002365,0.0400427122263748,75.0,1873.0,189.0,0.0,0.21666666666666667,0.21666666666666667,0.3361111111111111,0.48333333333333334,0.383611111111111,0.7,0.06878306878306878,0.19932432432432431,118.0,,,,4.0
4,0.21910721324398896,0.038236856080722255,72.0,1883.0,189.0,0.0,0.18,0.18,0.2866666666666667,0.44,0.3286666666666666,0.62,0.047619047619047616,0.1879310344827586,109.0,,,,5.0
5,0.22171856523452896,0.028042328042328042,53.0,1890.0,189.0,0.0,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.46153846153846156,0.35512820512820514,0.5641025641025641,0.047619047619047616,0.1755485893416928,112.0,,,,6.0
6,0.22432991722506898,0.028146574614976102,53.0,1883.0,189.0,0.0,0.2631578947368421,0.2631578947368421,0.368421052631579,0.5,0.39210526315789473,0.6052631578947368,0.05291005291005291,0.1664145234493192,110.0,,,,7.0
7,0.22600512416239654,0.018046709129511677,34.0,1884.0,189.0,0.0,0.13793103448275862,0.13793103448275862,0.22988505747126434,0.3448275862068966,0.267816091954023,0.5172413793103449,0.021164021164021163,0.1842948717948718,115.0,,,,8.0
8,0.22728616476152935,0.013888888888888888,26.0,1872.0,189.0,0.0,0.13636363636363635,0.13636363636363635,0.21969696969696972,0.3181818181818182,0.24924242424242424,0.45454545454545453,0.015873015873015872,0.16017316017316016,111.0,,,,9.0
9,0.22915845486795428,0.020277481323372464,38.0,1874.0,189.0,0.0,0.1935483870967742,0.1935483870967742,0.24193548387096772,0.3225806451612903,0.2725806451612903,0.45161290322580644,0.031746031746031744,0.1766612641815235,109.0,,,,10.0
10,0.23058730784391013,0.01541733120680489,29.0,1881.0,189.0,0.0,0.13636363636363635,0.13636363636363635,0.29545454545454547,0.5,0.325,0.6363636363636364,0.015873015873015872,0.1825657894736842,111.0,3.06875,0.07382771514555943,0.08107054250105572,11.0
11,0.2314249113125739,0.008994708994708995,17.0,1890.0,189.0,0.0,0.25,0.25,0.375,0.5,0.375,0.5,0.015873015873015872,0.16610169491525423,98.0,,,,12.0
12,0.23255813953488372,0.012221041445270989,23.0,1882.0,189.0,0.0,0.125,0.125,0.14583333333333331,0.1875,0.20208333333333334,0.4375,0.005291005291005291,0.17706576728499157,105.0,,,,13.0
13,0.23344501379582183,0.009523809523809525,18.0,1890.0,189.0,0.0,0.35294117647058826,0.35294117647058826,0.4117647058823529,0.47058823529411764,0.4264705882352941,0.5294117647058824,0.021164021164021163,0.18078175895765472,111.0,,,,14.0
14,0.23423334647221128,0.008465608465608466,16.0,1890.0,189.0,0.0,0.0,0.0,0.05208333333333333,0.125,0.07708333333333332,0.25,0.0,0.1891891891891892,119.0,,,,15.0
15,0.2352680331099724,0.011111111111111112,21.0,1890.0,189.0,0.0,0.23529411764705882,0.23529411764705882,0.30392156862745096,0.4117647058823529,0.32745098039215687,0.5294117647058824,0.021164021164021163,0.18495297805642633,118.0,,,,16.0
16,0.23620417816318487,0.010052910052910053,19.0,1890.0,189.0,0.0,0.0,0.0,0.09523809523809523,0.21428571428571427,0.13095238095238096,0.35714285714285715,0.0,0.17826825127334464,105.0,,,,17.0
17,0.23689396925502562,0.007407407407407408,14.0,1890.0,189.0,0.0,0.2727272727272727,0.2727272727272727,0.34848484848484845,0.45454545454545453,0.36666666666666664,0.5454545454545454,0.015873015873015872,0.17406143344709898,102.0,,,,18.0
18,0.2382242806464328,0.014354066985645933,27.0,1881.0,189.0,0.0,0.05,0.05,0.09166666666666666,0.15,0.13666666666666666,0.35,0.005291005291005291,0.2067137809187279,117.0,,,,19.0
19,0.23896334253054788,0.007936507936507936,15.0,1890.0,189.0,0.0,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.125,0.21428571428571427,0.005291005291005291,0.2136279926335175,116.0,,,,20.0
20,0.23930823807646828,0.003721424774056353,7.0,1881.0,189.0,0.0,0.2857142857142857,0.2857142857142857,0.4047619047619047,0.5714285714285714,0.4047619047619047,0.5714285714285714,0.010582010582010581,0.1904,119.0,3.179640718562874,0.07238474689226927,0.05321296710175526,21.0
21,0.24004729996058335,0.007936507936507936,15.0,1890.0,189.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.09722222222222221,0.3333333333333333,0.0,0.18106312292358803,109.0,,,,22.0
22,0.24049073709105243,0.004761904761904762,9.0,1890.0,189.0,0.0,0.2,0.2,0.2833333333333333,0.4,0.3083333333333333,0.5,0.010582010582010581,0.16905901116427433,106.0,,,,23.0
23,0.24078636184469845,0.0031746031746031746,6.0,1890.0,189.0,0.0,0.0,0.0,0.0,0.0,0.10833333333333334,0.5,0.0,0.18949044585987262,119.0,,,,24.0
24,0.24127906976744187,0.005291005291005291,10.0,1890.0,189.0,0.0,0.375,0.375,0.375,0.375,0.42500000000000004,0.625,0.015873015873015872,0.1695906432748538,116.0,,,,25.0
25,0.2418210484824596,0.00582010582010582,11.0,1890.0,189.0,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.015873015873015872,0.19047619047619047,112.0,,,,26.0
26,0.24246156878202602,0.006911217437533227,13.0,1881.0,189.0,0.0,0.2,0.2,0.2,0.2,0.22000000000000003,0.3,0.010582010582010581,0.20170940170940171,118.0,,,,27.0
27,0.2429050059124951,0.004761904761904762,9.0,1890.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35555555555555557,0.4444444444444444,0.015873015873015872,0.18363636363636363,101.0,,,,28.0
28,0.24329917225068978,0.004232804232804233,8.0,1890.0,189.0,0.0,0.25,0.25,0.2916666666666667,0.375,0.31666666666666665,0.5,0.010582010582010581,0.18446601941747573,114.0,,,,29.0
29,0.2436933385888845,0.004232804232804233,8.0,1890.0,189.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.1794871794871795,112.0,,,,30.0
30,0.2441860465116279,0.00531632110579479,10.0,1881.0,189.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.17398648648648649,103.0,3.1578947368421053,0.07122534554298257,0.09552117537357452,31.0
31,0.24462948364209697,0.004761904761904762,9.0,1890.0,189.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.005291005291005291,0.18416523235800344,107.0,,,,32.0
