round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.06720536066219945,0.017434620174346202,14.0,803.0,189.0,0.0,0.42857142857142855,0.42857142857142855,0.5119047619047619,0.6428571428571429,0.594047619047619,1.0,0.021164021164021163,0.40425531914893614,152.0,1.9703703703703703,0.08434672395173486,3.622056229701707,0.0
1,0.06769806858494284,0.01240694789081886,10.0,806.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.5694444444444444,0.8333333333333334,0.6069444444444444,1.0,0.015873015873015872,0.3904282115869018,155.0,,,,0.0
2,0.0683878596767836,0.017834394904458598,14.0,785.0,189.0,0.0,0.5454545454545454,0.5454545454545454,0.6515151515151515,0.8181818181818182,0.6878787878787879,1.0,0.031746031746031744,0.37220843672456577,150.0,,,,0.0
3,0.06892983839180133,0.013924050632911392,11.0,790.0,189.0,0.0,0.5,0.5,0.5999999999999999,0.8,0.6399999999999999,1.0,0.026455026455026454,0.4041994750656168,154.0,,,,0.0
4,0.06952108789909342,0.015228426395939087,12.0,788.0,189.0,0.0,0.45454545454545453,0.45454545454545453,0.5606060606060606,0.7272727272727273,0.6242424242424242,1.0,0.026455026455026454,0.38461538461538464,155.0,,,,0.0
5,0.0698659834450138,0.00857843137254902,7.0,816.0,189.0,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6714285714285715,1.0,0.021164021164021163,0.4262295081967213,156.0,,,,0.0
6,0.07016160819865984,0.0079155672823219,6.0,758.0,189.0,0.0,0.25,0.25,0.3333333333333333,0.5,0.4583333333333333,1.0,0.005291005291005291,0.38992042440318303,147.0,,,,0.0
7,0.07090067008277492,0.01905972045743329,15.0,787.0,189.0,0.0,0.5,0.5,0.5833333333333334,0.7,0.6583333333333333,1.0,0.026455026455026454,0.3586698337292161,151.0,,,,0.0
8,0.071344107213244,0.011235955056179775,9.0,801.0,189.0,0.0,0.125,0.125,0.47916666666666663,0.875,0.5104166666666666,1.0,0.0,0.3788659793814433,147.0,,,,0.0
9,0.07159046117461569,0.006313131313131313,5.0,792.0,189.0,0.0,0.4,0.4,0.6,0.8,0.65,1.0,0.010582010582010581,0.3829268292682927,157.0,,,,0.0
10,0.07188608592826172,0.007416563658838072,6.0,809.0,189.0,0.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.7083333333333334,1.0,0.015873015873015872,0.37244897959183676,146.0,2.0354609929078014,0.07270722861919675,3.0724222485567654,0.0
11,0.07223098147418211,0.009126466753585397,7.0,767.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.5277777777777778,0.8333333333333334,0.5611111111111111,1.0,0.010582010582010581,0.3974025974025974,153.0,,,,0.0
12,0.07232952305873079,0.0024691358024691358,2.0,810.0,189.0,0.0,0.5,0.5,0.5,0.5,0.625,1.0,0.005291005291005291,0.4083769633507853,156.0,,,,0.0
13,0.07252660622782814,0.005063291139240506,4.0,790.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021164021164021163,0.3903061224489796,153.0,,,,0.0
14,0.07257587702010249,0.0012515644555694619,1.0,799.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.3877551020408163,152.0,,,,0.0
15,0.07287150177374853,0.0076726342710997444,6.0,782.0,189.0,0.0,0.6666666666666666,0.6666666666666666,0.8055555555555555,1.0,0.8055555555555555,1.0,0.021164021164021163,0.40897097625329815,155.0,,,,0.0
16,0.07301931415057154,0.003658536585365854,3.0,820.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5666666666666667,1.0,0.005291005291005291,0.3856041131105398,150.0,,,,0.0
17,0.07316712652739456,0.003787878787878788,3.0,792.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4666666666666666,1.0,0.005291005291005291,0.4112903225806452,153.0,,,,0.0
18,0.07326566811194324,0.0025252525252525255,2.0,792.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.38992042440318303,147.0,,,,0.0
19,0.0734627512810406,0.0050062578222778474,4.0,799.0,189.0,0.0,0.0,0.0,0.26666666666666666,0.6,0.35666666666666663,1.0,0.0,0.4022038567493113,146.0,,,,0.0
20,0.07361056365786361,0.0036540803897685747,3.0,821.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5277777777777778,1.0,0.005291005291005291,0.4049586776859504,147.0,1.9861111111111112,0.07011673576409094,3.0628815553013986,0.0
21,0.0737091052424123,0.0025284450063211127,2.0,791.0,189.0,0.0,0.0,0.0,0.41666666666666663,1.0,0.41666666666666663,1.0,0.0,0.38734177215189874,153.0,,,,0.0
22,0.07385691761923532,0.003778337531486146,3.0,794.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2333333333333333,1.0,0.0,0.40575916230366493,155.0,,,,0.0
23,0.07400472999605834,0.0036188178528347406,3.0,829.0,189.0,0.0,0.0,0.0,0.25,0.5,0.375,1.0,0.0,0.390625,150.0,,,,0.0
24,0.07410327158060702,0.0024125452352231603,2.0,829.0,189.0,0.0,0.5,0.5,0.5,0.5,0.625,1.0,0.005291005291005291,0.3974025974025974,153.0,,,,0.0
25,0.0742018131651557,0.0025284450063211127,2.0,791.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.38903394255874674,149.0,,,,0.0
26,0.07430035474970438,0.0025157232704402514,2.0,795.0,189.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.005291005291005291,0.4166666666666667,150.0,,,,0.0
27,0.07430035474970438,0.0,0.0,796.0,189.0,0.0,,,,,,,0.0,0.42613636363636365,150.0,,,,0.0
28,0.07434962554197871,0.00125,1.0,800.0,189.0,0.0,0.0,0.0,0.0,0.0,0.225,1.0,0.0,0.37349397590361444,155.0,,,,0.0
29,0.07434962554197871,0.0,0.0,833.0,189.0,0.0,,,,,,,0.0,0.3968668407310705,152.0,,,,0.0
30,0.07439889633425305,0.0012453300124533001,1.0,803.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.4245810055865922,152.0,2.0,0.06948933185980756,3.057845667434631,0.0
31,0.0744481671265274,0.0012787723785166241,1.0,782.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.44837758112094395,152.0,,,,0.0
32,0.07449743791880173,0.0012224938875305623,1.0,818.0,189.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.4260355029585799,144.0,,,,0.0
33,0.07449743791880173,0.0,0.0,824.0,189.0,0.0,,,,,,,0.0,0.38287153652392947,152.0,,,,0.0
34,0.07449743791880173,0.0,0.0,821.0,189.0,0.0,,,,,,,0.0,0.39054726368159204,157.0,,,,0.0
35,0.07459597950335041,0.0024906600249066002,2.0,803.0,189.0,0.0,0.0,0.0,0.41666666666666663,1.0,0.41666666666666663,1.0,0.0,0.3938618925831202,154.0,,,,0.0
36,0.07459597950335041,0.0,0.0,782.0,189.0,0.0,,,,,,,0.0,0.43820224719101125,156.0,,,,0.0
37,0.07464525029562476,0.0012406947890818859,1.0,806.0,189.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.3978201634877384,146.0,,,,0.0
38,0.07469452108789909,0.0012406947890818859,1.0,806.0,189.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.4182825484764543,151.0,,,,0.0
39,0.07474379188017344,0.0012315270935960591,1.0,812.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.40633245382585753,154.0,,,,0.0
40,0.07474379188017344,0.0,0.0,801.0,189.0,0.0,,,,,,,0.0,0.41761363636363635,147.0,2.0,0.06942249067922229,3.3375863842818996,0.0
41,0.07484233346472212,0.0024509803921568627,2.0,816.0,189.0,0.0,0.0,0.0,0.25,0.5,0.35,1.0,0.0,0.42005420054200543,155.0,,,,0.0
42,0.07484233346472212,0.0,0.0,829.0,189.0,0.0,,,,,,,0.0,0.392,147.0,,,,0.0
43,0.07494087504927079,0.0024691358024691358,2.0,810.0,189.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.005291005291005291,0.4298245614035088,147.0,,,,0.0
44,0.07503941663381947,0.0024096385542168677,2.0,830.0,189.0,0.0,0.0,0.0,0.25,0.5,0.375,1.0,0.0,0.4005524861878453,145.0,,,,0.0
45,0.07513795821836815,0.002331002331002331,2.0,858.0,189.0,0.0,0.0,0.0,0.25,0.5,0.35,1.0,0.0,0.4021164021164021,152.0,,,,0.0
46,0.07523649980291683,0.002403846153846154,2.0,832.0,189.0,0.0,0.5,0.5,0.5,0.5,0.625,1.0,0.005291005291005291,0.4326647564469914,151.0,,,,0.0
47,0.07523649980291683,0.0,0.0,839.0,189.0,0.0,,,,,,,0.0,0.4036458333333333,155.0,,,,0.0
48,0.07533504138746551,0.0024183796856106408,2.0,827.0,189.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.3979848866498741,158.0,,,,0.0
49,0.07538431217973986,0.0012004801920768306,1.0,833.0,189.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.4116022099447514,149.0,,,,0.0
50,0.07543358297201419,0.001201923076923077,1.0,832.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005291005291005291,0.40229885057471265,140.0,2.047945205479452,0.06912821582999143,3.3390058196112227,0.0
51,0.07543358297201419,0.0,0.0,826.0,189.0,0.0,,,,,,,0.0,0.41739130434782606,144.0,,,,0.0
52,0.07543358297201419,0.0,0.0,830.0,189.0,0.0,,,,,,,0.0,0.4340175953079179,148.0,,,,0.0
53,0.07548285376428852,0.0011750881316098707,1.0,851.0,189.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.3897849462365591,145.0,,,,0.0
54,0.07548285376428852,0.0,0.0,846.0,189.0,0.0,,,,,,,0.0,0.3882978723404255,146.0,,,,0.0
55,0.07548285376428852,0.0,0.0,858.0,189.0,0.0,,,,,,,0.0,0.42406876790830944,148.0,,,,0.0
56,0.07548285376428852,0.0,0.0,837.0,189.0,0.0,,,,,,,0.0,0.3877005347593583,145.0,,,,0.0
57,0.07548285376428852,0.0,0.0,813.0,189.0,0.0,,,,,,,0.0,0.41483516483516486,151.0,,,,0.0
58,0.07548285376428852,0.0,0.0,845.0,189.0,0.0,,,,,,,0.0,0.4425287356321839,154.0,,,,0.0
59,0.07553212455656287,0.0012453300124533001,1.0,803.0,189.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.43731778425655976,150.0,,,,0.0
60,0.0755813953488372,0.00117096018735363,1.0,854.0,189.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.3981762917933131,131.0,2.0,0.06885614280910324,3.3374011206477103,0.0
61,0.0755813953488372,0.0,0.0,825.0,189.0,0.0,,,,,,,0.0,0.4022346368715084,144.0,,,,0.0
62,0.0755813953488372,0.0,0.0,817.0,189.0,0.0,,,,,,,0.0,0.42318840579710143,146.0,,,,0.0
63,0.0755813953488372,0.0,0.0,844.0,189.0,0.0,,,,,,,0.0,0.4376899696048632,144.0,,,,0.0
64,0.07563066614111155,0.0011947431302270011,1.0,837.0,189.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.44135802469135804,143.0,,,,0.0
65,0.07563066614111155,0.0,0.0,821.0,189.0,0.0,,,,,,,0.0,0.4323529411764706,147.0,,,,0.0
66,0.07563066614111155,0.0,0.0,841.0,189.0,0.0,,,,,,,0.0,0.42042042042042044,140.0,,,,0.0
67,0.07563066614111155,0.0,0.0,839.0,189.0,0.0,,,,,,,0.0,0.4040114613180516,141.0,,,,0.0
68,0.07563066614111155,0.0,0.0,827.0,189.0,0.0,,,,,,,0.0,0.45,144.0,,,,0.0
69,0.07563066614111155,0.0,0.0,838.0,189.0,0.0,,,,,,,0.0,0.40443213296398894,146.0,,,,0.0
70,0.07563066614111155,0.0,0.0,837.0,189.0,0.0,,,,,,,0.0,0.4074074074074074,143.0,2.0,0.06849567740124446,3.3368766384150326,0.0
71,0.07563066614111155,0.0,0.0,838.0,189.0,0.0,,,,,,,0.0,0.4316109422492401,142.0,,,,0.0
72,0.07567993693338589,0.0012091898428053204,1.0,827.0,189.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.40509915014164305,143.0,,,,0.0
73,0.07572920772566023,0.0011547344110854503,1.0,866.0,189.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.4074074074074074,143.0,,,,0.0
74,0.07572920772566023,0.0,0.0,866.0,189.0,0.0,,,,,,,0.0,0.4166666666666667,145.0,,,,0.0
75,0.07577847851793457,0.0011723329425556857,1.0,853.0,189.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.42777777777777776,154.0,,,,0.0
76,0.07577847851793457,0.0,0.0,832.0,189.0,0.0,,,,,,,0.0,0.471875,151.0,,,,0.0
77,0.07577847851793457,0.0,0.0,861.0,189.0,0.0,,,,,,,0.0,0.4109195402298851,143.0,,,,0.0
78,0.07577847851793457,0.0,0.0,841.0,189.0,0.0,,,,,,,0.0,0.43843843843843844,146.0,,,,0.0
79,0.07577847851793457,0.0,0.0,856.0,189.0,0.0,,,,,,,0.0,0.423728813559322,150.0,,,,0.0
80,0.07577847851793457,0.0,0.0,839.0,189.0,0.0,,,,,,,0.0,0.39118457300275483,142.0,2.0,0.0686538607987181,3.345047010209262,0.0
81,0.07577847851793457,0.0,0.0,852.0,189.0,0.0,,,,,,,0.0,0.43730886850152906,143.0,,,,0.0
82,0.07577847851793457,0.0,0.0,849.0,189.0,0.0,,,,,,,0.0,0.4331395348837209,149.0,,,,0.0
83,0.07577847851793457,0.0,0.0,845.0,189.0,0.0,,,,,,,0.0,0.4171597633136095,141.0,,,,0.0
84,0.07577847851793457,0.0,0.0,844.0,189.0,0.0,,,,,,,0.0,0.4144385026737968,155.0,,,,0.0
85,0.07577847851793457,0.0,0.0,840.0,189.0,0.0,,,,,,,0.0,0.4255952380952381,143.0,,,,0.0
86,0.07582774931020891,0.0011682242990654205,1.0,856.0,189.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.3962765957446808,149.0,,,,0.0
87,0.07582774931020891,0.0,0.0,825.0,189.0,0.0,,,,,,,0.0,0.4208955223880597,141.0,,,,0.0
88,0.07582774931020891,0.0,0.0,840.0,189.0,0.0,,,,,,,0.0,0.4045584045584046,142.0,,,,0.0
