round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.19648359615733188,0.01680672268907563,18.0,1071.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.5138888888888888,0.75,0.5555555555555555,0.9166666666666666,0.021505376344086023,0.21575342465753425,63.0,2.23,0.1779527660341825,3.316968147483762,1.0
1,0.19829617545767628,0.010183299389002037,10.0,982.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.4761904761904762,0.8571428571428571,0.511904761904762,1.0,0.005376344086021506,0.18120805369127516,54.0,,,,2.0
2,0.2002900126880551,0.010318949343339587,11.0,1066.0,186.0,0.0,0.2,0.2,0.5,0.9,0.525,1.0,0.010752688172043012,0.21019108280254778,66.0,,,,3.0
3,0.20337139749864055,0.01520572450805009,17.0,1118.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.7592592592592592,0.8888888888888888,0.7592592592592592,0.8888888888888888,0.03225806451612903,0.19195046439628483,62.0,,,,4.0
4,0.20754032988943266,0.020535714285714286,23.0,1120.0,186.0,0.0,0.3,0.3,0.4333333333333333,0.6,0.49833333333333335,0.9,0.016129032258064516,0.19292604501607716,60.0,,,,5.0
5,0.20971542504984594,0.01107011070110701,12.0,1084.0,186.0,0.0,0.25,0.25,0.41666666666666663,0.625,0.47291666666666665,0.875,0.010752688172043012,0.19607843137254902,60.0,,,,6.0
6,0.21207177814029363,0.011722272317403066,13.0,1109.0,186.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.5145833333333333,1.0,0.010752688172043012,0.20065789473684212,61.0,,,,7.0
7,0.2133405836505347,0.005747126436781609,7.0,1218.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.4583333333333333,0.6666666666666666,0.010752688172043012,0.20875420875420875,62.0,,,,8.0
8,0.2142468733007069,0.004420866489832007,5.0,1131.0,186.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.005376344086021506,0.1895424836601307,58.0,,,,9.0
9,0.215515678810948,0.005668016194331984,7.0,1235.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010752688172043012,0.2152317880794702,65.0,,,,10.0
10,0.21624071053108573,0.0034129692832764505,4.0,1172.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.005376344086021506,0.19230769230769232,60.0,2.188679245283019,0.16468713028275206,2.213885129322308,11.0
11,0.21769077397136125,0.006650041562759767,8.0,1203.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.010752688172043012,0.21103896103896103,65.0,,,,12.0
12,0.21805328983143013,0.0016012810248198558,2.0,1249.0,186.0,0.0,0.5,0.5,0.5,0.5,0.6,1.0,0.005376344086021506,0.19672131147540983,60.0,,,,13.0
13,0.21859706362153344,0.0023510971786833857,3.0,1276.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.010752688172043012,0.1939799331103679,58.0,,,,14.0
14,0.21950335327170564,0.004,5.0,1250.0,186.0,0.0,0.6,0.6,0.7,0.8,0.7,0.8,0.016129032258064516,0.18729096989966554,56.0,,,,15.0
15,0.22022838499184338,0.0030959752321981426,4.0,1292.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.010752688172043012,0.1782178217821782,54.0,,,,16.0
16,0.22113467464201558,0.0038910505836575876,5.0,1285.0,186.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.4583333333333333,0.75,0.005376344086021506,0.18731117824773413,62.0,,,,17.0
17,0.2216784484321189,0.0023166023166023165,3.0,1295.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.010752688172043012,0.16611295681063123,50.0,,,,18.0
18,0.2222222222222222,0.0023942537909018356,3.0,1253.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.010752688172043012,0.178125,57.0,,,,19.0
19,0.22240348015225667,0.0007434944237918215,1.0,1345.0,186.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.19254658385093168,62.0,,,,20.0
20,0.2225847380822911,0.0007616146230007616,1.0,1313.0,186.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.20754716981132076,66.0,2.3211009174311927,0.16168833382682318,2.264722278882745,21.0
21,0.22276599601232555,0.0008136696501220504,1.0,1229.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.20504731861198738,65.0,,,,22.0
22,0.22276599601232555,0.0,0.0,1220.0,186.0,0.0,,,,,,,0.0,0.17114093959731544,51.0,,,,23.0
23,0.22276599601232555,0.0,0.0,1283.0,186.0,0.0,,,,,,,0.0,0.1758957654723127,54.0,,,,24.0
24,0.22276599601232555,0.0,0.0,1305.0,186.0,0.0,,,,,,,0.0,0.1875,57.0,,,,25.0
25,0.22276599601232555,0.0,0.0,1303.0,186.0,0.0,,,,,,,0.0,0.19528619528619529,58.0,,,,26.0
26,0.22294725394235998,0.000749063670411985,1.0,1335.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1987179487179487,62.0,,,,27.0
27,0.22330976980242886,0.0015015015015015015,2.0,1332.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.010752688172043012,0.17363344051446947,54.0,,,,28.0
28,0.22421605945260106,0.00363901018922853,5.0,1374.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021505376344086023,0.18421052631578946,56.0,,,,29.0
29,0.22421605945260106,0.0,0.0,1316.0,186.0,0.0,,,,,,,0.0,0.2033898305084746,60.0,,,,30.0
30,0.22421605945260106,0.0,0.0,1285.0,186.0,0.0,,,,,,,0.0,0.2119205298013245,64.0,2.1454545454545455,0.1607740594506496,2.2804195705756545,31.0
31,0.22421605945260106,0.0,0.0,1349.0,186.0,0.0,,,,,,,0.0,0.1935483870967742,60.0,,,,32.0
32,0.2243973173826355,0.0007751937984496124,1.0,1290.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19745222929936307,62.0,,,,33.0
33,0.22475983324270438,0.0015455950540958269,2.0,1294.0,186.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.0,0.2251655629139073,68.0,,,,34.0
34,0.22475983324270438,0.0,0.0,1257.0,186.0,0.0,,,,,,,0.0,0.18152866242038215,57.0,,,,35.0
35,0.2249410911727388,0.0007656967840735069,1.0,1306.0,186.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.20249221183800623,65.0,,,,36.0
36,0.2249410911727388,0.0,0.0,1285.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.18815331010452963,54.0,,,,37.0
37,0.2249410911727388,0.0,0.0,1315.0,186.0,0.0,,,,,,,0.0,0.190625,61.0,,,,38.0
38,0.2249410911727388,0.0,0.0,1316.0,186.0,0.0,,,,,,,0.0,0.20462046204620463,62.0,,,,39.0
39,0.22566612289287658,0.0031007751937984496,4.0,1290.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.005376344086021506,0.1986970684039088,61.0,,,,40.0
40,0.22566612289287658,0.0,0.0,1222.0,186.0,0.0,,,,,,,0.0,0.2059800664451827,62.0,2.2540983606557377,0.16045996157050518,2.2870223586169995,41.0
41,0.22566612289287658,0.0,0.0,1226.0,186.0,0.0,,,,,,,0.0,0.20382165605095542,64.0,,,,42.0
42,0.22566612289287658,0.0,0.0,1243.0,186.0,0.0,,,,,,,0.0,0.1986754966887417,60.0,,,,43.0
43,0.22566612289287658,0.0,0.0,1326.0,186.0,0.0,,,,,,,0.0,0.18892508143322476,58.0,,,,44.0
44,0.22566612289287658,0.0,0.0,1257.0,186.0,0.0,,,,,,,0.0,0.19805194805194806,61.0,,,,45.0
45,0.22566612289287658,0.0,0.0,1262.0,186.0,0.0,,,,,,,0.0,0.1917808219178082,56.0,,,,46.0
46,0.22566612289287658,0.0,0.0,1313.0,186.0,0.0,,,,,,,0.0,0.19727891156462585,58.0,,,,47.0
47,0.22566612289287658,0.0,0.0,1325.0,186.0,0.0,,,,,,,0.0,0.19672131147540983,60.0,,,,48.0
48,0.225847380822911,0.000792393026941363,1.0,1262.0,186.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.16883116883116883,52.0,,,,49.0
49,0.225847380822911,0.0,0.0,1255.0,186.0,0.0,,,,,,,0.0,0.19672131147540983,60.0,,,,50.0
50,0.2262098966829799,0.001539645881447267,2.0,1299.0,186.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.1895424836601307,58.0,2.2605042016806722,0.16063049887620084,2.2958991365911148,51.0
51,0.2262098966829799,0.0,0.0,1266.0,186.0,0.0,,,,,,,0.0,0.19873817034700317,63.0,,,,52.0
52,0.2262098966829799,0.0,0.0,1269.0,186.0,0.0,,,,,,,0.0,0.19798657718120805,59.0,,,,53.0
53,0.2262098966829799,0.0,0.0,1245.0,186.0,0.0,,,,,,,0.0,0.17434210526315788,53.0,,,,54.0
54,0.2262098966829799,0.0,0.0,1282.0,186.0,0.0,,,,,,,0.0,0.19310344827586207,56.0,,,,55.0
55,0.2262098966829799,0.0,0.0,1226.0,186.0,0.0,,,,,,,0.0,0.18543046357615894,56.0,,,,56.0
56,0.22639115461301432,0.0007751937984496124,1.0,1290.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.18032786885245902,55.0,,,,57.0
57,0.22657241254304875,0.0008019246190858059,1.0,1247.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.19488817891373802,61.0,,,,58.0
58,0.22657241254304875,0.0,0.0,1285.0,186.0,0.0,,,,,,,0.0,0.2214765100671141,66.0,,,,59.0
59,0.22657241254304875,0.0,0.0,1311.0,186.0,0.0,,,,,,,0.0,0.17320261437908496,53.0,,,,60.0
60,0.2267536704730832,0.000778816199376947,1.0,1284.0,186.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.19218241042345277,59.0,2.236842105263158,0.1602304163408982,2.294511702983851,61.0
61,0.2267536704730832,0.0,0.0,1234.0,186.0,0.0,,,,,,,0.0,0.189873417721519,60.0,,,,62.0
62,0.22693492840311763,0.0008097165991902834,1.0,1235.0,186.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.21666666666666667,65.0,,,,63.0
63,0.22693492840311763,0.0,0.0,1254.0,186.0,0.0,,,,,,,0.0,0.17725752508361203,53.0,,,,64.0
64,0.22693492840311763,0.0,0.0,1237.0,186.0,0.0,,,,,,,0.0,0.18095238095238095,57.0,,,,65.0
65,0.22693492840311763,0.0,0.0,1275.0,186.0,0.0,,,,,,,0.0,0.174496644295302,52.0,,,,66.0
66,0.2271161863331521,0.0007621951219512195,1.0,1312.0,186.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.18394648829431437,55.0,,,,67.0
67,0.2271161863331521,0.0,0.0,1244.0,186.0,0.0,,,,,,,0.0,0.19141914191419143,58.0,,,,68.0
68,0.22729744426318652,0.0007692307692307692,1.0,1300.0,186.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,0.19488817891373802,61.0,,,,69.0
69,0.22747870219322094,0.0007763975155279503,1.0,1288.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,64.0,,,,70.0
70,0.22747870219322094,0.0,0.0,1215.0,186.0,0.0,,,,,,,0.0,0.2202797202797203,63.0,2.316666666666667,0.1602304163408982,2.302739076360239,71.0
71,0.22747870219322094,0.0,0.0,1356.0,186.0,0.0,,,,,,,0.0,0.20454545454545456,63.0,,,,72.0
72,0.2276599601232554,0.0007627765064836003,1.0,1311.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.22033898305084745,65.0,,,,73.0
73,0.22802247598332426,0.0015372790161414297,2.0,1301.0,186.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.19732441471571907,59.0,,,,74.0
74,0.22802247598332426,0.0,0.0,1166.0,186.0,0.0,,,,,,,0.0,0.17725752508361203,53.0,,,,75.0
75,0.22802247598332426,0.0,0.0,1296.0,186.0,0.0,,,,,,,0.0,0.19387755102040816,57.0,,,,76.0
76,0.22802247598332426,0.0,0.0,1300.0,186.0,0.0,,,,,,,0.0,0.20679012345679013,67.0,,,,77.0
77,0.22802247598332426,0.0,0.0,1271.0,186.0,0.0,,,,,,,0.0,0.20512820512820512,64.0,,,,78.0
78,0.22802247598332426,0.0,0.0,1184.0,186.0,0.0,,,,,,,0.0,0.19292604501607716,60.0,,,,79.0
79,0.22802247598332426,0.0,0.0,1242.0,186.0,0.0,,,,,,,0.0,0.19741100323624594,61.0,,,,80.0
80,0.22802247598332426,0.0,0.0,1265.0,186.0,0.0,,,,,,,0.0,0.2052980132450331,62.0,2.2410714285714284,0.16009572481384426,2.301616836342809,81.0
81,0.22802247598332426,0.0,0.0,1284.0,186.0,0.0,,,,,,,0.0,0.20065789473684212,61.0,,,,82.0
82,0.22802247598332426,0.0,0.0,1254.0,186.0,0.0,,,,,,,0.0,0.20394736842105263,62.0,,,,83.0
83,0.22802247598332426,0.0,0.0,1243.0,186.0,0.0,,,,,,,0.0,0.21052631578947367,64.0,,,,84.0
84,0.22802247598332426,0.0,0.0,1270.0,186.0,0.0,,,,,,,0.0,0.20860927152317882,63.0,,,,85.0
85,0.22802247598332426,0.0,0.0,1326.0,186.0,0.0,,,,,,,0.0,0.21262458471760798,64.0,,,,86.0
86,0.22802247598332426,0.0,0.0,1310.0,186.0,0.0,,,,,,,0.0,0.19093851132686085,59.0,,,,87.0
87,0.22802247598332426,0.0,0.0,1234.0,186.0,0.0,,,,,,,0.0,0.21359223300970873,66.0,,,,88.0
88,0.22802247598332426,0.0,0.0,1202.0,186.0,0.0,,,,,,,0.0,0.20915032679738563,64.0,,,,89.0
89,0.22802247598332426,0.0,0.0,1269.0,186.0,0.0,,,,,,,0.0,0.21333333333333335,64.0,,,,90.0
90,0.22802247598332426,0.0,0.0,1229.0,186.0,0.0,,,,,,,0.0,0.20945945945945946,62.0,2.152542372881356,0.16009572481384426,2.301616836342809,91.0
91,0.22802247598332426,0.0,0.0,1206.0,186.0,0.0,,,,,,,0.0,0.2135593220338983,63.0,,,,92.0
92,0.22802247598332426,0.0,0.0,1207.0,186.0,0.0,,,,,,,0.0,0.2077922077922078,64.0,,,,93.0
93,0.22802247598332426,0.0,0.0,1196.0,186.0,0.0,,,,,,,0.0,0.19032258064516128,59.0,,,,94.0
94,0.22802247598332426,0.0,0.0,1256.0,186.0,0.0,,,,,,,0.0,0.20723684210526316,63.0,,,,95.0
95,0.22802247598332426,0.0,0.0,1314.0,186.0,0.0,,,,,,,0.0,0.1848184818481848,56.0,,,,96.0
96,0.22802247598332426,0.0,0.0,1281.0,186.0,0.0,,,,,,,0.0,0.22756410256410256,71.0,,,,97.0
