round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.19430850099691863,0.00625,6.0,960.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03225806451612903,0.15568022440392706,111.0,1.9433962264150944,0.17807357928468492,14.09478887444815,0.0
1,0.1952147906470908,0.0048449612403100775,5.0,1032.0,186.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.021505376344086023,0.1513157894736842,115.0,,,,0.0
2,0.1970273699474352,0.010193679918450561,10.0,981.0,186.0,0.0,0.6,0.6,0.75,0.9,0.775,1.0,0.03225806451612903,0.16481994459833796,119.0,,,,0.0
3,0.1984774333877107,0.00815494393476045,8.0,981.0,186.0,0.0,0.8571428571428571,0.8571428571428571,0.9285714285714286,1.0,0.9285714285714286,1.0,0.03225806451612903,0.165075034106412,121.0,,,,0.0
4,0.19992749682798622,0.008064516129032258,8.0,992.0,186.0,0.0,0.625,0.625,0.75,0.875,0.75,0.875,0.026881720430107527,0.1634078212290503,117.0,,,,0.0
5,0.20192133405836504,0.011375387797311272,11.0,967.0,186.0,0.0,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.021505376344086023,0.16448326055312956,113.0,,,,0.0
6,0.203552655428675,0.009278350515463918,9.0,970.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.021505376344086023,0.15944055944055943,114.0,,,,0.0
7,0.20482146093891607,0.007150153217568948,7.0,979.0,186.0,0.0,0.42857142857142855,0.42857142857142855,0.5238095238095238,0.7142857142857143,0.5595238095238095,0.8571428571428571,0.016129032258064516,0.1591549295774648,113.0,,,,0.0
8,0.20572775058908827,0.004625346901017576,5.0,1081.0,186.0,0.0,0.6,0.6,0.7666666666666667,1.0,0.7666666666666667,1.0,0.016129032258064516,0.16057441253263707,123.0,,,,0.0
9,0.20663404023926046,0.0047169811320754715,5.0,1060.0,186.0,0.0,0.6,0.6,0.7,0.8,0.7,0.8,0.016129032258064516,0.14868421052631578,113.0,,,,0.0
10,0.20717781402936378,0.0032502708559046588,3.0,923.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016129032258064516,0.16114457831325302,107.0,1.9739130434782608,0.16734769747345013,3.0496635932915743,0.0
11,0.20899039332970817,0.010893246187363835,10.0,918.0,186.0,0.0,0.625,0.625,0.75,1.0,0.75,1.0,0.026881720430107527,0.16055045871559634,105.0,,,,0.0
12,0.21116548849012146,0.012486992715920915,12.0,961.0,186.0,0.0,0.5,0.5,0.7222222222222222,1.0,0.7222222222222222,1.0,0.016129032258064516,0.1678832116788321,115.0,,,,0.0
