round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.05246901199406314,0.16121495327102803,69.0,428.0,98.0,0.0,0.5121951219512195,0.5121951219512195,0.6626016260162602,0.8292682926829268,0.6857723577235773,0.926829268292683,0.19387755102040816,0.2838283828382838,86.0,1.898876404494382,0.3543372880974383,1.7544051266568192,1.0
1,0.05455493601829195,0.12727272727272726,56.0,440.0,98.0,0.0,0.5,0.5,0.6184210526315789,0.7631578947368421,0.6355263157894736,0.8421052631578947,0.16326530612244897,0.32575757575757575,86.0,,,,2.0
2,0.05623972080709214,0.10482180293501048,50.0,477.0,98.0,0.0,0.4594594594594595,0.4594594594594595,0.5630630630630631,0.7027027027027027,0.5995495495495495,0.8648648648648649,0.16326530612244897,0.27611940298507465,74.0,,,,3.0
3,0.05828553090777809,0.11293634496919917,55.0,487.0,98.0,0.0,0.6,0.6,0.7142857142857142,0.8857142857142857,0.7142857142857142,0.8857142857142857,0.14285714285714285,0.2785234899328859,83.0,,,,4.0
4,0.06045168277909262,0.1157495256166983,61.0,527.0,98.0,0.0,0.46153846153846156,0.46153846153846156,0.5683760683760684,0.6923076923076923,0.6081196581196581,0.8717948717948718,0.17346938775510204,0.25742574257425743,78.0,,,,5.0
5,0.06249749287977857,0.119140625,61.0,512.0,98.0,0.0,0.5,0.5,0.6354166666666667,0.78125,0.6635416666666667,0.90625,0.1326530612244898,0.2939189189189189,87.0,,,,6.0
6,0.06502467006297886,0.12454873646209386,69.0,554.0,98.0,0.0,0.4166666666666667,0.4166666666666667,0.5416666666666665,0.7222222222222222,0.5819444444444444,0.8888888888888888,0.12244897959183673,0.2791519434628975,79.0,,,,7.0
7,0.06751173332263628,0.12436115843270869,73.0,587.0,98.0,0.0,0.3023255813953488,0.3023255813953488,0.44961240310077516,0.627906976744186,0.5007751937984496,0.8372093023255814,0.1326530612244898,0.28957528957528955,75.0,,,,8.0
8,0.07019936620000802,0.12460063897763578,78.0,626.0,98.0,0.0,0.32432432432432434,0.32432432432432434,0.43693693693693686,0.5945945945945946,0.4828828828828829,0.7837837837837838,0.10204081632653061,0.275,77.0,,,,9.0
9,0.07308756869509407,0.12724550898203593,85.0,668.0,98.0,0.0,0.4186046511627907,0.4186046511627907,0.5310077519379844,0.6511627906976745,0.5612403100775194,0.7906976744186046,0.16326530612244897,0.26545454545454544,73.0,,,,10.0
10,0.07633679650206587,0.12859097127222982,94.0,731.0,98.0,0.0,0.4,0.4,0.5592592592592592,0.7777777777777778,0.5914814814814814,0.9111111111111111,0.12244897959183673,0.22580645161290322,70.0,1.8387096774193548,0.2868226379626254,0.60167829429609,11.0
11,0.07930522684423763,0.1251778093883357,88.0,703.0,98.0,0.0,0.34146341463414637,0.34146341463414637,0.47560975609756095,0.6341463414634146,0.501219512195122,0.7560975609756098,0.14285714285714285,0.23529411764705882,68.0,,,,12.0
12,0.0817521761803522,0.10014306151645208,70.0,699.0,98.0,0.0,0.175,0.175,0.3708333333333333,0.6,0.39458333333333334,0.7,0.09183673469387756,0.26591760299625467,71.0,,,,13.0
13,0.08492117614023828,0.1307901907356948,96.0,734.0,98.0,0.0,0.34210526315789475,0.34210526315789475,0.44736842105263147,0.6052631578947368,0.46578947368421053,0.6842105263157895,0.11224489795918367,0.25096525096525096,65.0,,,,14.0
14,0.08784949255886718,0.11037234042553191,83.0,752.0,98.0,0.0,0.358974358974359,0.358974358974359,0.47435897435897434,0.6153846153846154,0.5166666666666666,0.7948717948717948,0.10204081632653061,0.27380952380952384,69.0,,,,15.0
15,0.09053712543623892,0.12727272727272726,91.0,715.0,98.0,0.0,0.29411764705882354,0.29411764705882354,0.4166666666666667,0.5882352941176471,0.4563725490196079,0.7647058823529411,0.11224489795918367,0.2727272727272727,69.0,,,,16.0
16,0.09262304946046773,0.0791268758526603,58.0,733.0,98.0,0.0,0.21052631578947367,0.21052631578947367,0.39035087719298245,0.631578947368421,0.4232456140350877,0.7631578947368421,0.07142857142857142,0.2605042016806723,62.0,,,,17.0
17,0.09603273296161098,0.1380813953488372,95.0,688.0,98.0,0.0,0.2647058823529412,0.2647058823529412,0.4852941176470588,0.7352941176470589,0.5147058823529411,0.8823529411764706,0.11224489795918367,0.28225806451612906,70.0,,,,18.0
18,0.09839945445063981,0.09498680738786279,72.0,758.0,98.0,0.0,0.26666666666666666,0.26666666666666666,0.40555555555555556,0.6,0.43722222222222223,0.7333333333333333,0.08163265306122448,0.2643171806167401,60.0,,,,19.0
19,0.10012435316298288,0.07640750670241286,57.0,746.0,98.0,0.0,0.24,0.24,0.2866666666666666,0.36,0.33266666666666667,0.56,0.08163265306122448,0.24452554744525548,67.0,,,,20.0
20,0.10184925187532592,0.07152682255845942,52.0,727.0,98.0,0.0,0.25925925925925924,0.25925925925925924,0.3950617283950617,0.5925925925925926,0.4209876543209876,0.7037037037037037,0.08163265306122448,0.26229508196721313,64.0,1.7422680412371134,0.2577481038646764,0.34637274773149923,21.0
21,0.1037747202053833,0.08819538670284939,65.0,737.0,98.0,0.0,0.2,0.2,0.3055555555555555,0.4666666666666667,0.33555555555555555,0.6,0.09183673469387756,0.28695652173913044,66.0,,,,22.0
22,0.10529904930001203,0.0673076923076923,49.0,728.0,98.0,0.0,0.2962962962962963,0.2962962962962963,0.3950617283950617,0.5555555555555556,0.42654320987654315,0.7037037037037037,0.07142857142857142,0.2610294117647059,71.0,,,,23.0
23,0.10650246700629788,0.06836461126005362,51.0,746.0,98.0,0.0,0.08333333333333333,0.08333333333333333,0.18055555555555555,0.2916666666666667,0.2263888888888889,0.5,0.061224489795918366,0.24731182795698925,69.0,,,,24.0
24,0.10770588471258374,0.059445178335535004,45.0,757.0,98.0,0.0,0.1111111111111111,0.1111111111111111,0.26543209876543206,0.48148148148148145,0.3080246913580247,0.6666666666666666,0.05102040816326531,0.28286852589641437,71.0,,,,25.0
25,0.10923021380721248,0.07432432432432433,55.0,740.0,98.0,0.0,0.17857142857142858,0.17857142857142858,0.3154761904761904,0.4642857142857143,0.35654761904761906,0.6428571428571429,0.09183673469387756,0.2692307692307692,70.0,,,,26.0
26,0.11115568213726984,0.08132147395171538,64.0,787.0,98.0,0.0,0.0967741935483871,0.0967741935483871,0.1989247311827957,0.3225806451612903,0.2456989247311828,0.5161290322580645,0.02040816326530612,0.25539568345323743,71.0,,,,27.0
27,0.11263989730835573,0.07343941248470012,60.0,817.0,98.0,0.0,0.24,0.24,0.30666666666666664,0.4,0.33466666666666667,0.52,0.07142857142857142,0.26515151515151514,70.0,,,,28.0
28,0.11404388463235589,0.060196560196560195,49.0,814.0,98.0,0.0,0.16,0.16,0.27999999999999997,0.44,0.33399999999999996,0.68,0.05102040816326531,0.24210526315789474,69.0,,,,29.0
29,0.11508684664447029,0.04981773997569866,41.0,823.0,98.0,0.0,0.2608695652173913,0.2608695652173913,0.33333333333333337,0.43478260869565216,0.41159420289855075,0.782608695652174,0.08163265306122448,0.2631578947368421,70.0,,,,30.0
30,0.11649083396847046,0.05974025974025974,46.0,770.0,98.0,0.0,0.32,0.32,0.42,0.56,0.456,0.72,0.09183673469387756,0.26294820717131473,66.0,1.7244897959183674,0.24406341974450302,0.45801482630628787,31.0
31,0.11805527698664206,0.06658130601792574,52.0,781.0,98.0,0.0,0.2692307692307692,0.2692307692307692,0.38461538461538464,0.5384615384615384,0.4346153846153846,0.7692307692307693,0.08163265306122448,0.24825174825174826,71.0,,,,32.0
32,0.11941915038709937,0.06707317073170732,55.0,820.0,98.0,0.0,0.06896551724137931,0.06896551724137931,0.20114942528735627,0.3793103448275862,0.2218390804597701,0.4827586206896552,0.05102040816326531,0.26621160409556316,78.0,,,,33.0
33,0.1210638212523567,0.07607361963190185,62.0,815.0,98.0,0.0,0.1935483870967742,0.1935483870967742,0.3440860215053763,0.5161290322580645,0.3876344086021505,0.7096774193548387,0.07142857142857142,0.2841726618705036,79.0,,,,34.0
34,0.12242769465281399,0.060723514211886306,47.0,774.0,98.0,0.0,0.1111111111111111,0.1111111111111111,0.2037037037037037,0.3333333333333333,0.24444444444444444,0.5185185185185185,0.061224489795918366,0.2753623188405797,76.0,,,,35.0
35,0.12387179590035702,0.06779661016949153,52.0,767.0,98.0,0.0,0.2413793103448276,0.2413793103448276,0.339080459770115,0.4482758620689655,0.39252873563218393,0.6896551724137931,0.07142857142857142,0.29136690647482016,81.0,,,,36.0
36,0.12487464398892856,0.04779874213836478,38.0,795.0,98.0,0.0,0.19230769230769232,0.19230769230769232,0.3397435897435897,0.5769230769230769,0.3666666666666666,0.6923076923076923,0.04081632653061224,0.27526132404181186,79.0,,,,37.0
37,0.126198403465843,0.05421686746987952,45.0,830.0,98.0,0.0,0.2,0.2,0.3,0.42857142857142855,0.32428571428571434,0.5428571428571428,0.05102040816326531,0.2706270627062706,82.0,,,,38.0
38,0.12788318825464318,0.06188118811881188,50.0,808.0,98.0,0.0,0.2647058823529412,0.2647058823529412,0.43137254901960786,0.6764705882352942,0.44460784313725493,0.7352941176470589,0.11224489795918367,0.2777777777777778,80.0,,,,39.0
39,0.12884592241967185,0.05235602094240838,40.0,764.0,98.0,0.0,0.08,0.08,0.21999999999999997,0.4,0.27399999999999997,0.64,0.01020408163265306,0.29,87.0,,,,40.0
40,0.13000922620241487,0.05644171779141104,46.0,815.0,98.0,0.0,0.3076923076923077,0.3076923076923077,0.34615384615384615,0.4230769230769231,0.39038461538461533,0.6153846153846154,0.09183673469387756,0.2757475083056478,83.0,1.8958333333333333,0.23537578634590228,0.5054254049730681,41.0
41,0.13125275783224358,0.06812339331619537,53.0,778.0,98.0,0.0,0.23076923076923078,0.23076923076923078,0.28846153846153844,0.34615384615384615,0.3576923076923077,0.6538461538461539,0.09183673469387756,0.29225352112676056,83.0,,,,42.0
42,0.132576517309158,0.06150061500615006,50.0,813.0,98.0,0.0,0.125,0.125,0.22916666666666666,0.375,0.25625,0.5,0.04081632653061224,0.2760942760942761,82.0,,,,43.0
43,0.1342613020979582,0.06991260923845194,56.0,801.0,98.0,0.0,0.2,0.2,0.36,0.56,0.4059999999999999,0.76,0.05102040816326531,0.29553264604810997,86.0,,,,44.0
44,0.13578563119258694,0.06330597889800703,54.0,853.0,98.0,0.0,0.06060606060606061,0.06060606060606061,0.16161616161616157,0.30303030303030304,0.19494949494949496,0.45454545454545453,0.02040816326530612,0.25227963525835867,83.0,,,,45.0
45,0.13674836535761564,0.05609756097560976,46.0,820.0,98.0,0.0,0.30434782608695654,0.30434782608695654,0.41304347826086957,0.5652173913043478,0.43478260869565216,0.6521739130434783,0.07142857142857142,0.27722772277227725,84.0,,,,46.0
46,0.13767098559910146,0.05057471264367816,44.0,870.0,98.0,0.0,0.11764705882352941,0.11764705882352941,0.14705882352941177,0.17647058823529413,0.24705882352941178,0.5882352941176471,0.02040816326530612,0.26384364820846906,81.0,,,,47.0
47,0.13843315014641583,0.03361344537815126,28.0,833.0,98.0,0.0,0.0625,0.0625,0.26041666666666663,0.5,0.2885416666666667,0.625,0.01020408163265306,0.29965156794425085,86.0,,,,48.0
48,0.13923542861727306,0.039806996381182146,33.0,829.0,98.0,0.0,0.05555555555555555,0.05555555555555555,0.31481481481481477,0.7222222222222222,0.3398148148148148,0.8333333333333334,0.030612244897959183,0.2762237762237762,79.0,,,,49.0
49,0.13987725139395885,0.036773428232502965,31.0,843.0,98.0,0.0,0.0,0.0,0.07407407407407407,0.16666666666666666,0.14074074074074072,0.4444444444444444,0.02040816326530612,0.29292929292929293,87.0,,,,50.0
