round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.05291026515303462,0.1705607476635514,73.0,428.0,98.0,0.0,0.5,0.5,0.6333333333333333,0.825,0.6545833333333333,0.925,0.19387755102040816,0.2939189189189189,87.0,1.8488372093023255,0.3527907743684129,1.3509314330555648,0.0
1,0.05499618917726343,0.12064965197215777,52.0,431.0,98.0,0.0,0.4444444444444444,0.4444444444444444,0.6111111111111112,0.8055555555555556,0.6361111111111111,0.9166666666666666,0.16326530612244897,0.303886925795053,86.0,,,,0.0
2,0.057523366360463714,0.1351931330472103,63.0,466.0,98.0,0.0,0.35135135135135137,0.35135135135135137,0.5315315315315314,0.7837837837837838,0.568018018018018,0.9459459459459459,0.1326530612244898,0.28668941979522183,84.0,,,,0.0
3,0.06041156885554976,0.13766730401529637,72.0,523.0,98.0,0.0,0.2894736842105263,0.2894736842105263,0.4868421052631578,0.7368421052631579,0.5171052631578947,0.868421052631579,0.08163265306122448,0.267515923566879,84.0,,,,0.0
4,0.06301897388583577,0.1224105461393597,65.0,531.0,98.0,0.0,0.4418604651162791,0.4418604651162791,0.5852713178294574,0.7441860465116279,0.6236434108527131,0.9069767441860465,0.1836734693877551,0.27631578947368424,84.0,,,,0.0
5,0.06546592322195034,0.11296296296296296,61.0,540.0,98.0,0.0,0.25,0.25,0.42708333333333337,0.71875,0.4536458333333333,0.84375,0.08163265306122448,0.2939068100358423,82.0,,,,0.0
6,0.06823378394640779,0.1163575042158516,69.0,593.0,98.0,0.0,0.25806451612903225,0.25806451612903225,0.43548387096774194,0.6451612903225806,0.49999999999999994,0.9354838709677419,0.08163265306122448,0.266025641025641,83.0,,,,0.0
7,0.07120221428857956,0.12271973466003316,74.0,603.0,98.0,0.0,0.35,0.35,0.4875,0.7,0.5162500000000001,0.825,0.14285714285714285,0.2626582278481013,83.0,,,,0.0
8,0.0749328091780657,0.14622641509433962,93.0,636.0,98.0,0.0,0.3617021276595745,0.3617021276595745,0.5425531914893617,0.7872340425531915,0.5638297872340425,0.8723404255319149,0.16326530612244897,0.25705329153605017,82.0,,,,0.0
9,0.07834249267920895,0.12762762762762764,85.0,666.0,98.0,0.0,0.27906976744186046,0.27906976744186046,0.5,0.7674418604651163,0.5197674418604651,0.8604651162790697,0.11224489795918367,0.28289473684210525,86.0,,,,0.0
