round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.11865685867969507,0.011090573012939002,36.0,3246.0,758.0,0.0,0.625,0.625,0.6770833333333333,0.78125,0.7270833333333333,1.0,0.026385224274406333,0.4006006006006006,667.0,2.0126582278481013,0.10898333270237835,7.890478662516815,1.0
1,0.11871974718819582,0.009595202398800599,32.0,3335.0,758.0,0.0,0.7741935483870968,0.7741935483870968,0.8225806451612904,0.8709677419354839,0.8516129032258064,1.0,0.030343007915567283,0.38470254957507083,679.0,,,,2.0
2,0.11880425362149372,0.012987012987012988,43.0,3311.0,758.0,0.0,0.725,0.725,0.7666666666666666,0.825,0.8041666666666666,1.0,0.036939313984168866,0.40942028985507245,678.0,,,,3.0
3,0.11886714212999448,0.009621166566446182,32.0,3326.0,758.0,0.0,0.8666666666666667,0.8666666666666667,0.9055555555555556,0.9666666666666667,0.9122222222222222,1.0,0.032981530343007916,0.3888248847926267,675.0,,,,4.0
4,0.11892216957493264,0.008393285371702638,28.0,3336.0,758.0,0.0,0.7142857142857143,0.7142857142857143,0.7559523809523808,0.8214285714285714,0.7970238095238095,1.0,0.022427440633245383,0.3830146231721035,681.0,,,,5.0
5,0.11900667600823053,0.01287810721772986,43.0,3339.0,758.0,0.0,0.7,0.7,0.75,0.825,0.79125,1.0,0.03562005277044855,0.3862837045720985,659.0,,,,6.0
6,0.11907349504851258,0.01007705986959099,34.0,3374.0,758.0,0.0,0.7878787878787878,0.7878787878787878,0.8737373737373737,0.9696969696969697,0.8797979797979797,1.0,0.032981530343007916,0.38531073446327685,682.0,,,,7.0
7,0.11914424462057593,0.010801080108010801,36.0,3333.0,758.0,0.0,0.7352941176470589,0.7352941176470589,0.784313725490196,0.8529411764705882,0.8166666666666667,1.0,0.027704485488126648,0.3866513233601841,672.0,,,,8.0
8,0.119211063660858,0.01015531660692951,34.0,3348.0,758.0,0.0,0.7037037037037037,0.7037037037037037,0.7654320987654322,0.8518518518518519,0.7987654320987654,1.0,0.025065963060686015,0.3768529076396807,661.0,,,,9.0
9,0.11928967429648395,0.011990407673860911,40.0,3336.0,758.0,0.0,0.5454545454545454,0.5454545454545454,0.6313131313131313,0.7575757575757576,0.6843434343434344,1.0,0.023746701846965697,0.3699389905712701,667.0,,,,10.0
10,0.11934666700731275,0.008727053866987662,29.0,3323.0,758.0,0.0,0.5769230769230769,0.5769230769230769,0.6923076923076923,0.8461538461538461,0.7269230769230769,1.0,0.01978891820580475,0.3862111043319097,633.0,2.7054794520547945,0.1069684379357257,6.750655598895129,11.0
11,0.11938597232512572,0.006015037593984963,20.0,3325.0,758.0,0.0,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.8823529411764706,0.7911764705882353,1.0,0.0158311345646438,0.3834757834757835,673.0,,,,12.0
12,0.11945279136540778,0.0102843315184513,34.0,3306.0,758.0,0.0,0.6285714285714286,0.6285714285714286,0.7,0.8,0.7471428571428571,1.0,0.027704485488126648,0.3923673225998807,658.0,,,,13.0
13,0.11949013141733011,0.0056413301662707836,19.0,3368.0,758.0,0.0,0.5,0.5,0.6388888888888888,0.8333333333333334,0.6777777777777777,1.0,0.011873350923482849,0.3788546255506608,602.0,,,,14.0
14,0.11954122833048697,0.0077450104259755735,26.0,3357.0,758.0,0.0,0.5384615384615384,0.5384615384615384,0.6730769230769229,0.8461538461538461,0.7038461538461539,1.0,0.017150395778364115,0.27255154639175255,423.0,,,,15.0
15,0.11958839471186254,0.007235453723243895,24.0,3317.0,758.0,0.0,0.6818181818181818,0.6818181818181818,0.7045454545454546,0.7272727272727273,0.7681818181818181,1.0,0.01978891820580475,0.3705275924802911,611.0,,,,16.0
16,0.11962376949789422,0.005339661821417977,18.0,3371.0,758.0,0.0,0.42105263157894735,0.42105263157894735,0.5350877192982456,0.7368421052631579,0.5929824561403508,1.0,0.0079155672823219,0.2808041504539559,433.0,,,,17.0
17,0.11966700534748849,0.006690997566909975,22.0,3288.0,758.0,0.0,0.6,0.6,0.6833333333333333,0.8,0.7308333333333333,1.0,0.0158311345646438,0.28510938602681724,404.0,,,,18.0
18,0.11969844960173887,0.004759071980963712,16.0,3362.0,758.0,0.0,0.35714285714285715,0.35714285714285715,0.47619047619047616,0.6428571428571429,0.5583333333333333,1.0,0.006596306068601583,0.2675343456254519,370.0,,,,19.0
19,0.11971417172886406,0.0024110910186859553,8.0,3318.0,758.0,0.0,0.4,0.4,0.5333333333333333,0.7,0.5983333333333333,1.0,0.005277044854881266,0.26517150395778366,402.0,,,,20.0
20,0.11973775491955184,0.003590664272890485,12.0,3342.0,758.0,0.0,0.4,0.4,0.55,0.7,0.62,1.0,0.005277044854881266,0.2664406779661017,393.0,6.5,0.10584712419509484,6.781356210812189,21.0
21,0.11976133811023962,0.0035534498075214687,12.0,3377.0,758.0,0.0,0.45454545454545453,0.45454545454545453,0.6515151515151515,0.9090909090909091,0.6742424242424242,1.0,0.006596306068601583,0.26229508196721313,384.0,,,,22.0
22,0.11978295603503676,0.003332323538321721,11.0,3301.0,758.0,0.0,0.3,0.3,0.35,0.4,0.49000000000000005,1.0,0.00395778364116095,0.2726671078755791,412.0,,,,23.0
23,0.11982422661874038,0.006310096153846154,21.0,3328.0,758.0,0.0,0.35714285714285715,0.35714285714285715,0.5238095238095238,0.7857142857142857,0.5738095238095237,1.0,0.006596306068601583,0.2676348547717842,387.0,,,,24.0
24,0.11984387927764686,0.0029895366218236174,10.0,3345.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5166666666666666,1.0,0.00395778364116095,0.27305218012866334,382.0,,,,25.0
25,0.11986353193655336,0.0029507229271171437,10.0,3389.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4629629629629629,0.6666666666666666,0.5407407407407407,1.0,0.00395778364116095,0.26237288135593223,387.0,,,,26.0
26,0.11988908039313179,0.00392393600965892,13.0,3313.0,758.0,0.0,0.25,0.25,0.4861111111111111,0.8333333333333334,0.5236111111111111,1.0,0.00395778364116095,0.2734982332155477,387.0,,,,27.0
27,0.11990676778614763,0.0026970332634102486,9.0,3337.0,758.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.34444444444444444,1.0,0.0013192612137203166,0.265625,391.0,,,,28.0
28,0.11991266358381958,0.0009099181073703367,3.0,3297.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555555,1.0,0.5555555555555555,1.0,0.0013192612137203166,0.2764456981664316,392.0,,,,29.0
29,0.11992445517916346,0.0017980221756068325,6.0,3337.0,758.0,0.0,0.4,0.4,0.4666666666666667,0.6,0.5666666666666667,1.0,0.002638522427440633,0.26360103626943004,407.0,,,,30.0
30,0.119938212040398,0.00210589651022864,7.0,3324.0,758.0,0.0,0.125,0.125,0.35416666666666663,0.75,0.4041666666666667,1.0,0.0,0.27049180327868855,396.0,6.649681528662421,0.1054640839975095,6.797164654572812,31.0
