round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.11865489341380442,0.010782501540357363,35.0,3246.0,758.0,0.0,0.5161290322580645,0.5161290322580645,0.618279569892473,0.7419354838709677,0.6779569892473118,1.0,0.021108179419525065,0.2689189189189189,398.0,5.10126582278481,0.10905600328798219,23.08161308304455,0.0
1,0.11874922617655556,0.014475271411338963,48.0,3316.0,758.0,0.0,0.5384615384615384,0.5384615384615384,0.6367521367521368,0.7692307692307693,0.6905982905982906,1.0,0.026385224274406333,0.25624178712220763,390.0,,,,0.0
2,0.11885142000286929,0.015494636471990465,52.0,3356.0,758.0,0.0,0.7297297297297297,0.7297297297297297,0.8198198198198199,0.918918918918919,0.8387387387387388,1.0,0.03430079155672823,0.2453555413196669,383.0,,,,0.0
3,0.11891234324547939,0.009139150943396226,31.0,3392.0,758.0,0.0,0.5769230769230769,0.5769230769230769,0.6858974358974359,0.8461538461538461,0.7224358974358973,1.0,0.01978891820580475,0.24612403100775193,381.0,,,,0.0
4,0.11898898861521469,0.011955855303494788,39.0,3262.0,758.0,0.0,0.71875,0.71875,0.8229166666666666,0.9375,0.8354166666666667,1.0,0.027704485488126648,0.26735395189003436,389.0,,,,0.0
5,0.1190577729213874,0.010670731707317074,35.0,3280.0,758.0,0.0,0.5151515151515151,0.5151515151515151,0.6414141414141414,0.8181818181818182,0.6838383838383838,1.0,0.01978891820580475,0.2517799352750809,389.0,,,,0.0
6,0.11911280036632556,0.008487420430433464,28.0,3299.0,758.0,0.0,0.5384615384615384,0.5384615384615384,0.6282051282051282,0.7307692307692307,0.6916666666666667,1.0,0.0158311345646438,0.2618883528600965,380.0,,,,0.0
7,0.1191914110019515,0.01235712079085573,40.0,3237.0,758.0,0.0,0.5714285714285714,0.5714285714285714,0.7499999999999999,0.9642857142857143,0.757142857142857,1.0,0.021108179419525065,0.2670157068062827,408.0,,,,0.0
8,0.11925429951045227,0.009714632665452338,32.0,3294.0,758.0,0.0,0.5666666666666667,0.5666666666666667,0.6944444444444444,0.8333333333333334,0.7344444444444443,1.0,0.022427440633245383,0.26460239268121044,376.0,,,,0.0
9,0.1193407712096408,0.013193403298350824,44.0,3335.0,758.0,0.0,0.5588235294117647,0.5588235294117647,0.6764705882352942,0.8235294117647058,0.7161764705882353,1.0,0.025065963060686015,0.2563399588759424,374.0,,,,0.0
10,0.11940955551581352,0.01046337817638266,35.0,3345.0,758.0,0.0,0.5483870967741935,0.5483870967741935,0.6666666666666667,0.8064516129032258,0.7102150537634407,1.0,0.022427440633245383,0.252027027027027,373.0,4.366666666666666,0.10758529885246704,6.747887529600885,0.0
11,0.11948620088554882,0.011614055985705777,39.0,3358.0,758.0,0.0,0.7,0.7,0.7833333333333333,0.8666666666666667,0.815,1.0,0.027704485488126648,0.2531730126920508,379.0,,,,0.0
12,0.11954908939404957,0.00963855421686747,32.0,3320.0,758.0,0.0,0.4444444444444444,0.4444444444444444,0.6111111111111112,0.8148148148148148,0.6574074074074074,1.0,0.0158311345646438,0.26035087719298244,371.0,,,,0.0
13,0.11958642944597189,0.00578386605783866,19.0,3285.0,758.0,0.0,0.5714285714285714,0.5714285714285714,0.6984126984126984,0.8571428571428571,0.7293650793650793,1.0,0.014511873350923483,0.26928471248246844,384.0,,,,0.0
14,0.11964145689091006,0.008441362677117878,28.0,3317.0,758.0,0.0,0.5833333333333334,0.5833333333333334,0.7361111111111112,0.9166666666666666,0.7548611111111111,1.0,0.017150395778364115,0.2493112947658402,362.0,,,,0.0
15,0.11970827593119211,0.010250226107928851,34.0,3317.0,758.0,0.0,0.7037037037037037,0.7037037037037037,0.7654320987654321,0.8518518518518519,0.802469135802469,1.0,0.025065963060686015,0.2542372881355932,375.0,,,,0.0
16,0.11975544231256768,0.007319304666056725,24.0,3279.0,758.0,0.0,0.6842105263157895,0.6842105263157895,0.7543859649122806,0.8421052631578947,0.7912280701754386,1.0,0.017150395778364115,0.2621492128678987,383.0,,,,0.0
17,0.11978688656681806,0.004830917874396135,16.0,3312.0,758.0,0.0,0.4375,0.4375,0.5416666666666666,0.6875,0.6104166666666666,1.0,0.006596306068601583,0.2622401073105298,391.0,,,,0.0
18,0.11982815715052168,0.006287425149700598,21.0,3340.0,758.0,0.0,0.3888888888888889,0.3888888888888889,0.5740740740740741,0.8333333333333334,0.6101851851851852,1.0,0.009234828496042216,0.25629139072847684,387.0,,,,0.0
19,0.11988121932956919,0.00823672971323978,27.0,3278.0,758.0,0.0,0.6818181818181818,0.6818181818181818,0.7575757575757577,0.8636363636363636,0.7871212121212121,1.0,0.017150395778364115,0.26705653021442494,411.0,,,,0.0
20,0.11993624677450736,0.00830121553513193,28.0,3373.0,758.0,0.0,0.7222222222222222,0.7222222222222222,0.824074074074074,0.9444444444444444,0.8379629629629629,1.0,0.0158311345646438,0.24740932642487046,382.0,4.620689655172414,0.10664592581781604,6.047512656260282,0.0
21,0.11997358682642968,0.005729794933655006,19.0,3316.0,758.0,0.0,0.5294117647058824,0.5294117647058824,0.6470588235294118,0.7647058823529411,0.7000000000000001,1.0,0.010554089709762533,0.2624113475177305,370.0,,,,0.0
22,0.120010926878352,0.005659815311289842,19.0,3357.0,758.0,0.0,0.42105263157894735,0.42105263157894735,0.5438596491228069,0.6842105263157895,0.612280701754386,1.0,0.010554089709762533,0.2536617842876165,381.0,,,,0.0
23,0.12005023219616498,0.005971931919976112,20.0,3349.0,758.0,0.0,0.4375,0.4375,0.6041666666666666,0.8125,0.6447916666666667,1.0,0.009234828496042216,0.2527855153203343,363.0,,,,0.0
24,0.1200915027798686,0.006340579710144928,21.0,3312.0,758.0,0.0,0.47058823529411764,0.47058823529411764,0.607843137254902,0.8235294117647058,0.6519607843137255,1.0,0.010554089709762533,0.2551299589603283,373.0,,,,0.0
25,0.12012294703411898,0.004740740740740741,16.0,3375.0,758.0,0.0,0.6428571428571429,0.6428571428571429,0.7619047619047619,0.9285714285714286,0.7761904761904762,1.0,0.011873350923482849,0.24867021276595744,374.0,,,,0.0
26,0.1201524260224787,0.004527618472683369,15.0,3313.0,758.0,0.0,0.46153846153846156,0.46153846153846156,0.6282051282051282,0.8461538461538461,0.6666666666666666,1.0,0.0079155672823219,0.25750500333555704,386.0,,,,0.0
27,0.12016618288371325,0.002090800477897252,7.0,3348.0,758.0,0.0,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.8571428571428571,0.8142857142857143,1.0,0.006596306068601583,0.25134770889487873,373.0,,,,0.0
28,0.12018976607440103,0.003568242640499554,12.0,3363.0,758.0,0.0,0.5714285714285714,0.5714285714285714,0.738095238095238,0.9285714285714286,0.7559523809523808,1.0,0.009234828496042216,0.25049570389953735,379.0,,,,0.0
29,0.12021727979687012,0.004210526315789474,14.0,3325.0,758.0,0.0,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7041666666666666,1.0,0.009234828496042216,0.25297225891677677,383.0,,,,0.0
30,0.12023889772166725,0.0033172496984318458,11.0,3316.0,758.0,0.0,0.5,0.5,0.625,0.75,0.675,1.0,0.005277044854881266,0.2586436170212766,389.0,3.9178082191780823,0.10613415966822977,6.072270971872256,0.0
31,0.12026444617824568,0.003880597014925373,13.0,3350.0,758.0,0.0,0.5,0.5,0.5666666666666667,0.7,0.6366666666666667,1.0,0.006596306068601583,0.2544581618655693,371.0,,,,0.0
32,0.12029195990071477,0.004209260372820205,14.0,3326.0,758.0,0.0,0.8888888888888888,0.8888888888888888,0.9444444444444444,1.0,0.9444444444444444,1.0,0.010554089709762533,0.2563380281690141,364.0,,,,0.0
33,0.1203175083572932,0.003871351995235259,13.0,3358.0,758.0,0.0,0.4444444444444444,0.4444444444444444,0.6111111111111112,0.8888888888888888,0.6388888888888888,1.0,0.005277044854881266,0.2556118754525706,353.0,,,,0.0
34,0.1203332304844184,0.0023995200959808036,8.0,3334.0,758.0,0.0,0.625,0.625,0.75,0.875,0.775,1.0,0.002638522427440633,0.2557200538358008,380.0,,,,0.0
35,0.12035681367510617,0.003616636528028933,12.0,3318.0,758.0,0.0,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.8181818181818182,0.703030303030303,1.0,0.0079155672823219,0.25691166554281863,381.0,,,,0.0
36,0.12038039686579395,0.0035917390002993114,12.0,3341.0,758.0,0.0,0.5454545454545454,0.5454545454545454,0.6818181818181818,0.9090909090909091,0.7045454545454545,1.0,0.006596306068601583,0.25724137931034485,373.0,,,,0.0
37,0.1203980842588098,0.002706766917293233,9.0,3325.0,758.0,0.0,0.5555555555555556,0.5555555555555556,0.6481481481481481,0.7777777777777778,0.7037037037037037,1.0,0.006596306068601583,0.25738396624472576,366.0,,,,0.0
38,0.12041380638593499,0.002468373958654736,8.0,3241.0,758.0,0.0,0.375,0.375,0.41666666666666663,0.5,0.5229166666666667,1.0,0.00395778364116095,0.27025089605734764,377.0,,,,0.0
39,0.12041970218360692,0.0009126863401277761,3.0,3287.0,758.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.002638522427440633,0.2579479768786127,357.0,,,,0.0
40,0.12043738957662277,0.0026849642004773268,9.0,3352.0,758.0,0.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.7083333333333334,1.0,0.00395778364116095,0.25181422351233673,347.0,4.142857142857143,0.1058603047230432,6.086469722405214,0.0
