round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25593619720862787,0.021970705725699067,33.0,1502.0,186.0,0.0,0.2777777777777778,0.2777777777777778,0.4259259259259259,0.6111111111111112,0.437037037037037,0.6666666666666666,0.4825396825396825,1.0,0.026881720430107527,0.1766304347826087,130.0,2.190082644628099,0.17115864053224372,1.7486360767708615,0.0
1,0.2624614826898677,0.022770398481973434,36.0,1581.0,186.0,0.0,0.42105263157894735,0.42105263157894735,0.587719298245614,0.7894736842105263,0.6008771929824561,0.8421052631578947,0.6271929824561403,1.0,0.043010752688172046,0.1692111959287532,133.0,,,,0.0
2,0.27007431575131413,0.02613565650280025,42.0,1607.0,186.0,0.0,0.4375,0.4375,0.5625,0.6875,0.590625,0.8125,0.6142361111111111,1.0,0.03763440860215054,0.17113665389527458,134.0,,,,0.0
3,0.2796809860431394,0.033480732785849655,53.0,1583.0,186.0,0.0,0.4090909090909091,0.4090909090909091,0.46969696969696967,0.5454545454545454,0.5196969696969697,0.7727272727272727,0.5501262626262626,1.0,0.04838709677419355,0.18473895582329317,138.0,,,,0.0
4,0.28892514047489576,0.032015065913371,51.0,1593.0,186.0,0.0,0.47619047619047616,0.47619047619047616,0.5555555555555556,0.6666666666666666,0.5769841269841269,0.7619047619047619,0.6071995464852608,1.0,0.053763440860215055,0.19295774647887323,137.0,,,,0.0
5,0.2969004893964111,0.027110289587184228,44.0,1623.0,186.0,0.0,0.28,0.28,0.32666666666666666,0.4,0.38066666666666665,0.64,0.4255396825396825,1.0,0.03763440860215054,0.18823529411764706,144.0,,,,0.0
6,0.30886351277868407,0.04140526976160602,66.0,1594.0,186.0,0.0,0.34782608695652173,0.34782608695652173,0.5072463768115941,0.6956521739130435,0.5268115942028986,0.782608695652174,0.5565734989648032,1.0,0.043010752688172046,0.18627450980392157,133.0,,,,0.0
7,0.32408917890157696,0.049851632047477744,84.0,1685.0,186.0,0.0,0.25806451612903225,0.25806451612903225,0.43010752688172044,0.6774193548387096,0.44623655913978494,0.7419354838709677,0.48283410138248845,1.0,0.043010752688172046,0.18053777208706787,141.0,,,,0.0
8,0.33713974986405654,0.04332129963898917,72.0,1662.0,186.0,0.0,0.4,0.4,0.4722222222222222,0.5666666666666667,0.5022222222222222,0.7,0.540595238095238,1.0,0.06451612903225806,0.19047619047619047,132.0,,,,0.0
9,0.34982780496646726,0.042270531400966184,70.0,1656.0,186.0,0.0,0.3870967741935484,0.3870967741935484,0.44086021505376344,0.5161290322580645,0.48763440860215057,0.7419354838709677,0.5210957501280081,1.0,0.06451612903225806,0.19176136363636365,135.0,,,,0.0
10,0.3565343483777415,0.022356495468277945,37.0,1655.0,186.0,0.0,0.3076923076923077,0.3076923076923077,0.4230769230769231,0.5769230769230769,0.4384615384615384,0.6538461538461539,0.48572954822954817,1.0,0.043010752688172046,0.19290123456790123,125.0,2.0145985401459856,0.13557256946035134,0.14079079393642677,0.0
11,0.3628783759289469,0.02109704641350211,35.0,1659.0,186.0,0.0,0.3181818181818182,0.3181818181818182,0.393939393939394,0.5,0.4234848484848486,0.6363636363636364,0.4694264069264069,1.0,0.03763440860215054,0.20763358778625954,136.0,,,,0.0
12,0.3694036614101867,0.022031823745410038,36.0,1634.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.44444444444444436,0.5714285714285714,0.4753968253968254,0.7142857142857143,0.5179138321995465,1.0,0.03763440860215054,0.1902654867256637,129.0,,,,0.0
13,0.37864781584194307,0.029344073647871116,51.0,1738.0,186.0,0.0,0.2916666666666667,0.2916666666666667,0.3819444444444445,0.5,0.3923611111111111,0.5416666666666666,0.45246362433862436,1.0,0.03763440860215054,0.17743979721166034,140.0,,,,0.0
14,0.3853543592532173,0.021893491124260357,37.0,1690.0,186.0,0.0,0.21052631578947367,0.21052631578947367,0.31578947368421045,0.47368421052631576,0.3421052631578947,0.5789473684210527,0.3968253968253968,1.0,0.021505376344086023,0.18518518518518517,130.0,,,,0.0
15,0.3907920971542505,0.017452006980802792,30.0,1719.0,186.0,0.0,0.05,0.05,0.15833333333333333,0.3,0.18833333333333332,0.45,0.2602976190476191,1.0,0.005376344086021506,0.18528610354223432,136.0,,,,0.0
16,0.39622983505528364,0.017533606078316773,30.0,1711.0,186.0,0.0,0.21428571428571427,0.21428571428571427,0.2738095238095238,0.35714285714285715,0.3380952380952381,0.6428571428571429,0.3811507936507937,1.0,0.016129032258064516,0.19681620839363242,136.0,,,,0.0
17,0.4014863150262824,0.0168899242865463,29.0,1717.0,186.0,0.0,0.23529411764705882,0.23529411764705882,0.35294117647058826,0.5294117647058824,0.4058823529411764,0.7647058823529411,0.43480392156862746,1.0,0.021505376344086023,0.2081967213114754,127.0,,,,0.0
18,0.40493021569693677,0.01072234762979684,19.0,1772.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.25000000000000006,0.42857142857142855,0.2821428571428572,0.5714285714285714,0.33973922902494325,1.0,0.010752688172043012,0.17912552891396333,127.0,,,,0.0
19,0.4094616639477977,0.014326647564469915,25.0,1745.0,186.0,0.0,0.0,0.0,0.1282051282051282,0.3076923076923077,0.19358974358974362,0.6153846153846154,0.24594017094017095,1.0,0.0,0.18985507246376812,131.0,,,,0.0
20,0.414536885988762,0.016203703703703703,28.0,1728.0,186.0,0.0,0.25,0.25,0.4305555555555555,0.6666666666666666,0.45138888888888884,0.75,0.4864417989417989,1.0,0.016129032258064516,0.17367706919945725,128.0,2.0661157024793386,0.12424496632084432,0.1250390015175298,0.0
21,0.4183433025194852,0.011904761904761904,21.0,1764.0,186.0,0.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.3384615384615385,0.6923076923076923,0.37509157509157504,1.0,0.016129032258064516,0.168,126.0,,,,0.0
22,0.4223309769802429,0.01296405421331762,22.0,1697.0,186.0,0.0,0.1875,0.1875,0.35416666666666663,0.5625,0.38229166666666664,0.6875,0.4268105158730159,1.0,0.016129032258064516,0.18985507246376812,131.0,,,,0.0
23,0.426499909371035,0.013120365088419851,23.0,1753.0,186.0,0.0,0.125,0.125,0.19791666666666663,0.3125,0.24166666666666664,0.5,0.30830853174603173,1.0,0.010752688172043012,0.1840228245363766,129.0,,,,0.0
24,0.4319376472720681,0.017201834862385322,30.0,1744.0,186.0,0.0,0.23529411764705882,0.23529411764705882,0.28431372549019607,0.35294117647058826,0.3637254901960784,0.7058823529411765,0.40317460317460313,1.0,0.021505376344086023,0.20305343511450383,133.0,,,,0.0
25,0.43665035345296355,0.015081206496519721,26.0,1724.0,186.0,0.0,0.06666666666666667,0.06666666666666667,0.1888888888888889,0.3333333333333333,0.22888888888888895,0.5333333333333333,0.2832275132275133,1.0,0.005376344086021506,0.1899070385126162,143.0,,,,0.0
26,0.43936922240348014,0.008695652173913044,15.0,1725.0,186.0,0.0,0.0,0.0,0.1515151515151515,0.36363636363636365,0.2196969696969697,0.6363636363636364,0.2590909090909091,1.0,0.0,0.1986754966887417,120.0,,,,0.0
27,0.44136305963385897,0.006121313299944352,11.0,1797.0,186.0,0.0,0.2,0.2,0.2333333333333333,0.3,0.2583333333333333,0.4,0.34206349206349207,1.0,0.010752688172043012,0.17150063051702397,136.0,,,,0.0
28,0.4433568968642378,0.006310958118187034,11.0,1743.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.3619047619047619,0.5714285714285714,0.42397959183673467,1.0,0.010752688172043012,0.17914831130690162,122.0,,,,0.0
29,0.4453507340946166,0.006395348837209302,11.0,1720.0,186.0,0.0,0.1,0.1,0.2,0.3,0.24,0.5,0.3058333333333333,1.0,0.005376344086021506,0.19409937888198758,125.0,,,,0.0
30,0.4484321189052021,0.0099882491186839,17.0,1702.0,186.0,0.0,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.3333333333333333,0.2625,0.5833333333333334,0.3157407407407407,1.0,0.005376344086021506,0.19225037257824143,129.0,2.1,0.11889717245998532,0.20258896126112497,0.0
31,0.45096972992568424,0.007990867579908675,14.0,1752.0,186.0,0.0,0.0,0.0,0.18518518518518517,0.4444444444444444,0.2074074074074074,0.5555555555555556,0.27156084656084656,1.0,0.0,0.19386331938633194,139.0,,,,0.0
32,0.45278230922602863,0.005672149744753261,10.0,1763.0,186.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.307716049382716,1.0,0.005376344086021506,0.19009370816599733,142.0,,,,0.0
33,0.4531448250860975,0.001152073732718894,2.0,1736.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,1.0,0.005376344086021506,0.18523878437047755,128.0,,,,0.0
34,0.45386985680623526,0.002317497103128621,4.0,1726.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.47222222222222215,1.0,0.005376344086021506,0.1906116642958748,134.0,,,,0.0
35,0.4573137574768896,0.010445299615173173,19.0,1819.0,186.0,0.0,0.25,0.25,0.3333333333333333,0.4166666666666667,0.39166666666666666,0.6666666666666666,0.42708333333333326,1.0,0.016129032258064516,0.18155619596541786,126.0,,,,0.0
