round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2595370853223154,0.2497376705141658,238.0,953.0,98.0,0.0,0.5540540540540541,0.5540540540540541,0.6216216216216216,0.7297297297297297,0.6554054054054055,0.8783783783783784,0.6722383097383098,1.0,0.41836734693877553,0.18995633187772926,87.0,1.5376344086021505,0.2897761312336801,0.1557279360742614,0.0
1,0.26731918648963054,0.19958847736625515,194.0,972.0,98.0,0.0,0.3548387096774194,0.3548387096774194,0.4865591397849462,0.6612903225806451,0.5276881720430108,0.8387096774193549,0.5473886328725039,1.0,0.22448979591836735,0.19522776572668113,90.0,,,,0.0
2,0.2769465281399174,0.24615384615384617,240.0,975.0,98.0,0.0,0.5,0.5,0.6087962962962963,0.75,0.6442129629629629,0.9027777777777778,0.6579365079365078,1.0,0.3673469387755102,0.18863636363636363,83.0,,,,0.0
3,0.2853704520839183,0.21761658031088082,210.0,965.0,98.0,0.0,0.4307692307692308,0.4307692307692308,0.5692307692307692,0.7384615384615385,0.5961538461538461,0.8615384615384616,0.614969474969475,1.0,0.2857142857142857,0.19736842105263158,90.0,,,,0.0
4,0.2941955152633479,0.22940563086548488,220.0,959.0,98.0,0.0,0.4722222222222222,0.4722222222222222,0.5578703703703703,0.6805555555555556,0.5842592592592593,0.8055555555555556,0.6096230158730159,1.0,0.3469387755102041,0.19222462203023757,89.0,,,,0.0
5,0.303742629066549,0.24586776859504134,238.0,968.0,98.0,0.0,0.3611111111111111,0.3611111111111111,0.45601851851851855,0.5694444444444444,0.4962962962962963,0.7361111111111112,0.5330357142857144,1.0,0.2653061224489796,0.19230769230769232,85.0,,,,0.0
6,0.3120060973163785,0.21237113402061855,206.0,970.0,98.0,0.0,0.4492753623188406,0.4492753623188406,0.5314009661835748,0.6521739130434783,0.5625603864734299,0.782608695652174,0.590246146767886,1.0,0.3163265306122449,0.19626168224299065,84.0,,,,0.0
7,0.320269565566208,0.2121524201853759,206.0,971.0,98.0,0.0,0.45588235294117646,0.45588235294117646,0.5686274509803921,0.7205882352941176,0.5943627450980393,0.8382352941176471,0.6164915966386556,1.0,0.3163265306122449,0.19399538106235567,84.0,,,,0.0
8,0.32833246419832324,0.20615384615384616,201.0,975.0,98.0,0.0,0.375,0.375,0.4837962962962962,0.625,0.5386574074074074,0.8611111111111112,0.5569940476190476,1.0,0.2755102040816326,0.1922141119221411,79.0,,,,0.0
9,0.33735809699546715,0.22959183673469388,225.0,980.0,98.0,0.0,0.38571428571428573,0.38571428571428573,0.5142857142857142,0.6714285714285714,0.5399999999999999,0.7857142857142857,0.5709467120181406,1.0,0.2755102040816326,0.19817767653758542,87.0,,,,0.0
