round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.2532870255519722,0.02831858407079646,80.0,2825.0,378.0,0.0,0.3695652173913043,0.3695652173913043,0.49637681159420277,0.6739130434782609,0.5202898550724637,0.782608695652174,0.5489648033126293,1.0,0.04497354497354497,0.23548650858544562,288.0,1.9720670391061452,0.14288968816545375,0.08348754017024176,0.0
1,0.2571322252542793,0.031903945111492284,93.0,2915.0,378.0,0.0,0.42,0.42,0.5399999999999999,0.7,0.563,0.8,0.5889047619047618,1.0,0.05555555555555555,0.23038810900082576,279.0,,,,0.0
2,0.26225915819068885,0.04404973357015986,124.0,2815.0,378.0,0.0,0.3548387096774194,0.3548387096774194,0.5,0.6935483870967742,0.5346774193548388,0.8387096774193549,0.5553763440860215,1.0,0.0582010582010582,0.2479108635097493,267.0,,,,0.0
3,0.26709666749359134,0.03979591836734694,117.0,2940.0,378.0,0.0,0.19696969696969696,0.19696969696969696,0.32575757575757575,0.48484848484848486,0.35984848484848486,0.6363636363636364,0.4090909090909091,1.0,0.03439153439153439,0.24032403240324032,267.0,,,,0.0
4,0.27238898536343337,0.04458376872169976,128.0,2871.0,378.0,0.0,0.25757575757575757,0.25757575757575757,0.36616161616161613,0.5151515151515151,0.4131313131313131,0.7121212121212122,0.4476972101972102,1.0,0.04497354497354497,0.24080882352941177,262.0,,,,0.0
5,0.27817745803357313,0.045662100456621,140.0,3066.0,378.0,0.0,0.24285714285714285,0.24285714285714285,0.38095238095238093,0.5571428571428572,0.4180952380952381,0.7142857142857143,0.45678571428571424,1.0,0.04497354497354497,0.2222222222222222,262.0,,,,0.0
6,0.2841726618705036,0.04757217847769029,145.0,3048.0,378.0,0.0,0.32894736842105265,0.32894736842105265,0.42324561403508776,0.5394736842105263,0.4554824561403509,0.6842105263157895,0.49865288220551374,1.0,0.06613756613756613,0.22154115586690018,253.0,,,,0.0
7,0.29049863557429917,0.05096602265156562,153.0,3002.0,378.0,0.0,0.22988505747126436,0.22988505747126436,0.35823754789272033,0.5287356321839081,0.40478927203065146,0.735632183908046,0.4394590403211094,1.0,0.05291005291005291,0.2423945044160942,247.0,,,,0.0
8,0.29603903084429006,0.04330963154492566,134.0,3094.0,378.0,0.0,0.2647058823529412,0.2647058823529412,0.40196078431372545,0.6029411764705882,0.42696078431372547,0.7058823529411765,0.4653886554621849,1.0,0.047619047619047616,0.23091423185673893,245.0,,,,0.0
9,0.302158273381295,0.047542563443623516,148.0,3113.0,378.0,0.0,0.17073170731707318,0.17073170731707318,0.282520325203252,0.43902439024390244,0.32459349593495934,0.6219512195121951,0.37517421602787454,1.0,0.037037037037037035,0.22627037392138064,236.0,,,,0.0
10,0.30716116761763,0.03833967046894803,121.0,3156.0,378.0,0.0,0.1917808219178082,0.1917808219178082,0.26255707762557073,0.3561643835616438,0.317351598173516,0.6027397260273972,0.369265057621222,1.0,0.037037037037037035,0.21376146788990827,233.0,2.0163934426229506,0.10932972185072884,0.14494664751848407,0.0
11,0.3119573306871744,0.03805774278215223,116.0,3048.0,378.0,0.0,0.2608695652173913,0.2608695652173913,0.35265700483091783,0.4782608695652174,0.3816425120772947,0.6086956521739131,0.4343455256498735,1.0,0.047619047619047616,0.23132036847492324,226.0,,,,0.0
12,0.31675349375671874,0.03663929248262792,116.0,3166.0,378.0,0.0,0.2463768115942029,0.2463768115942029,0.3188405797101449,0.4492753623188406,0.3630434782608695,0.6521739130434783,0.4093455256498735,1.0,0.04497354497354497,0.22778345250255363,223.0,,,,0.0
13,0.32105350202596544,0.03353756852628184,104.0,3101.0,378.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4603174603174603,0.37460317460317455,0.6349206349206349,0.42586293776769973,1.0,0.037037037037037035,0.22781065088757396,231.0,,,,0.0
14,0.32518812536177955,0.030978934324659233,100.0,3228.0,378.0,0.0,0.11594202898550725,0.11594202898550725,0.17632850241545892,0.2608695652173913,0.23647342995169077,0.5217391304347826,0.29987922705314013,1.0,0.021164021164021163,0.21932367149758455,227.0,,,,0.0
15,0.3301910195981146,0.03824273072060683,121.0,3164.0,378.0,0.0,0.13157894736842105,0.13157894736842105,0.23464912280701752,0.3684210526315789,0.2800438596491228,0.5657894736842105,0.33640350877192976,1.0,0.026455026455026454,0.227,227.0,,,,0.0
16,0.3335814107334822,0.02631578947368421,82.0,3116.0,378.0,0.0,0.12,0.12,0.22,0.36,0.272,0.58,0.32536507936507936,1.0,0.015873015873015872,0.23487903225806453,233.0,,,,0.0
17,0.33763334160258,0.03198433420365535,98.0,3064.0,378.0,0.0,0.12698412698412698,0.12698412698412698,0.22222222222222224,0.36507936507936506,0.25793650793650796,0.5238095238095238,0.32123960695389264,1.0,0.021164021164021163,0.234375,225.0,,,,0.0
18,0.34123046390473827,0.027636594663278273,87.0,3148.0,378.0,0.0,0.17543859649122806,0.17543859649122806,0.23391812865497075,0.3157894736842105,0.28040935672514616,0.5263157894736842,0.34186856028961293,1.0,0.026455026455026454,0.238,238.0,,,,0.0
19,0.34449681634003143,0.024610591900311528,79.0,3210.0,378.0,0.0,0.2692307692307692,0.2692307692307692,0.33012820512820507,0.40384615384615385,0.37820512820512825,0.6153846153846154,0.42743437118437116,1.0,0.037037037037037035,0.21492805755395683,239.0,,,,0.0
20,0.3480525924088316,0.02746726285531779,86.0,3131.0,378.0,0.0,0.17543859649122806,0.17543859649122806,0.2807017543859649,0.42105263157894735,0.30000000000000004,0.5087719298245614,0.36407685881370094,1.0,0.026455026455026454,0.2354679802955665,239.0,1.9572192513368984,0.09176600199151694,0.1717342311519806,0.0
21,0.3509881749772596,0.022278004392845937,71.0,3187.0,378.0,0.0,0.28846153846153844,0.28846153846153844,0.36217948717948717,0.46153846153846156,0.40064102564102566,0.6346153846153846,0.4460622710622711,1.0,0.03968253968253968,0.23276723276723277,233.0,,,,0.0
22,0.35590837674687836,0.035854172943657725,119.0,3319.0,378.0,0.0,0.36507936507936506,0.36507936507936506,0.4470899470899471,0.5555555555555556,0.47089947089947093,0.6666666666666666,0.5166666666666666,1.0,0.06084656084656084,0.21747765640516387,219.0,,,,0.0
23,0.36082857851649713,0.0377418331747542,119.0,3153.0,378.0,0.0,0.2631578947368421,0.2631578947368421,0.35745614035087714,0.4868421052631579,0.3910087719298246,0.631578947368421,0.437092731829574,1.0,0.05291005291005291,0.24708377518557795,233.0,,,,0.0
24,0.364301662118581,0.025846153846153845,84.0,3250.0,378.0,0.0,0.23728813559322035,0.23728813559322035,0.33615819209039544,0.4576271186440678,0.37853107344632764,0.6440677966101694,0.4240314769975787,1.0,0.037037037037037035,0.2481121898597627,230.0,,,,0.0
25,0.367816091954023,0.026670850329463446,85.0,3187.0,378.0,0.0,0.20689655172413793,0.20689655172413793,0.28448275862068967,0.39655172413793105,0.3241379310344828,0.5689655172413793,0.3774698960043787,1.0,0.031746031746031744,0.24588477366255143,239.0,,,,0.0
26,0.37079302075580917,0.0225140712945591,72.0,3198.0,378.0,0.0,0.09090909090909091,0.09090909090909091,0.21212121212121215,0.36363636363636365,0.2603030303030303,0.5818181818181818,0.31458874458874453,1.0,0.013227513227513227,0.23511604439959638,233.0,,,,0.0
27,0.37410071942446044,0.024524831391784182,80.0,3262.0,378.0,0.0,0.24074074074074073,0.24074074074074073,0.3611111111111111,0.5185185185185185,0.38981481481481484,0.6481481481481481,0.4341122868900647,1.0,0.03439153439153439,0.2518440463645943,239.0,,,,0.0
28,0.37616803109236746,0.015590894917368257,50.0,3207.0,378.0,0.0,0.34146341463414637,0.34146341463414637,0.4593495934959349,0.6097560975609756,0.4995934959349593,0.7804878048780488,0.5314847077042198,1.0,0.037037037037037035,0.23823823823823823,238.0,,,,0.0
29,0.3786074588604978,0.018125960061443933,59.0,3255.0,378.0,0.0,0.22727272727272727,0.22727272727272727,0.29924242424242425,0.4090909090909091,0.34015151515151515,0.5909090909090909,0.3940746753246753,1.0,0.026455026455026454,0.23809523809523808,250.0,,,,0.0
30,0.38067477052840487,0.0148720999405116,50.0,3362.0,378.0,0.0,0.1590909090909091,0.1590909090909091,0.23106060606060605,0.3181818181818182,0.2708333333333333,0.5,0.3348665223665223,1.0,0.018518518518518517,0.23933209647495363,258.0,2.0052631578947366,0.07960808732043101,0.12261137661717121,0.0
31,0.3826180434962375,0.014673743365594755,47.0,3203.0,378.0,0.0,0.125,0.125,0.2208333333333333,0.35,0.25583333333333336,0.5,0.3242063492063492,1.0,0.013227513227513227,0.25688073394495414,280.0,,,,0.0
32,0.3845613164640701,0.014682911590128085,47.0,3201.0,378.0,0.0,0.0975609756097561,0.0975609756097561,0.18292682926829268,0.3170731707317073,0.21829268292682924,0.4878048780487805,0.28964382500967867,1.0,0.010582010582010581,0.2625341841385597,288.0,,,,0.0
33,0.3865459356652609,0.014796547472256474,48.0,3244.0,378.0,0.0,0.1388888888888889,0.1388888888888889,0.16666666666666666,0.2222222222222222,0.2111111111111111,0.4166666666666667,0.29147927689594355,1.0,0.013227513227513227,0.27543186180422263,287.0,,,,0.0
