round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@5,hits@5,mrr@10,hits@10,mrr@20,hits@20,hit_rate@5,rec_coverage@5,unique_recs@5,novelty,clustering_diff,degree_kl,replay_size
0,0.05648616179703969,0.2974652087475149,1197.0,4024.0,403.0,0.0,0.7500517598343684,0.9409937888198758,0.7582285812875874,1.0,0.7582285812875874,1.0,0.7245657568238213,0.6130073800738007,1329.0,2.14,0.5536410998550598,1.1358053980805234,1.0
1,0.06394927125597842,0.3394014962593516,1361.0,4010.0,403.0,0.0,0.753719806763285,0.936231884057971,0.7628019323671498,1.0,0.7628019323671498,1.0,0.7667493796526055,0.6055090998524348,1231.0,,,,2.0
2,0.07161071695718203,0.34782608695652173,1400.0,4025.0,403.0,0.0,0.7608993157380254,0.9501466275659824,0.7679828236279848,1.0,0.7679828236279848,1.0,0.7915632754342432,0.6042421107087429,1168.0,,,,3.0
3,0.07898882516943583,0.34047322540473224,1367.0,4015.0,403.0,0.0,0.7462693798449611,0.9534883720930233,0.7523474990771502,1.0,0.7523474990771502,1.0,0.7791563275434243,0.5892655367231638,1043.0,,,,4.0
4,0.08620259763809869,0.33208114199849736,1326.0,3993.0,403.0,0.0,0.7088954056695993,0.9090909090909091,0.7218044500302565,1.0,0.7218044500302565,1.0,0.7270471464019851,0.5770845830833833,962.0,,,,5.0
5,0.09349570460366752,0.3300970873786408,1326.0,4017.0,403.0,0.0,0.6891495601173021,0.9090909090909091,0.7015465717078619,1.0,0.7015465717078619,1.0,0.7468982630272953,0.5493230174081238,852.0,,,,6.0
6,0.10072081057188839,0.33441315723897336,1342.0,4013.0,403.0,0.0,0.6597262952101662,0.8973607038123167,0.6737862495927013,1.0,0.6737862495927013,1.0,0.7369727047146402,0.5507343124165555,825.0,,,,7.0
7,0.10757191105469546,0.31327697662854304,1260.0,4022.0,403.0,0.0,0.6507309941520468,0.8830409356725146,0.6670101178873109,1.0,0.6670101178873109,1.0,0.6972704714640199,0.5349766822118588,803.0,,,,8.0
8,0.11411700704943673,0.30161490683229814,1214.0,4025.0,403.0,0.0,0.6501466275659824,0.9032258064516129,0.6634722804077643,1.0,0.6634722804077643,1.0,0.7419354838709677,0.536908077994429,771.0,,,,9.0
9,0.12015776231384727,0.27841191066997517,1122.0,4030.0,403.0,0.0,0.5977544910179641,0.8413173652694611,0.6189121756487026,1.0,0.6189121756487026,1.0,0.6699751861042184,0.5367498314227916,796.0,,,,10.0
10,0.1260455153342249,0.2707608155146693,1089.0,4022.0,403.0,0.0,0.6070532915360501,0.8401253918495298,0.6292394387221973,1.0,0.6292394387221973,1.0,0.6575682382133995,0.5196687370600414,753.0,1.515,0.41024129210000987,0.699534446052427,11.0
11,0.13141192737493484,0.2491315136476427,1004.0,4030.0,403.0,0.0,0.5503086419753086,0.8240740740740741,0.5732118361747992,1.0,0.5732118361747992,1.0,0.6203473945409429,0.5388349514563107,777.0,,,,12.0
12,0.13648366842713694,0.23821339950372208,960.0,4030.0,403.0,0.0,0.6209401709401708,0.8621794871794872,0.6392895299145298,1.0,0.6392895299145298,1.0,0.6550868486352357,0.516597510373444,747.0,,,,13.0
13,0.14141374073486412,0.22887673956262425,921.0,4024.0,403.0,0.0,0.5747162022703818,0.8452012383900929,0.5952061526364931,1.0,0.5952061526364931,1.0,0.6501240694789082,0.5313778990450204,779.0,,,,14.0
14,0.14637214679148627,0.23374034388238227,938.0,4013.0,403.0,0.0,0.594601677148847,0.8364779874213837,0.616654187880603,1.0,0.616654187880603,1.0,0.6377171215880894,0.5318711446196025,776.0,,,,15.0
15,0.15096221411247365,0.21699053313403088,871.0,4014.0,403.0,0.0,0.5723497267759563,0.7967213114754098,0.5994717668488161,1.0,0.5994717668488161,1.0,0.6203473945409429,0.548606390210741,807.0,,,,16.0
