round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5196758794977737,0.5010204081632653,491.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8469387755102041,0.17635270541082165,88.0,1.168421052631579,0.18774169093821264,0.14638471433048025,0.0
1,0.5376068033214328,0.4561224489795918,447.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7959183673469388,0.17425742574257425,88.0,,,,0.0
2,0.5524489550322917,0.37755102040816324,370.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8367346938775511,0.16764132553606237,86.0,,,,0.0
3,0.5669300814312648,0.3717816683831102,361.0,971.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.826530612244898,0.16827852998065765,87.0,,,,0.0
4,0.580809498977095,0.35306122448979593,346.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8061224489795918,0.1717557251908397,90.0,,,,0.0
5,0.5932047013518392,0.3153061224489796,309.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8061224489795918,0.17169811320754716,91.0,,,,0.0
6,0.606321954350355,0.33607399794450155,327.0,973.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8163265306122449,0.17307692307692307,90.0,,,,0.0
7,0.6178346504071563,0.29285714285714287,287.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6836734693877551,0.17227722772277226,87.0,,,,0.0
8,0.6279032452164146,0.25612244897959185,251.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6836734693877551,0.1609403254972875,89.0,,,,0.0
9,0.6374904729431585,0.24387755102040817,239.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7448979591836735,0.1701720841300191,89.0,,,,0.0
10,0.6453929158811024,0.2010204081632653,197.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6428571428571429,0.16792452830188678,89.0,1.2959183673469388,0.12306566722524906,0.4030181184418624,0.0
11,0.6551405993020177,0.2479591836734694,243.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.15846994535519127,87.0,,,,0.0
12,0.6625215612339043,0.188911704312115,184.0,974.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6530612244897959,0.16068052930056712,85.0,,,,0.0
13,0.6709855991014481,0.2153061224489796,211.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6836734693877551,0.17523809523809525,92.0,,,,0.0
14,0.6786072445745919,0.19387755102040816,190.0,980.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6938775510204082,0.16387337057728119,88.0,,,,0.0
