round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6059703960969156,0.04052543320290665,145.0,3578.0,378.0,0.0,0.4482758620689655,0.4482758620689655,0.5172413793103449,0.6091954022988506,0.55,0.7471264367816092,0.5845831052727605,1.0,0.10317460317460317,0.17760342368045648,249.0,1.9184782608695652,0.07734624899195315,0.011729444765197666,0.0
1,0.6115521376002646,0.03869303525365434,135.0,3489.0,378.0,0.0,0.36046511627906974,0.36046511627906974,0.46124031007751937,0.6046511627906976,0.5065891472868217,0.8023255813953488,0.5326319675156884,1.0,0.082010582010582,0.17638036809815952,230.0,,,,0.0
2,0.6173819565037625,0.03933054393305439,141.0,3585.0,378.0,0.0,0.34444444444444444,0.34444444444444444,0.46481481481481485,0.6333333333333333,0.4920370370370371,0.7555555555555555,0.5219268077601412,1.0,0.082010582010582,0.1680482290881688,223.0,,,,0.0
3,0.6227569668403209,0.03578309936691439,130.0,3633.0,378.0,0.0,0.25842696629213485,0.25842696629213485,0.40074906367041196,0.5955056179775281,0.4400749063670413,0.7752808988764045,0.47084893882646706,1.0,0.06084656084656084,0.1750563486100676,233.0,,,,0.0
4,0.6285040932771024,0.03841901603095633,139.0,3618.0,378.0,0.0,0.358695652173913,0.358695652173913,0.46195652173913043,0.5978260869565217,0.4956521739130435,0.75,0.5285369220151829,1.0,0.0873015873015873,0.18301731244847486,222.0,,,,0.0
5,0.6334242950467213,0.03311074012242626,119.0,3594.0,378.0,0.0,0.379746835443038,0.379746835443038,0.5084388185654009,0.6962025316455697,0.5280590717299578,0.7848101265822784,0.5559674502712477,1.0,0.07936507936507936,0.174565560821485,221.0,,,,0.0
6,0.6379310344827587,0.030429927414852037,109.0,3582.0,378.0,0.0,0.375,0.375,0.4606481481481482,0.5694444444444444,0.4918981481481482,0.7083333333333334,0.5309082892416226,1.0,0.07142857142857142,0.16940789473684212,206.0,,,,0.0
7,0.6421070040519309,0.027716794731064764,101.0,3644.0,378.0,0.0,0.32857142857142857,0.32857142857142857,0.4642857142857143,0.6285714285714286,0.5092857142857143,0.8285714285714286,0.5319217687074831,1.0,0.06084656084656084,0.17235772357723578,212.0,,,,0.0
8,0.6467791284214008,0.030806979280261722,113.0,3668.0,378.0,0.0,0.25,0.25,0.33125,0.4375,0.38249999999999995,0.675,0.4246081349206349,1.0,0.05291005291005291,0.16525096525096525,214.0,,,,0.0
9,0.6505416356569916,0.02496570644718793,91.0,3645.0,378.0,0.0,0.296875,0.296875,0.42708333333333337,0.59375,0.4622395833333333,0.75,0.495405505952381,1.0,0.05026455026455026,0.17324052590873937,224.0,,,,0.0
