round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.8024476970148019,0.016565433462175594,60.0,3622.0,378.0,0.0,0.40816326530612246,0.40816326530612246,0.5238095238095237,0.673469387755102,0.5574829931972789,0.8163265306122449,0.581648850016197,1.0,0.05291005291005291,0.17615384615384616,229.0,2.0051546391752577,0.04091960204607323,0.002282133005462554,0.0
1,0.8049698172496486,0.016721491228070175,61.0,3648.0,378.0,0.0,0.2830188679245283,0.2830188679245283,0.38993710691823896,0.5283018867924528,0.42389937106918235,0.6792452830188679,0.46433812518718176,1.0,0.03968253968253968,0.17889908256880735,234.0,,,,0.0
2,0.807740014884644,0.01844205890448665,67.0,3633.0,378.0,0.0,0.3125,0.3125,0.4618055555555555,0.6458333333333334,0.49722222222222223,0.8125,0.5250992063492064,1.0,0.03968253968253968,0.1727349703640982,204.0,,,,0.0
3,0.8099727114859836,0.014950166112956811,54.0,3612.0,378.0,0.0,0.3488372093023256,0.3488372093023256,0.47674418604651164,0.627906976744186,0.5011627906976743,0.7441860465116279,0.5361295681063123,1.0,0.03968253968253968,0.17542441390460792,217.0,,,,0.0
4,0.8116679070536674,0.01133849557522124,41.0,3616.0,378.0,0.0,0.25,0.25,0.33796296296296297,0.4444444444444444,0.38935185185185184,0.6666666666666666,0.43244047619047615,1.0,0.023809523809523808,0.18305084745762712,216.0,,,,0.0
5,0.813900603655007,0.014979195561719833,54.0,3605.0,378.0,0.0,0.32653061224489793,0.32653061224489793,0.44217687074829926,0.5918367346938775,0.4819727891156463,0.7755102040816326,0.5105928085519922,1.0,0.042328042328042326,0.1779513888888889,205.0,,,,0.0
6,0.8157611841561234,0.01226158038147139,45.0,3670.0,378.0,0.0,0.30952380952380953,0.30952380952380953,0.4682539682539682,0.6904761904761905,0.4849206349206349,0.7619047619047619,0.5138133030990174,1.0,0.03439153439153439,0.16681071737251513,193.0,,,,0.0
7,0.8180765732241793,0.015275504637206765,56.0,3666.0,378.0,0.0,0.32558139534883723,0.32558139534883723,0.4418604651162791,0.6046511627906976,0.48604651162790696,0.7906976744186046,0.513233665559247,1.0,0.037037037037037035,0.17757847533632287,198.0,,,,0.0
8,0.8201852311254445,0.013984096517685769,51.0,3647.0,378.0,0.0,0.25,0.25,0.4291666666666666,0.675,0.4616666666666666,0.825,0.4839087301587302,1.0,0.026455026455026454,0.1802990325417766,205.0,,,,0.0
9,0.8224179277267841,0.014689880304679,54.0,3676.0,378.0,0.0,0.3409090909090909,0.3409090909090909,0.41287878787878785,0.5,0.45606060606060606,0.6818181818181818,0.4990079365079365,1.0,0.03968253968253968,0.1668077900084674,197.0,,,,0.0
10,0.8244025469279749,0.013157894736842105,48.0,3648.0,378.0,0.0,0.3,0.3,0.4083333333333333,0.6,0.45958333333333334,0.825,0.4817261904761905,1.0,0.031746031746031744,0.18790697674418605,202.0,1.9747474747474747,0.02971569575001559,0.02222120198220002,0.0
11,0.8260563962623005,0.010925976509150505,40.0,3661.0,378.0,0.0,0.25,0.25,0.3333333333333333,0.4722222222222222,0.3513888888888889,0.5555555555555556,0.40869708994709,1.0,0.023809523809523808,0.17354675652906487,206.0,,,,0.0
