round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.8052178946497974,0.03506350082827167,127.0,3622.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21693121693121692,0.17682591982427237,322.0,1.943298969072165,0.03980184276303474,0.004170305862829594,0.0
1,0.8114611758868767,0.04185144124168515,151.0,3608.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23809523809523808,0.17916207276736493,325.0,,,,0.0
2,0.8171669560903002,0.0377255330781848,138.0,3658.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.17666853617498599,315.0,,,,0.0
3,0.8224179277267841,0.03469945355191257,127.0,3660.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22486772486772486,0.1782857142857143,312.0,,,,0.0
4,0.8271727445629703,0.03161946659334616,115.0,3637.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21693121693121692,0.18524774774774774,329.0,,,,0.0
5,0.8316381377656495,0.02932392071680695,108.0,3683.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19047619047619047,0.18141592920353983,328.0,,,,0.0
6,0.836144877201687,0.02973267866884888,109.0,3666.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.17863105175292154,321.0,,,,0.0
7,0.8404448854709335,0.028314729104274437,104.0,3673.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18783068783068782,0.1866137266023823,329.0,,,,0.0
8,0.843463160506078,0.019983575143717493,73.0,3653.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15343915343915343,0.1795595708639187,318.0,,,,0.0
9,0.8468122054080873,0.021868250539956804,81.0,3704.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1455026455026455,0.18816303740926857,337.0,,,,0.0
10,0.849913172909948,0.02046943231441048,75.0,3664.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16137566137566137,0.18528916339135318,330.0,1.9441624365482233,0.022899655314760375,0.021462998961180268,0.0
11,0.8524352931447945,0.01663485137714753,61.0,3667.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12962962962962962,0.18319327731092436,327.0,,,,0.0
12,0.855825684280162,0.022533663094256664,82.0,3639.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15608465608465608,0.18127053669222343,331.0,,,,0.0
13,0.8584304969817249,0.016930932545014783,63.0,3721.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13227513227513227,0.18007662835249041,329.0,,,,0.0
14,0.8606631935830645,0.014618299945858148,54.0,3694.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11904761904761904,0.1796276013143483,328.0,,,,0.0
15,0.8629372364177623,0.014800861141011841,55.0,3716.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.18191902384914033,328.0,,,,0.0
16,0.8653766641858927,0.016063163626463383,59.0,3673.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.17849462365591398,332.0,,,,0.0
17,0.8676920532539486,0.015263014445352958,56.0,3669.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12433862433862433,0.1799442896935933,323.0,,,,0.0
18,0.8702968659555115,0.017077798861480076,63.0,3689.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12433862433862433,0.19758759333716255,344.0,,,,0.0
19,0.8724055238567766,0.013832384052074858,51.0,3687.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.17739227756015669,317.0,,,,0.0
20,0.874266104357893,0.012328767123287671,45.0,3650.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10317460317460317,0.18690005646527386,331.0,2.0100502512562812,0.011896670769664469,0.031144097435645487,0.0
21,0.8762920697924419,0.013333333333333334,49.0,3675.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10582010582010581,0.1849806736609608,335.0,,,,0.0
22,0.8779872653601257,0.011045258620689655,41.0,3712.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09259259259259259,0.18613750698714365,333.0,,,,0.0
23,0.8796824609278094,0.011153427638737758,41.0,3676.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.184598580010923,338.0,,,,0.0
24,0.8814603489622096,0.011713429583219831,43.0,3671.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10317460317460317,0.18428334255672385,333.0,,,,0.0
25,0.8828661208963864,0.0091792656587473,34.0,3704.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.18276050190943807,335.0,,,,0.0
26,0.8844786239973539,0.010566242210782985,39.0,3691.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09259259259259259,0.17886626307099615,325.0,,,,0.0
27,0.8858843959315307,0.009221589368049905,34.0,3687.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07407407407407407,0.18705035971223022,338.0,,,,0.0
28,0.8872901678657075,0.009209100758396533,34.0,3692.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07671957671957672,0.17720090293453725,314.0,,,,0.0
29,0.8881997849995865,0.005975013579576317,22.0,3682.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.18304323413812465,326.0,,,,0.0
30,0.8892334408335401,0.0067861020629750276,25.0,3684.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06084656084656084,0.18456375838926176,330.0,2.040201005025126,0.006997380446838064,0.030316822889197736,0.0
31,0.8904324816009261,0.007833603457590491,29.0,3702.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07407407407407407,0.18522663682148852,331.0,,,,0.0
32,0.8916315223683122,0.007865473284513154,29.0,3687.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06613756613756613,0.1881243063263041,339.0,,,,0.0
33,0.8928305631356983,0.007865473284513154,29.0,3687.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06878306878306878,0.18274111675126903,324.0,,,,0.0
34,0.8937815265029356,0.006268738075769964,23.0,3669.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05026455026455026,0.19036954087346025,340.0,,,,0.0
35,0.8945257587033821,0.004918032786885246,18.0,3660.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04497354497354497,0.18366197183098593,326.0,,,,0.0
36,0.8956007607706938,0.007032729239924263,26.0,3697.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05291005291005291,0.19279176201372997,337.0,,,,0.0
37,0.8964690316712147,0.0056634304207119745,21.0,3708.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.18760469011725292,336.0,,,,0.0
38,0.8972132638716613,0.004885993485342019,18.0,3684.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.042328042328042326,0.18373151308304891,323.0,,,,0.0
39,0.8980815347721822,0.00568489442338928,21.0,3694.0,378.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05291005291005291,0.18819599109131402,338.0,,,,0.0
