round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.8018688497477879,0.012700165654334622,46.0,3622.0,378.0,0.0,0.23809523809523808,0.23809523809523808,0.3333333333333333,0.47619047619047616,0.3916666666666667,0.7380952380952381,0.4257464096749811,1.0,0.026455026455026454,0.12991452991452992,76.0,2.0670103092783507,0.041220619961092164,0.002092217249508051,0.0
1,0.8040602001157695,0.01462876069555617,53.0,3623.0,378.0,0.0,0.3877551020408163,0.3877551020408163,0.49999999999999994,0.6530612244897959,0.5408163265306123,0.8367346938775511,0.5621477162293489,1.0,0.05026455026455026,0.13414634146341464,77.0,,,,0.0
2,0.8059621268502439,0.012795549374130737,46.0,3595.0,378.0,0.0,0.20930232558139536,0.20930232558139536,0.3062015503875969,0.4418604651162791,0.3573643410852713,0.6744186046511628,0.40241786637135474,1.0,0.023809523809523808,0.12994350282485875,69.0,,,,0.0
3,0.8076986686512859,0.011525795828759604,42.0,3644.0,378.0,0.0,0.18421052631578946,0.18421052631578946,0.36403508771929827,0.5789473684210527,0.3969298245614035,0.7368421052631579,0.431672932330827,1.0,0.018518518518518517,0.13992537313432835,75.0,,,,0.0
4,0.8102207888861325,0.016549104720564298,61.0,3686.0,378.0,0.0,0.23529411764705882,0.23529411764705882,0.35294117647058815,0.5294117647058824,0.3833333333333333,0.6666666666666666,0.42300809212573914,1.0,0.031746031746031744,0.12151394422310757,61.0,,,,0.0
5,0.8125775241875465,0.015565264882577826,57.0,3662.0,378.0,0.0,0.21568627450980393,0.21568627450980393,0.3366013071895425,0.49019607843137253,0.37483660130718954,0.6666666666666666,0.42202769996887646,1.0,0.0291005291005291,0.14052953156822812,69.0,,,,0.0
6,0.8141486810551559,0.01043096349162778,38.0,3643.0,378.0,0.0,0.1724137931034483,0.1724137931034483,0.3275862068965518,0.5862068965517241,0.3500000000000001,0.6896551724137931,0.3930213464696224,1.0,0.013227513227513227,0.12880143112701253,72.0,,,,0.0
7,0.8162986851897792,0.014234875444839857,52.0,3653.0,378.0,0.0,0.2857142857142857,0.2857142857142857,0.38888888888888895,0.5238095238095238,0.4388888888888889,0.7380952380952381,0.47504724111866964,1.0,0.031746031746031744,0.1448692152917505,72.0,,,,0.0
8,0.8175390721905235,0.008223684210526315,30.0,3648.0,378.0,0.0,0.25,0.25,0.3273809523809524,0.42857142857142855,0.3666666666666667,0.6071428571428571,0.4234977324263039,1.0,0.018518518518518517,0.1348314606741573,60.0,,,,0.0
9,0.8188208054246258,0.008465319497542327,31.0,3662.0,378.0,0.0,0.25,0.25,0.38690476190476186,0.5714285714285714,0.419047619047619,0.7142857142857143,0.4545068027210884,1.0,0.018518518518518517,0.13498098859315588,71.0,,,,0.0
10,0.8204746547589514,0.01094391244870041,40.0,3655.0,378.0,0.0,0.18421052631578946,0.18421052631578946,0.2456140350877193,0.34210526315789475,0.2864035087719298,0.5263157894736842,0.35395781119465325,1.0,0.018518518518518517,0.1288981288981289,62.0,2.00507614213198,0.029742065816671298,0.013119559148129258,0.0
11,0.8221285040932771,0.011086474501108648,40.0,3608.0,378.0,0.0,0.22857142857142856,0.22857142857142856,0.35238095238095235,0.5428571428571428,0.3795238095238095,0.6571428571428571,0.4234013605442176,1.0,0.021164021164021163,0.1417624521072797,74.0,,,,0.0
12,0.823575622260812,0.009625962596259627,35.0,3636.0,378.0,0.0,0.44,0.44,0.48666666666666664,0.56,0.5166666666666666,0.68,0.558047619047619,1.0,0.0291005291005291,0.133630289532294,60.0,,,,0.0
13,0.8248160092615563,0.00812787862367922,30.0,3691.0,378.0,0.0,0.23076923076923078,0.23076923076923078,0.37179487179487186,0.5384615384615384,0.40448717948717944,0.6923076923076923,0.4422924297924297,1.0,0.015873015873015872,0.14192139737991266,65.0,,,,0.0
14,0.8256842801620773,0.005700325732899023,21.0,3684.0,378.0,0.0,0.15789473684210525,0.15789473684210525,0.2982456140350877,0.47368421052631576,0.33771929824561403,0.631578947368421,0.3841269841269841,1.0,0.007936507936507936,0.13068181818181818,69.0,,,,0.0
15,0.8270073596295378,0.008767123287671232,32.0,3650.0,378.0,0.0,0.06896551724137931,0.06896551724137931,0.22988505747126434,0.4482758620689655,0.27816091954022987,0.6551724137931034,0.3283388067870826,1.0,0.005291005291005291,0.14545454545454545,72.0,,,,0.0
16,0.8280823616968495,0.0071018847309478285,26.0,3661.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.356060606060606,0.45454545454545453,0.39924242424242423,0.6363636363636364,0.45290404040404036,1.0,0.015873015873015872,0.1447084233261339,67.0,,,,0.0
17,0.8288679401306541,0.005167255915148218,19.0,3677.0,378.0,0.0,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.23529411764705882,0.2264705882352941,0.47058823529411764,0.2924603174603174,1.0,0.005291005291005291,0.13178294573643412,68.0,,,,0.0
18,0.830025634664682,0.007664932931836847,28.0,3653.0,378.0,0.0,0.19230769230769232,0.19230769230769232,0.3012820512820513,0.4230769230769231,0.34551282051282056,0.6153846153846154,0.3943223443223443,1.0,0.013227513227513227,0.1309255079006772,58.0,,,,0.0
19,0.8313487141321425,0.008714596949891068,32.0,3672.0,378.0,0.0,0.26666666666666666,0.26666666666666666,0.3888888888888889,0.5333333333333333,0.44388888888888894,0.7666666666666667,0.4695370370370371,1.0,0.021164021164021163,0.13552361396303902,66.0,,,,0.0
20,0.8320102538658728,0.0043859649122807015,16.0,3648.0,378.0,0.0,0.1875,0.1875,0.3125,0.5,0.328125,0.5625,0.3855654761904762,1.0,0.007936507936507936,0.15892420537897312,65.0,2.0251256281407035,0.025802769223300742,0.02291693248327152,0.0
21,0.8328785247663938,0.005796301407673199,21.0,3623.0,378.0,0.0,0.1111111111111111,0.1111111111111111,0.23148148148148145,0.3888888888888889,0.28981481481481475,0.6666666666666666,0.33163580246913577,1.0,0.005291005291005291,0.13544018058690746,60.0,,,,0.0
22,0.8335400645001241,0.004354926510615134,16.0,3674.0,378.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.46071428571428574,0.7142857142857143,0.503656462585034,1.0,0.010582010582010581,0.1336206896551724,62.0,,,,0.0
23,0.8342842967005706,0.0049126637554585155,18.0,3664.0,378.0,0.0,0.17647058823529413,0.17647058823529413,0.2745098039215686,0.4117647058823529,0.3127450980392157,0.5882352941176471,0.36248832866479924,1.0,0.007936507936507936,0.13846153846153847,63.0,,,,0.0
24,0.8353179525345241,0.006758583400919167,25.0,3699.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.38636363636363635,0.5454545454545454,0.39545454545454545,0.5909090909090909,0.4477813852813853,1.0,0.015873015873015872,0.1366742596810934,60.0,,,,0.0
25,0.8359381460348962,0.004043126684636119,15.0,3710.0,378.0,0.0,0.07692307692307693,0.07692307692307693,0.19230769230769232,0.3076923076923077,0.2076923076923077,0.38461538461538464,0.28565323565323564,1.0,0.0026455026455026454,0.13317757009345793,57.0,,,,0.0
26,0.8368477631687753,0.005952380952380952,22.0,3696.0,378.0,0.0,0.11764705882352941,0.11764705882352941,0.2352941176470588,0.4117647058823529,0.30588235294117644,0.7058823529411765,0.3387254901960784,1.0,0.005291005291005291,0.13303769401330376,60.0,,,,0.0
