round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.10341939298383918,0.04408060453400504,70.0,1588.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1746031746031746,0.1768355739400207,171.0,2.2545454545454544,0.08139381475542566,0.06318766450717146,0.0
1,0.10800157666535277,0.056915544675642596,93.0,1634.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24867724867724866,0.1720321931589537,171.0,,,,0.0
2,0.11416042569964525,0.07571168988491823,125.0,1651.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30687830687830686,0.17157894736842105,163.0,,,,0.0
3,0.11800354749704375,0.046734571599760334,78.0,1669.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21164021164021163,0.1689119170984456,163.0,,,,0.0
4,0.12145250295624754,0.0421179302045728,70.0,1662.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21164021164021163,0.18680089485458612,167.0,,,,0.0
5,0.1256405202995664,0.05102040816326531,85.0,1666.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20634920634920634,0.19174757281553398,158.0,,,,0.0
6,0.13022270398108002,0.05702023298589822,93.0,1631.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.18654073199527746,158.0,,,,0.0
7,0.1353961371698857,0.06414172266340867,105.0,1637.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21164021164021163,0.18493150684931506,162.0,,,,0.0
8,0.14263894363421364,0.08586448598130841,147.0,1712.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31216931216931215,0.182648401826484,160.0,,,,0.0
9,0.14860070949940876,0.07297949336550061,121.0,1658.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24867724867724866,0.18947368421052632,162.0,,,,0.0
10,0.15426685061095782,0.07020757020757021,115.0,1638.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25925925925925924,0.1932367149758454,160.0,1.6971830985915493,0.05455460889902856,0.16469689205977728,0.0
11,0.1587997635001971,0.05609756097560976,92.0,1640.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21693121693121692,0.1854066985645933,155.0,,,,0.0
12,0.16441663381947183,0.06822262118491922,114.0,1671.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25925925925925924,0.19904076738609114,166.0,,,,0.0
13,0.17062475364603863,0.07491082045184304,126.0,1682.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30158730158730157,0.19827586206896552,161.0,,,,0.0
14,0.1781631848640126,0.0890570430733411,153.0,1718.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3439153439153439,0.19164619164619165,156.0,,,,0.0
15,0.18456838785967677,0.07951070336391437,130.0,1635.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31746031746031744,0.20998719590268886,164.0,,,,0.0
16,0.1900374458021285,0.06731352334748332,111.0,1649.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25925925925925924,0.21971830985915494,156.0,,,,0.0
17,0.19516160819865983,0.06035983749274521,104.0,1723.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30687830687830686,0.19576719576719576,148.0,,,,0.0
18,0.19925108395743005,0.04756446991404011,83.0,1745.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23809523809523808,0.20392156862745098,156.0,,,,0.0
19,0.2035376428852976,0.05222088835534214,87.0,1666.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.212,159.0,,,,0.0
20,0.2077749310208908,0.0509478672985782,86.0,1688.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21693121693121692,0.21148825065274152,162.0,1.7763157894736843,0.03976523249062751,0.19133479152056795,0.0
21,0.21142096964919196,0.04417910447761194,74.0,1675.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.2210242587601078,164.0,,,,0.0
22,0.2154611746156878,0.04798127559976594,82.0,1709.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19576719576719576,0.2064935064935065,159.0,,,,0.0
23,0.21959992116673235,0.04946996466431095,84.0,1698.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21693121693121692,0.20282413350449294,158.0,,,,0.0
24,0.22359085534095388,0.047619047619047616,81.0,1701.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.21059602649006623,159.0,,,,0.0
25,0.22699054000788332,0.04085257548845471,69.0,1689.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20105820105820105,0.2245762711864407,159.0,,,,0.0
26,0.22974970437524636,0.032407407407407406,56.0,1728.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1746031746031746,0.2188782489740082,160.0,,,,0.0
27,0.2326566811194324,0.035931790499390985,59.0,1642.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17989417989417988,0.22,154.0,,,,0.0
28,0.23521876231769806,0.030570252792475015,52.0,1701.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14814814814814814,0.21621621621621623,160.0,,,,0.0
29,0.23832282223098147,0.037410926365795724,63.0,1684.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18518518518518517,0.2164804469273743,155.0,,,,0.0
30,0.24172250689791092,0.04134212103055722,69.0,1669.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19576719576719576,0.20952380952380953,154.0,1.8209876543209877,0.03474494045255865,0.21926975544772034,0.0
31,0.2442845880961766,0.031081888822474597,52.0,1673.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1693121693121693,0.21508379888268156,154.0,,,,0.0
32,0.24669885691761922,0.028755868544600938,49.0,1704.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1693121693121693,0.21861152141802068,148.0,,,,0.0
33,0.24822625147812377,0.017543859649122806,31.0,1767.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.21805555555555556,157.0,,,,0.0
34,0.2497536460386283,0.018192488262910797,31.0,1704.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12698412698412698,0.22901849217638692,161.0,,,,0.0
35,0.2515766653527789,0.02195845697329377,37.0,1685.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.22162162162162163,164.0,,,,0.0
36,0.2538431217973985,0.02738095238095238,46.0,1680.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13756613756613756,0.23216783216783216,166.0,,,,0.0
37,0.2562081198265668,0.02830188679245283,48.0,1696.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13227513227513227,0.2220708446866485,163.0,,,,0.0
38,0.2581789515175404,0.024125452352231604,40.0,1658.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09523809523809523,0.22585438335809807,152.0,,,,0.0
39,0.25960780449349624,0.017018779342723004,29.0,1704.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.23293768545994065,157.0,,,,0.0
