round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4012613322822231,0.014192139737991267,26.0,1832.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.2962962962962963,0.4444444444444444,0.3685185185185185,0.7777777777777778,0.39805996472663135,1.0,0.015873015873015872,0.1788702928870293,171.0,2.255952380952381,0.06431331791123983,0.05932399195055425,0.0
1,0.402985810011825,0.019178082191780823,35.0,1825.0,189.0,0.0,0.03571428571428571,0.03571428571428571,0.09523809523809525,0.21428571428571427,0.11845238095238096,0.32142857142857145,0.2026643990929705,1.0,0.005291005291005291,0.1849894291754757,175.0,,,,0.0
2,0.4054000788332676,0.0263724434876211,49.0,1858.0,189.0,0.0,0.18421052631578946,0.18421052631578946,0.2587719298245614,0.3684210526315789,0.3074561403508771,0.6052631578947368,0.3594820384294068,1.0,0.037037037037037035,0.1851063829787234,174.0,,,,0.0
3,0.4073216397319669,0.0212998361551065,39.0,1831.0,189.0,0.0,0.15151515151515152,0.15151515151515152,0.21212121212121213,0.30303030303030304,0.25606060606060604,0.48484848484848486,0.3221139971139971,1.0,0.026455026455026454,0.19344262295081968,177.0,,,,0.0
4,0.4095388253843122,0.024141630901287552,45.0,1864.0,189.0,0.0,0.09090909090909091,0.09090909090909091,0.16666666666666663,0.30303030303030304,0.22727272727272724,0.5757575757575758,0.2832732082732083,1.0,0.015873015873015872,0.18142548596112312,168.0,,,,0.0
5,0.4119038234134805,0.025959978366684695,48.0,1849.0,189.0,0.0,0.1891891891891892,0.1891891891891892,0.31981981981981983,0.4864864864864865,0.3427927927927928,0.5945945945945946,0.39567782067782065,1.0,0.037037037037037035,0.18085106382978725,170.0,,,,0.0
6,0.4144166338194718,0.028052805280528052,51.0,1818.0,189.0,0.0,0.12195121951219512,0.12195121951219512,0.2113821138211382,0.34146341463414637,0.2516260162601626,0.5121951219512195,0.3142663569492838,1.0,0.026455026455026454,0.18632855567805953,169.0,,,,0.0
7,0.41619038234134803,0.01949106659447753,36.0,1847.0,189.0,0.0,0.1,0.1,0.16111111111111112,0.23333333333333334,0.2011111111111111,0.43333333333333335,0.27552910052910057,1.0,0.015873015873015872,0.18615209988649262,164.0,,,,0.0
8,0.41752069373275524,0.014508328855454057,27.0,1861.0,189.0,0.0,0.13636363636363635,0.13636363636363635,0.23484848484848483,0.36363636363636365,0.30757575757575756,0.6818181818181818,0.3559163059163059,1.0,0.015873015873015872,0.18585005279831046,176.0,,,,0.0
9,0.4195900670082775,0.022690437601296597,42.0,1851.0,189.0,0.0,0.14285714285714285,0.14285714285714285,0.2333333333333333,0.34285714285714286,0.2733333333333333,0.5142857142857142,0.33959183673469384,1.0,0.026455026455026454,0.18308351177730192,171.0,,,,0.0
10,0.42185652345289715,0.024717893605588393,46.0,1861.0,189.0,0.0,0.14285714285714285,0.14285714285714285,0.2333333333333333,0.37142857142857144,0.2604761904761904,0.4857142857142857,0.3339455782312925,1.0,0.026455026455026454,0.19135135135135134,177.0,2.123529411764706,0.05631904133346585,0.08453782131395488,0.0
11,0.4236302719747734,0.01955458989679522,36.0,1841.0,189.0,0.0,0.1875,0.1875,0.29166666666666663,0.46875,0.33072916666666663,0.625,0.3755580357142857,1.0,0.031746031746031744,0.18693693693693694,166.0,,,,0.0
12,0.4254040204966496,0.01945945945945946,36.0,1850.0,189.0,0.0,0.12903225806451613,0.12903225806451613,0.1881720430107527,0.25806451612903225,0.22204301075268817,0.41935483870967744,0.2967997951868919,1.0,0.021164021164021163,0.1828193832599119,166.0,,,,0.0
13,0.42673433188805676,0.014705882352941176,27.0,1836.0,189.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.2916666666666667,0.20416666666666664,0.4583333333333333,0.27146164021164026,1.0,0.010582010582010581,0.1806588735387885,170.0,,,,0.0
