round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6013992905005913,0.015821058374249863,29.0,1833.0,189.0,0.0,0.35,0.35,0.4,0.45,0.47000000000000003,0.75,0.5022817460317459,1.0,0.037037037037037035,0.18302828618968386,110.0,1.9946236559139785,0.04508035634625329,0.05695166789527898,0.0
1,0.6025817895151754,0.013194062671797692,24.0,1819.0,189.0,0.0,0.15789473684210525,0.15789473684210525,0.2631578947368421,0.3684210526315789,0.3,0.5263157894736842,0.3618003341687552,1.0,0.015873015873015872,0.18360655737704917,112.0,,,,0.0
2,0.604404808829326,0.019903173749327596,37.0,1859.0,189.0,0.0,0.12903225806451613,0.12903225806451613,0.2849462365591398,0.5161290322580645,0.3268817204301075,0.7096774193548387,0.3632616487455197,1.0,0.021164021164021163,0.184375,118.0,,,,0.0
3,0.6052424122979898,0.00935093509350935,17.0,1818.0,189.0,0.0,0.06666666666666667,0.06666666666666667,0.18888888888888886,0.3333333333333333,0.25222222222222224,0.6,0.30923280423280425,1.0,0.005291005291005291,0.1856,116.0,,,,0.0
4,0.6063263697280252,0.012035010940919038,22.0,1828.0,189.0,0.0,0.05555555555555555,0.05555555555555555,0.18518518518518517,0.3888888888888889,0.23518518518518514,0.6111111111111112,0.2861111111111111,1.0,0.005291005291005291,0.18181818181818182,120.0,,,,0.0
5,0.6070654316121403,0.008099352051835854,15.0,1852.0,189.0,0.0,0.07692307692307693,0.07692307692307693,0.24358974358974358,0.46153846153846156,0.2782051282051282,0.6153846153846154,0.32649572649572656,1.0,0.005291005291005291,0.17391304347826086,112.0,,,,0.0
6,0.6079030350808041,0.009184224743381956,17.0,1851.0,189.0,0.0,0.0,0.0,0.0784313725490196,0.17647058823529413,0.09019607843137255,0.23529411764705882,0.1811858076563959,1.0,0.0,0.17035775127768313,100.0,,,,0.0
7,0.6084450137958218,0.0058823529411764705,11.0,1870.0,189.0,0.0,0.0,0.0,0.12962962962962962,0.3333333333333333,0.15740740740740738,0.4444444444444444,0.22636684303350968,1.0,0.0,0.18166666666666667,109.0,,,,0.0
8,0.6091348048876626,0.007534983853606028,14.0,1858.0,189.0,0.0,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.36153846153846153,0.6153846153846154,0.4079059829059829,1.0,0.015873015873015872,0.19391025641025642,121.0,,,,0.0
9,0.609923137564052,0.008602150537634409,16.0,1860.0,189.0,0.0,0.21428571428571427,0.21428571428571427,0.39285714285714285,0.6428571428571429,0.4428571428571429,0.8571428571428571,0.46269841269841266,1.0,0.015873015873015872,0.1889763779527559,120.0,,,,0.0
10,0.610366574694521,0.004859611231101512,9.0,1852.0,189.0,0.0,0.125,0.125,0.22916666666666666,0.375,0.25416666666666665,0.5,0.31562500000000004,1.0,0.005291005291005291,0.1794871794871795,112.0,2.0054945054945055,0.0400791657811089,0.10084736432191824,0.0
11,0.6110070949940875,0.006970509383378016,13.0,1865.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.23611111111111108,0.3333333333333333,0.25277777777777777,0.4166666666666667,0.32625661375661374,1.0,0.010582010582010581,0.18452380952380953,124.0,,,,0.0
12,0.6112534489554592,0.0027056277056277055,5.0,1848.0,189.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.16666666666666666,0.4,0.23746031746031743,1.0,0.0,0.2015625,129.0,,,,0.0
13,0.6119432400472999,0.007633587786259542,14.0,1834.0,189.0,0.0,0.15384615384615385,0.15384615384615385,0.1794871794871795,0.23076923076923078,0.19871794871794873,0.3076923076923077,0.2817155067155067,1.0,0.010582010582010581,0.16897081413210446,110.0,,,,0.0
14,0.6123866771777691,0.004838709677419355,9.0,1860.0,189.0,0.0,0.0,0.0,0.0,0.0,0.14375,0.625,0.18799603174603174,1.0,0.0,0.1708185053380783,96.0,,,,0.0
15,0.6134213638155301,0.011266094420600859,21.0,1864.0,189.0,0.0,0.11764705882352941,0.11764705882352941,0.19607843137254902,0.29411764705882354,0.257843137254902,0.5882352941176471,0.31017740429505136,1.0,0.010582010582010581,0.18485915492957747,105.0,,,,0.0
16,0.6141604256996452,0.008060182697474477,15.0,1861.0,189.0,0.0,0.08333333333333333,0.08333333333333333,0.13888888888888887,0.25,0.1597222222222222,0.3333333333333333,0.24153439153439157,1.0,0.005291005291005291,0.18956521739130436,109.0,,,,0.0
