round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.6015963736696887,0.01800327332242226,33.0,1833.0,189.0,0.0,0.30434782608695654,0.30434782608695654,0.3768115942028985,0.4782608695652174,0.43115942028985504,0.7391304347826086,0.4636300897170462,1.0,0.037037037037037035,0.17777777777777778,168.0,1.9946236559139785,0.04522039209051621,0.04714415639497002,0.0
1,0.6033208513992905,0.018929150892374257,35.0,1849.0,189.0,0.0,0.39285714285714285,0.39285714285714285,0.47023809523809523,0.5714285714285714,0.5148809523809523,0.75,0.5467687074829932,1.0,0.0582010582010582,0.1779935275080906,165.0,,,,0.0
2,0.6052424122979898,0.021024258760107817,39.0,1855.0,189.0,0.0,0.16129032258064516,0.16129032258064516,0.3494623655913978,0.5806451612903226,0.3720430107526881,0.6774193548387096,0.4142729134664618,1.0,0.026455026455026454,0.1828752642706131,173.0,,,,0.0
3,0.6063263697280252,0.011840688912809472,22.0,1858.0,189.0,0.0,0.1875,0.1875,0.3333333333333333,0.5625,0.3489583333333333,0.625,0.3920882936507937,1.0,0.015873015873015872,0.18286311389759666,175.0,,,,0.0
4,0.6080015766653528,0.01825013419216318,34.0,1863.0,189.0,0.0,0.19230769230769232,0.19230769230769232,0.34615384615384615,0.5384615384615384,0.3557692307692308,0.5769230769230769,0.412469474969475,1.0,0.026455026455026454,0.18514531754574812,172.0,,,,0.0
5,0.6093811588490343,0.015143320713899405,28.0,1849.0,189.0,0.0,0.17391304347826086,0.17391304347826086,0.24637681159420288,0.34782608695652173,0.3050724637681159,0.6086956521739131,0.35933402346445825,1.0,0.021164021164021163,0.19265033407572382,173.0,,,,0.0
6,0.6107114702404415,0.014438502673796792,27.0,1870.0,189.0,0.0,0.36363636363636365,0.36363636363636365,0.4469696969696969,0.5909090909090909,0.4878787878787879,0.7727272727272727,0.521067821067821,1.0,0.042328042328042326,0.1783840503672613,170.0,,,,0.0
7,0.6121895940086717,0.016286644951140065,30.0,1842.0,189.0,0.0,0.13043478260869565,0.13043478260869565,0.2391304347826087,0.391304347826087,0.29565217391304344,0.6521739130434783,0.33326432022084185,1.0,0.015873015873015872,0.19315673289183222,175.0,,,,0.0
8,0.6133720930232558,0.013071895424836602,24.0,1836.0,189.0,0.0,0.2,0.2,0.3083333333333333,0.45,0.3308333333333333,0.55,0.3874206349206349,1.0,0.021164021164021163,0.18619934282584885,170.0,,,,0.0
9,0.6142096964919196,0.009129967776584319,17.0,1862.0,189.0,0.0,0.3076923076923077,0.3076923076923077,0.37179487179487186,0.46153846153846156,0.44487179487179485,0.7692307692307693,0.4815018315018315,1.0,0.021164021164021163,0.1805702217529039,171.0,,,,0.0
