round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.8011600507522204,0.0039503386004514675,7.0,1772.0,186.0,0.0,0.16666666666666666,0.16666666666666666,0.3055555555555555,0.5,0.3055555555555555,0.5,0.3626984126984127,1.0,0.005376344086021506,0.1710114702815433,164.0,2.3592814371257487,0.05187069489482893,0.06428523340671591,0.0
1,0.8036976617727025,0.007730535615681944,14.0,1811.0,186.0,0.0,0.1,0.1,0.25,0.5,0.3,0.7,0.3410714285714286,1.0,0.005376344086021506,0.16517412935323383,166.0,,,,0.0
2,0.8058727569331158,0.006482982171799027,12.0,1851.0,186.0,0.0,0.2,0.2,0.2333333333333333,0.3,0.2533333333333333,0.4,0.33166666666666667,1.0,0.010752688172043012,0.16831683168316833,170.0,,,,0.0
3,0.8064165307232192,0.0016357688113413304,3.0,1834.0,186.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.38095238095238093,1.0,0.0,0.1727904667328699,174.0,,,,0.0
4,0.8078665941634946,0.004461795872838818,8.0,1793.0,186.0,0.0,0.125,0.125,0.1875,0.25,0.25,0.5,0.3076388888888889,1.0,0.005376344086021506,0.16716417910447762,168.0,,,,0.0
5,0.8091353996737357,0.0037981551817688553,7.0,1843.0,186.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.11666666666666665,0.3333333333333333,0.1953703703703704,1.0,0.0,0.17338709677419356,172.0,,,,0.0
6,0.8111292369041145,0.0060406370126304225,11.0,1821.0,186.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.4055555555555556,0.7777777777777778,0.43253968253968256,1.0,0.010752688172043012,0.16812439261418854,173.0,,,,0.0
7,0.8122167844843212,0.0032258064516129032,6.0,1860.0,186.0,0.0,0.25,0.25,0.375,0.5,0.375,0.5,0.4277777777777778,1.0,0.005376344086021506,0.17408906882591094,172.0,,,,0.0
8,0.8140293637846656,0.0054525627044711015,10.0,1834.0,186.0,0.0,0.3,0.3,0.4,0.5,0.42000000000000004,0.6,0.4727777777777778,1.0,0.016129032258064516,0.16901408450704225,168.0,,,,0.0
9,0.8149356534348378,0.0027100271002710027,5.0,1845.0,186.0,0.0,0.4,0.4,0.5666666666666667,0.8,0.5666666666666667,0.8,0.5916666666666666,1.0,0.010752688172043012,0.1743951612903226,173.0,,,,0.0
10,0.81584194308501,0.0027654867256637168,5.0,1808.0,186.0,0.0,0.4,0.4,0.4666666666666666,0.6,0.4666666666666666,0.6,0.5238095238095237,1.0,0.010752688172043012,0.17763845350052246,170.0,2.4478527607361964,0.04459989945550119,0.05464594371969567,0.0
11,0.8172920065252854,0.004405286343612335,8.0,1816.0,186.0,0.0,0.0,0.0,0.047619047619047616,0.14285714285714285,0.1476190476190476,0.5714285714285714,0.20357142857142857,1.0,0.0,0.16583912611717974,167.0,,,,0.0
12,0.8192858437556643,0.006073992269464384,11.0,1811.0,186.0,0.0,0.125,0.125,0.125,0.125,0.175,0.375,0.24861111111111112,1.0,0.005376344086021506,0.17409326424870467,168.0,,,,0.0
13,0.8209171651259742,0.004918032786885246,9.0,1830.0,186.0,0.0,0.0,0.0,0.125,0.25,0.3,1.0,0.3,1.0,0.0,0.17342799188640973,171.0,,,,0.0
14,0.8225484864962842,0.004875406283856988,9.0,1846.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.45,0.6666666666666666,0.4851851851851852,1.0,0.010752688172043012,0.16476190476190475,173.0,,,,0.0
15,0.8241798078665942,0.004934210526315789,9.0,1824.0,186.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.17142857142857143,0.5714285714285714,0.22993197278911565,1.0,0.0,0.16831683168316833,170.0,,,,0.0
16,0.8267174188870763,0.007575757575757576,14.0,1848.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.2380952380952381,0.35714285714285715,0.28452380952380957,0.5714285714285714,0.3433390022675737,1.0,0.010752688172043012,0.16913946587537093,171.0,,,,0.0
17,0.8283487402573863,0.004969630038652678,9.0,1811.0,186.0,0.0,0.125,0.125,0.125,0.125,0.15,0.25,0.25376984126984126,1.0,0.005376344086021506,0.17585848074921956,169.0,,,,0.0
18,0.8294362878375929,0.003302146395156852,6.0,1817.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4083333333333334,0.6666666666666666,0.45462962962962966,1.0,0.010752688172043012,0.17563451776649747,173.0,,,,0.0
19,0.8296175457676274,0.0005452562704471102,1.0,1834.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.1743486973947896,174.0,,,,0.0
20,0.8303425774877651,0.002196595277320154,4.0,1821.0,186.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3134920634920635,1.0,0.0,0.17223910840932116,170.0,2.3664596273291925,0.03596573836038425,0.02491029631358934,0.0
21,0.8308863512778684,0.0016501650165016502,3.0,1818.0,186.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.18611111111111112,1.0,0.0,0.17098445595854922,165.0,,,,0.0
22,0.8323364147181439,0.004405286343612335,8.0,1816.0,186.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.27499999999999997,0.6666666666666666,0.3194444444444444,1.0,0.005376344086021506,0.1683366733466934,168.0,,,,0.0
23,0.8328801885082472,0.001652892561983471,3.0,1815.0,186.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.25,0.6666666666666666,0.28703703703703703,1.0,0.0,0.17078189300411523,166.0,,,,0.0
24,0.8339677360884539,0.003264417845484222,6.0,1838.0,186.0,0.0,0.4,0.4,0.4666666666666667,0.6,0.5066666666666667,0.8,0.5400000000000001,1.0,0.010752688172043012,0.1681592039800995,169.0,,,,0.0
