round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25906582577847853,0.11309157959434542,184.0,1627.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.1832579185520362,162.0,2.108695652173913,0.07128229901457445,0.1097180616353698,0.0
1,0.2694619629483642,0.12448377581120944,211.0,1695.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30687830687830686,0.20217917675544794,167.0,,,,0.0
2,0.28025226645644463,0.12695652173913044,219.0,1725.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3862433862433862,0.19064327485380117,163.0,,,,0.0
3,0.2903527788726843,0.12037580739870817,205.0,1703.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37037037037037035,0.19782870928829915,164.0,,,,0.0
4,0.301192353173039,0.12738853503184713,220.0,1727.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3862433862433862,0.1976190476190476,166.0,,,,0.0
5,0.31114505321245567,0.11875367430922987,202.0,1701.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3492063492063492,0.19070904645476772,156.0,,,,0.0
6,0.3210977532518723,0.11622554660529344,202.0,1738.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3439153439153439,0.18414918414918416,158.0,,,,0.0
7,0.32962160031533305,0.09976931949250288,173.0,1734.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3386243386243386,0.18487394957983194,154.0,,,,0.0
8,0.3381454473787939,0.10023174971031286,173.0,1726.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35978835978835977,0.20075282308657466,160.0,,,,0.0
9,0.34647221127315725,0.09746251441753172,169.0,1734.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38095238095238093,0.19110576923076922,159.0,,,,0.0
10,0.3541584548679543,0.08991354466858789,156.0,1735.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35978835978835977,0.193138500635324,152.0,1.8279569892473118,0.03607731970847922,0.0811186626188319,0.0
11,0.3616476152936539,0.08656036446469248,152.0,1756.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3439153439153439,0.20095693779904306,168.0,,,,0.0
12,0.36815135987386677,0.07453416149068323,132.0,1771.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32275132275132273,0.203125,156.0,,,,0.0
13,0.37504927079227435,0.0782122905027933,140.0,1790.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3439153439153439,0.18433179723502305,160.0,,,,0.0
14,0.3818979109184076,0.07844243792325056,139.0,1772.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32275132275132273,0.1965389369592089,159.0,,,,0.0
15,0.38958415451320455,0.09038238702201622,156.0,1726.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36507936507936506,0.2058080808080808,163.0,,,,0.0
16,0.39529956641702796,0.0640176600441501,116.0,1812.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32275132275132273,0.20595533498759305,166.0,,,,0.0
17,0.4009657075285771,0.06586483390607102,115.0,1746.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31746031746031744,0.1931119311193112,157.0,,,,0.0
18,0.40653330705557744,0.06398640996602492,113.0,1766.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2751322751322751,0.19689737470167065,165.0,,,,0.0
19,0.411115490737091,0.052901023890784986,93.0,1758.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2804232804232804,0.19757575757575757,163.0,,,,0.0
20,0.41619038234134803,0.058756417569880204,103.0,1753.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26455026455026454,0.1997471554993679,158.0,1.8342245989304813,0.024205282247204266,0.1382324639366672,0.0
21,0.42082183681513596,0.052690582959641255,94.0,1784.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2962962962962963,0.19554455445544555,158.0,,,,0.0
22,0.4250098541584549,0.0481859410430839,85.0,1764.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25925925925925924,0.2057001239157373,166.0,,,,0.0
23,0.42905005912495076,0.046067415730337076,82.0,1780.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21693121693121692,0.20097442143727162,165.0,,,,0.0
24,0.4325975561687032,0.04107244723331432,72.0,1753.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20634920634920634,0.2,164.0,,,,0.0
25,0.43589869925108393,0.03785310734463277,67.0,1770.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23809523809523808,0.19534883720930232,168.0,,,,0.0
26,0.43860859282617265,0.031446540880503145,55.0,1749.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.19576719576719576,0.1967821782178218,159.0,,,,0.0
27,0.44136775719353566,0.03229527104959631,56.0,1734.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17989417989417988,0.20947630922693267,168.0,,,,0.0
28,0.444176192353173,0.032130777903043965,57.0,1774.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21164021164021163,0.20297029702970298,164.0,,,,0.0
29,0.4457528577059519,0.018028169014084508,32.0,1775.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13756613756613756,0.21032745591939547,167.0,,,,0.0
30,0.4480685849428459,0.02694954128440367,47.0,1744.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.164021164021164,0.20915032679738563,160.0,1.9308510638297873,0.01563079007391109,0.10394580155331773,0.0
31,0.4506306661411115,0.029731275014293884,52.0,1749.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20634920634920634,0.20993788819875778,169.0,,,,0.0
32,0.4520102483247931,0.01568627450980392,28.0,1785.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.20240963855421687,168.0,,,,0.0
33,0.4536854552621206,0.0189520624303233,34.0,1794.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14814814814814814,0.19824341279799249,158.0,,,,0.0
34,0.4554099329917225,0.02,35.0,1750.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12169312169312169,0.2032828282828283,161.0,,,,0.0
35,0.45674024438312966,0.015463917525773196,27.0,1746.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08994708994708994,0.20947630922693267,168.0,,,,0.0
36,0.45831690973590855,0.018018018018018018,32.0,1776.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13227513227513227,0.2071611253196931,162.0,,,,0.0
37,0.4601399290500591,0.021106674272675412,37.0,1753.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1164021164021164,0.20124223602484473,162.0,,,,0.0
38,0.4616673236105637,0.017734553775743706,31.0,1748.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.21346886912325286,168.0,,,,0.0
39,0.4629483642096965,0.014436424208772903,26.0,1801.0,189.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08465608465608465,0.20199501246882792,162.0,,,,0.0
