round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25216791486007095,0.02490096208262592,44.0,1767.0,189.0,0.0,0.21428571428571427,0.21428571428571427,0.3154761904761905,0.4642857142857143,0.36726190476190473,0.6785714285714286,0.41101190476190474,1.0,0.031746031746031744,0.17927823050058206,154.0,2.0067114093959733,0.07402924168501275,0.10791224757136496,0.0
1,0.2549763500197083,0.032441661923733635,57.0,1757.0,189.0,0.0,0.23076923076923078,0.23076923076923078,0.36752136752136755,0.5128205128205128,0.4021367521367521,0.6666666666666666,0.44942002442002443,1.0,0.047619047619047616,0.1958762886597938,152.0,,,,0.0
2,0.2567993693338589,0.02075154234436343,37.0,1783.0,189.0,0.0,0.2,0.2,0.3133333333333333,0.48,0.3413333333333333,0.6,0.3964920634920635,1.0,0.026455026455026454,0.18213866039952997,155.0,,,,0.0
3,0.2593121797398502,0.027777777777777776,51.0,1836.0,189.0,0.0,0.2647058823529412,0.2647058823529412,0.37745098039215685,0.5,0.42156862745098034,0.7058823529411765,0.4615896358543417,1.0,0.047619047619047616,0.1834862385321101,140.0,,,,0.0
4,0.26108592826172644,0.019867549668874173,36.0,1812.0,189.0,0.0,0.1875,0.1875,0.27604166666666663,0.375,0.30416666666666664,0.5,0.36826636904761906,1.0,0.031746031746031744,0.19667590027700832,142.0,,,,0.0
5,0.2625147812376823,0.01589041095890411,29.0,1825.0,189.0,0.0,0.21739130434782608,0.21739130434782608,0.2753623188405797,0.391304347826087,0.31666666666666665,0.5652173913043478,0.36956521739130427,1.0,0.026455026455026454,0.17752234993614305,139.0,,,,0.0
6,0.26379582183681516,0.014565826330532213,26.0,1785.0,189.0,0.0,0.15789473684210525,0.15789473684210525,0.3421052631578947,0.5789473684210527,0.37631578947368416,0.7368421052631579,0.41234335839598996,1.0,0.015873015873015872,0.1848404255319149,139.0,,,,0.0
7,0.2655695703586914,0.020134228187919462,36.0,1788.0,189.0,0.0,0.034482758620689655,0.034482758620689655,0.132183908045977,0.2413793103448276,0.1925287356321839,0.5172413793103449,0.258839627805145,1.0,0.005291005291005291,0.17766497461928935,140.0,,,,0.0
8,0.2670476941269216,0.016835016835016835,30.0,1782.0,189.0,0.0,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.30434782608695654,0.27608695652173915,0.5652173913043478,0.33019323671497586,1.0,0.015873015873015872,0.1806108897742364,136.0,,,,0.0
9,0.2682301931415057,0.01346045989904655,24.0,1783.0,189.0,0.0,0.05263157894736842,0.05263157894736842,0.13157894736842105,0.21052631578947367,0.16578947368421051,0.3684210526315789,0.2471804511278195,1.0,0.005291005291005291,0.1814569536423841,137.0,,,,0.0
