round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.06728971962616823,0.021739130434782608,10.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.19101123595505617,17.0,1.0,0.08000816005998251,0.11120370262402923,1.0
1,0.08785046728971962,0.02391304347826087,11.0,460.0,46.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.021739130434782608,0.16853932584269662,15.0,,,,2.0
2,0.102803738317757,0.017391304347826087,8.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.20930232558139536,18.0,,,,3.0
3,0.11962616822429907,0.01956521739130435,9.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.1827956989247312,17.0,,,,4.0
4,0.1233644859813084,0.004424778761061947,2.0,452.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.21052631578947367,20.0,,,,5.0
5,0.1383177570093458,0.017391304347826087,8.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.18181818181818182,18.0,,,,6.0
6,0.15514018691588785,0.01956521739130435,9.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.17647058823529413,18.0,,,,7.0
7,0.17196261682242991,0.01956521739130435,9.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.16161616161616163,16.0,,,,8.0
8,0.19065420560747665,0.021739130434782608,10.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.14130434782608695,13.0,,,,9.0
9,0.20747663551401868,0.01956521739130435,9.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.15555555555555556,14.0,,,,10.0
10,0.20934579439252338,0.0022172949002217295,1.0,451.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.17777777777777778,16.0,2.142857142857143,0.07351391077232211,0.0021668527815734595,11.0
11,0.22803738317757008,0.021739130434782608,10.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.18888888888888888,17.0,,,,12.0
12,0.24485981308411214,0.01956521739130435,9.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.15730337078651685,14.0,,,,13.0
13,0.25981308411214954,0.017391304347826087,8.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.21212121212121213,21.0,,,,14.0
14,0.2766355140186916,0.01956521739130435,9.0,460.0,46.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.1836734693877551,18.0,,,,15.0
15,0.29158878504672897,0.017391304347826087,8.0,460.0,46.0,0.0,0.5,0.5,0.5,0.5,0.625,1.0,0.021739130434782608,0.18556701030927836,18.0,,,,16.0
16,0.29345794392523367,0.0022172949002217295,1.0,451.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.16304347826086957,15.0,,,,17.0
17,0.3121495327102804,0.021739130434782608,10.0,460.0,46.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.0,0.17346938775510204,17.0,,,,18.0
18,0.33084112149532713,0.021739130434782608,10.0,460.0,46.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.021739130434782608,0.15463917525773196,15.0,,,,19.0
19,0.34766355140186916,0.01956521739130435,9.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.1935483870967742,18.0,,,,20.0
20,0.36261682242990656,0.017391304347826087,8.0,460.0,46.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.14432989690721648,14.0,2.0555555555555554,0.07134986043515514,0.0021668527815734595,21.0
21,0.3775700934579439,0.017391304347826087,8.0,460.0,46.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,0.15841584158415842,16.0,,,,22.0
22,0.39626168224299063,0.021739130434782608,10.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.14423076923076922,15.0,,,,23.0
23,0.41495327102803736,0.021739130434782608,10.0,460.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.14563106796116504,15.0,,,,24.0
24,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.18181818181818182,16.0,,,,25.0
25,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.20253164556962025,16.0,,,,26.0
26,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.1702127659574468,16.0,,,,27.0
27,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.20454545454545456,18.0,,,,28.0
28,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.15,12.0,,,,29.0
29,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.20430107526881722,19.0,,,,30.0
30,0.41495327102803736,0.0,0.0,460.0,46.0,0.0,,,,,,,0.0,0.18478260869565216,17.0,2.1333333333333333,0.06918538002078456,0.0021668527815734595,31.0
31,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.1702127659574468,16.0,,,,32.0
32,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.1724137931034483,15.0,,,,33.0
33,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.18478260869565216,17.0,,,,34.0
34,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.17204301075268819,16.0,,,,35.0
35,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.14285714285714285,13.0,,,,36.0
36,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.1827956989247312,17.0,,,,37.0
37,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.2,18.0,,,,38.0
38,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.19148936170212766,18.0,,,,39.0
39,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.18681318681318682,17.0,,,,40.0
40,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.1839080459770115,16.0,2.0,0.06918538002078456,0.0021668527815734595,41.0
41,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.2127659574468085,20.0,,,,42.0
42,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.18478260869565216,17.0,,,,43.0
43,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.16129032258064516,15.0,,,,44.0
44,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.1958762886597938,19.0,,,,45.0
45,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.23404255319148937,22.0,,,,46.0
46,0.41495327102803736,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.18478260869565216,17.0,,,,47.0
47,0.41682242990654206,0.0022172949002217295,1.0,451.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19318181818181818,17.0,,,,48.0
48,0.41682242990654206,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.1724137931034483,15.0,,,,49.0
49,0.41682242990654206,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.2087912087912088,19.0,,,,50.0
50,0.41682242990654206,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.15463917525773196,15.0,2.0952380952380953,0.06918538002078456,0.0021668527815734595,51.0
51,0.41682242990654206,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.17647058823529413,18.0,,,,52.0
52,0.41682242990654206,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.1590909090909091,14.0,,,,53.0
53,0.41682242990654206,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.21428571428571427,21.0,,,,54.0
54,0.41682242990654206,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.17391304347826086,16.0,,,,55.0
55,0.41682242990654206,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.16853932584269662,15.0,,,,56.0
56,0.41682242990654206,0.0,0.0,451.0,46.0,0.0,,,,,,,0.0,0.16494845360824742,16.0,,,,57.0
