round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.08037383177570094,0.01847826086956522,17.0,920.0,46.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.021739130434782608,0.17159763313609466,29.0,1.0,0.08000816005998251,0.03770945600789162,1.0
1,0.08411214953271028,0.0022172949002217295,2.0,902.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.1791907514450867,31.0,,,,2.0
2,0.11588785046728972,0.01847826086956522,17.0,920.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.18478260869565216,34.0,,,,3.0
3,0.15327102803738318,0.021739130434782608,20.0,920.0,46.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.021739130434782608,0.14213197969543148,28.0,,,,4.0
4,0.15514018691588785,0.0011098779134295228,1.0,901.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.17525773195876287,34.0,,,,5.0
5,0.18878504672897195,0.01956521739130435,18.0,920.0,46.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.021739130434782608,0.16756756756756758,31.0,,,,6.0
6,0.22242990654205608,0.01956521739130435,18.0,920.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.17989417989417988,34.0,,,,7.0
7,0.2635514018691589,0.02391304347826087,22.0,920.0,46.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.021739130434782608,0.14361702127659576,27.0,,,,8.0
8,0.2691588785046729,0.0033259423503325942,3.0,902.0,46.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.021739130434782608,0.16184971098265896,28.0,,,,9.0
9,0.27476635514018694,0.003389830508474576,3.0,885.0,46.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.021739130434782608,0.15025906735751296,29.0,,,,10.0
10,0.27476635514018694,0.0,0.0,882.0,46.0,0.0,,,,,,,0.0,0.1657142857142857,29.0,2.0,0.0725602643816721,0.0,11.0
11,0.27476635514018694,0.0,0.0,882.0,46.0,0.0,,,,,,,0.0,0.15760869565217392,29.0,,,,12.0
12,0.27476635514018694,0.0,0.0,901.0,46.0,0.0,,,,,,,0.0,0.13068181818181818,23.0,,,,13.0
13,0.27476635514018694,0.0,0.0,901.0,46.0,0.0,,,,,,,0.0,0.14689265536723164,26.0,,,,14.0
14,0.2766355140186916,0.0011098779134295228,1.0,901.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14545454545454545,24.0,,,,15.0
15,0.27850467289719627,0.0011098779134295228,1.0,901.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,21.0,,,,16.0
16,0.27850467289719627,0.0,0.0,901.0,46.0,0.0,,,,,,,0.0,0.16477272727272727,29.0,,,,17.0
17,0.2803738317757009,0.0011098779134295228,1.0,901.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15760869565217392,29.0,,,,18.0
18,0.2841121495327103,0.0022197558268590455,2.0,901.0,46.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.26666666666666666,1.0,0.0,0.17575757575757575,29.0,,,,19.0
19,0.28785046728971964,0.0022197558268590455,2.0,901.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14835164835164835,27.0,,,,20.0
20,0.2897196261682243,0.0011337868480725624,1.0,882.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,27.0,2.090909090909091,0.0725602643816721,0.0008384894002431064,21.0
21,0.2897196261682243,0.0,0.0,901.0,46.0,0.0,,,,,,,0.0,0.1590909090909091,28.0,,,,22.0
22,0.2897196261682243,0.0,0.0,901.0,46.0,0.0,,,,,,,0.0,0.15300546448087432,28.0,,,,23.0
23,0.2897196261682243,0.0,0.0,882.0,46.0,0.0,,,,,,,0.0,0.13609467455621302,23.0,,,,24.0
24,0.2897196261682243,0.0,0.0,901.0,46.0,0.0,,,,,,,0.0,0.13068181818181818,23.0,,,,25.0
25,0.2897196261682243,0.0,0.0,882.0,46.0,0.0,,,,,,,0.0,0.12568306010928962,23.0,,,,26.0
26,0.2897196261682243,0.0,0.0,901.0,46.0,0.0,,,,,,,0.0,0.12290502793296089,22.0,,,,27.0
27,0.2897196261682243,0.0,0.0,901.0,46.0,0.0,,,,,,,0.0,0.1366120218579235,25.0,,,,28.0
