round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.25775241875465144,0.05353075170842825,188.0,3512.0,378.0,0.0,0.3,0.3,0.4518518518518519,0.6444444444444445,0.4874074074074075,0.8,0.512473544973545,1.0,0.07142857142857142,0.13056603773584904,173.0,2.168918918918919,0.1364578789720949,0.031059711446502943,0.0
1,0.2665591664599355,0.06047700170357751,213.0,3522.0,378.0,0.0,0.2717391304347826,0.2717391304347826,0.42391304347826086,0.6195652173913043,0.47173913043478266,0.8260869565217391,0.49566511387163564,1.0,0.06613756613756613,0.13143309580364212,166.0,,,,0.0
2,0.27648226246588936,0.06711409395973154,240.0,3576.0,378.0,0.0,0.205607476635514,0.205607476635514,0.38006230529595014,0.6074766355140186,0.4197819314641746,0.7757009345794392,0.4506675567423231,1.0,0.0582010582010582,0.12830558276199805,131.0,,,,0.0
3,0.2850822790043827,0.05925925925925926,208.0,3510.0,378.0,0.0,0.23636363636363636,0.23636363636363636,0.3893939393939394,0.6,0.4175757575757576,0.7363636363636363,0.4500901875901876,1.0,0.06878306878306878,0.1306532663316583,130.0,,,,0.0
4,0.29211113867526667,0.047579065211307024,170.0,3573.0,378.0,0.0,0.2222222222222222,0.2222222222222222,0.3686868686868687,0.5656565656565656,0.40303030303030307,0.7171717171717171,0.4393458393458394,1.0,0.0582010582010582,0.12871287128712872,130.0,,,,0.0
5,0.298064996278839,0.04060913705583756,144.0,3546.0,378.0,0.0,0.22093023255813954,0.22093023255813954,0.3197674418604651,0.45348837209302323,0.36918604651162784,0.6627906976744186,0.4127630121816168,1.0,0.05026455026455026,0.131163708086785,133.0,,,,0.0
6,0.30476308608285785,0.04549283909014322,162.0,3561.0,378.0,0.0,0.25,0.25,0.35333333333333333,0.5,0.38833333333333336,0.65,0.4311785714285714,1.0,0.06613756613756613,0.12941176470588237,121.0,,,,0.0
7,0.31096502108657903,0.04184100418410042,150.0,3585.0,378.0,0.0,0.23655913978494625,0.23655913978494625,0.3637992831541219,0.5376344086021505,0.3901433691756273,0.6559139784946236,0.4329194401775047,1.0,0.0582010582010582,0.1290650406504065,127.0,,,,0.0
8,0.3153890680559001,0.030320204023802776,107.0,3529.0,378.0,0.0,0.20833333333333334,0.20833333333333334,0.3125,0.4583333333333333,0.3506944444444444,0.625,0.40050705467372133,1.0,0.03968253968253968,0.12791991101223582,115.0,,,,0.0
9,0.3200198461920119,0.031223863953164205,112.0,3587.0,378.0,0.0,0.19736842105263158,0.19736842105263158,0.3114035087719298,0.4473684210526316,0.3561403508771929,0.6447368421052632,0.4055659983291562,1.0,0.03968253968253968,0.13085106382978723,123.0,,,,0.0
10,0.3248160092615563,0.03319027181688126,116.0,3495.0,378.0,0.0,0.16901408450704225,0.16901408450704225,0.30516431924882625,0.4647887323943662,0.34319248826291077,0.6338028169014085,0.3894310306282137,1.0,0.031746031746031744,0.13076923076923078,119.0,2.045714285714286,0.10518029528778736,0.06887143982163903,0.0
