C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/100  coverage=0.2513  prec@K=0.0146  accepted=26  loss=0.7590  (0.5s)
Round    2/100  coverage=0.2525  prec@K=0.0142  accepted=25  loss=0.7590  (0.2s)
Round    3/100  coverage=0.2537  prec@K=0.0133  accepted=24  loss=0.7584  (0.2s)
Round    4/100  coverage=0.2553  prec@K=0.0182  accepted=32  loss=0.7559  (0.2s)
Round    5/100  coverage=0.2564  prec@K=0.0127  accepted=23  loss=0.7567  (0.3s)
Round    6/100  coverage=0.2574  prec@K=0.0118  accepted=21  loss=0.7555  (0.2s)
Round    7/100  coverage=0.2581  prec@K=0.0078  accepted=14  loss=0.7542  (0.2s)
Round    8/100  coverage=0.2588  prec@K=0.0078  accepted=14  loss=0.7520  (0.2s)
Round    9/100  coverage=0.2597  prec@K=0.0102  accepted=17  loss=0.7488  (0.2s)
Round   10/100  coverage=0.2604  prec@K=0.0089  accepted=16  loss=0.7466  (0.2s)
Round   11/100  coverage=0.2615  prec@K=0.0123  accepted=22  loss=0.7424  (0.3s)
Round   12/100  coverage=0.2629  prec@K=0.0159  accepted=28  loss=0.7371  (0.2s)
Round   13/100  coverage=0.2639  prec@K=0.0121  accepted=21  loss=0.7336  (0.2s)
Round   14/100  coverage=0.2648  prec@K=0.0097  accepted=17  loss=0.7298  (0.2s)
Round   15/100  coverage=0.2652  prec@K=0.0046  accepted=8  loss=0.7264  (0.2s)
Round   16/100  coverage=0.2658  prec@K=0.0068  accepted=12  loss=0.7216  (0.2s)
Round   17/100  coverage=0.2665  prec@K=0.0079  accepted=14  loss=0.7168  (0.2s)
Round   18/100  coverage=0.2670  prec@K=0.0060  accepted=11  loss=0.7127  (0.3s)
