round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.07222653525797071,0.02411873840445269,13.0,539.0,247.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.020242914979757085,0.44271844660194176,228.0,1.9791666666666667,0.24232631757695464,5.646431160236695,1.0
1,0.07222653525797071,0.015552099533437015,10.0,643.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016194331983805668,0.37216828478964403,230.0,,,,2.0
2,0.07223092139602001,0.024691358024691357,16.0,648.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.032388663967611336,0.36984126984126986,233.0,,,,3.0
3,0.07224846594821725,0.022727272727272728,12.0,528.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02834008097165992,0.45454545454545453,230.0,,,,4.0
4,0.07225723822431587,0.025408348457350273,14.0,551.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03643724696356275,0.41941747572815535,216.0,,,,5.0
5,0.0722660105004145,0.025996533795493933,15.0,577.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020242914979757085,0.40974729241877256,227.0,,,,6.0
6,0.0722703966384638,0.02142857142857143,12.0,560.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.012145748987854251,0.4207547169811321,223.0,,,,7.0
7,0.0722703966384638,0.017793594306049824,10.0,562.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020242914979757085,0.416195856873823,221.0,,,,8.0
8,0.07227916891456242,0.021487603305785124,13.0,605.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03643724696356275,0.3892733564013841,225.0,,,,9.0
9,0.07228794119066104,0.01864406779661017,11.0,590.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02834008097165992,0.4103942652329749,229.0,,,,10.0
10,0.07229671346675966,0.043560606060606064,23.0,528.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06477732793522267,0.4497991967871486,224.0,1.9865771812080537,0.24097079255649026,4.788654990624337,11.0
11,0.07231425801895688,0.02640845070422535,15.0,568.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024291497975708502,0.40925925925925927,221.0,,,,12.0
12,0.07231425801895688,0.0108499095840868,6.0,553.0,247.0,0.0,,,,,,,0.016194331983805668,0.4247619047619048,223.0,,,,13.0
13,0.07231425801895688,0.02214022140221402,12.0,542.0,247.0,0.0,,,,,,,0.020242914979757085,0.424901185770751,215.0,,,,14.0
14,0.0723230302950555,0.021352313167259787,12.0,562.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020242914979757085,0.423728813559322,225.0,,,,15.0
15,0.07233180257115412,0.014598540145985401,8.0,548.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024291497975708502,0.4266409266409266,221.0,,,,16.0
16,0.07234057484725274,0.023593466424682397,13.0,551.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024291497975708502,0.4312977099236641,226.0,,,,17.0
17,0.07234496098530205,0.015122873345935728,8.0,529.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016194331983805668,0.4468937875751503,223.0,,,,18.0
18,0.07235373326140067,0.026362038664323375,15.0,569.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02834008097165992,0.4105461393596987,218.0,,,,19.0
19,0.07236250553749929,0.019704433497536946,12.0,609.0,247.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.02834008097165992,0.38632478632478634,226.0,,,,20.0
20,0.07236689167554859,0.03163444639718805,18.0,569.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03643724696356275,0.4166666666666667,225.0,1.9428571428571428,0.2401795441856385,4.8421218780932,21.0
21,0.07237127781359791,0.020637898686679174,11.0,533.0,247.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.016194331983805668,0.4384920634920635,221.0,,,,22.0
22,0.07237566395164721,0.0231023102310231,14.0,606.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024291497975708502,0.39728353140916806,234.0,,,,23.0
23,0.07238882236579514,0.03544776119402985,19.0,536.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04048582995951417,0.4358974358974359,221.0,,,,24.0
24,0.07239320850384445,0.02664298401420959,15.0,563.0,247.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02834008097165992,0.42696629213483145,228.0,,,,25.0
