round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.16107292214092842,0.020343959731543623,97.0,4768.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02130977130977131,0.37334826427771556,1667.0,1.9615384615384615,0.07930195579228419,7.61507879019134,1.0
1,0.16107526302791392,0.020765736534717714,96.0,4623.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02494802494802495,0.3878871937124364,1678.0,,,,2.0
2,0.16107643347140665,0.019408711351839313,86.0,4431.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02130977130977131,0.40335114133074307,1661.0,,,,3.0
3,0.16108111524537763,0.019845644983461964,90.0,4535.0,1924.0,0.0,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666,1.0,0.016112266112266113,0.39331135186057464,1670.0,,,,4.0
4,0.16108462657585584,0.018582541054451167,86.0,4628.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01975051975051975,0.3822098679638638,1650.0,,,,5.0
5,0.16108813790633408,0.01968073474743057,90.0,4573.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02390852390852391,0.3851956624233852,1634.0,,,,6.0
6,0.16108930834982682,0.021547080370609782,100.0,4641.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02079002079002079,0.3859407305306685,1680.0,,,,7.0
7,0.16109281968030506,0.01968670618120237,93.0,4724.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02079002079002079,0.37497176417438444,1660.0,,,,8.0
8,0.16109516056729056,0.017346249155215137,77.0,4439.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019230769230769232,0.4013605442176871,1652.0,,,,9.0
9,0.16109867189776877,0.01843417913684667,85.0,4611.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01975051975051975,0.38339181286549706,1639.0,,,,10.0
10,0.16110335367173975,0.020482476103777878,90.0,4394.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.012993762993762994,0.4013271073973949,1633.0,1.968503937007874,0.07843271921319797,8.167031528237464,11.0
11,0.161106865002218,0.022830018083182642,101.0,4424.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02442827442827443,0.40063244952566285,1647.0,,,,12.0
12,0.16111037633269623,0.02125304405578924,96.0,4517.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02130977130977131,0.39701704545454547,1677.0,,,,13.0
13,0.16111154677618897,0.02108300044385264,95.0,4506.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02234927234927235,0.3966785290628707,1672.0,,,,14.0
14,0.1611127172196817,0.021257552025061535,95.0,4469.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02130977130977131,0.39481337857489096,1629.0,,,,15.0
15,0.16111388766317444,0.02102376599634369,92.0,4376.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02390852390852391,0.40919090686873627,1674.0,,,,16.0
16,0.1611150581066672,0.02119116662948918,95.0,4483.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02130977130977131,0.3972635621699472,1655.0,,,,17.0
17,0.16111739899365268,0.020013963230160577,86.0,4297.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.029106029106029108,0.4108176100628931,1633.0,,,,18.0
18,0.16111973988063819,0.019132057862809144,82.0,4286.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.017151767151767153,0.416289592760181,1656.0,,,,19.0
19,0.16112091032413092,0.020009095043201454,88.0,4398.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01975051975051975,0.4054318571079031,1657.0,,,,20.0
20,0.1611232512111164,0.02198549410698096,97.0,4412.0,1924.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02338877338877339,0.403281096963761,1647.0,1.9722222222222223,0.07745153424308979,8.227078678823212,21.0
21,0.16112442165460913,0.019094766619519095,81.0,4242.0,1924.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.02079002079002079,0.42022357723577236,1654.0,,,,22.0
