=== sx_mathoverflow_jaccard_s42  started 2026-05-10T19:59:02 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.3000  prec@K=0.0042  accepted=10  auc=0.4392  uauc=0.6042  loss=nan  (2.0s)
Round    2/30  coverage=0.3001  prec@K=0.0025  accepted=6  auc=0.3789  uauc=0.5582  loss=nan  (0.2s)
Round    3/30  coverage=0.3001  prec@K=0.0012  accepted=3  auc=0.3461  uauc=0.5451  loss=nan  (0.2s)
Round    4/30  coverage=0.3001  prec@K=0.0017  accepted=4  auc=0.3474  uauc=0.8218  loss=nan  (0.2s)
Round    5/30  coverage=0.3002  prec@K=0.0074  accepted=18  auc=0.3798  uauc=0.7749  loss=nan  (0.3s)
Round    6/30  coverage=0.3002  prec@K=0.0025  accepted=6  auc=0.4436  uauc=0.7111  loss=nan  (0.2s)
Round    7/30  coverage=0.3003  prec@K=0.0050  accepted=12  auc=0.3612  uauc=0.5764  loss=nan  (0.3s)
Round    8/30  coverage=0.3003  prec@K=0.0072  accepted=17  auc=0.4071  uauc=0.4855  loss=nan  (0.3s)
Round    9/30  coverage=0.3004  prec@K=0.0029  accepted=7  auc=0.3992  uauc=0.7903  loss=nan  (0.5s)
Round   10/30  coverage=0.3004  prec@K=0.0034  accepted=8  auc=0.3894  uauc=0.6892  loss=nan  (0.3s)
Round   11/30  coverage=0.3004  prec@K=0.0029  accepted=7  auc=0.3661  uauc=0.6843  loss=nan  (2.1s)
Round   12/30  coverage=0.3005  prec@K=0.0033  accepted=8  auc=0.3370  uauc=0.8444  loss=nan  (0.4s)
Round   13/30  coverage=0.3005  prec@K=0.0029  accepted=7  auc=0.4385  uauc=0.8519  loss=nan  (0.3s)
Round   14/30  coverage=0.3005  prec@K=0.0029  accepted=7  auc=0.3927  uauc=0.6347  loss=nan  (0.4s)
Round   15/30  coverage=0.3006  prec@K=0.0045  accepted=11  auc=0.4014  uauc=0.7247  loss=nan  (0.4s)
Round   16/30  coverage=0.3006  prec@K=0.0041  accepted=10  auc=0.4314  uauc=0.6190  loss=nan  (0.4s)
Round   17/30  coverage=0.3006  prec@K=0.0012  accepted=3  auc=0.4277  uauc=0.7222  loss=nan  (0.4s)
Round   18/30  coverage=0.3007  prec@K=0.0020  accepted=5  auc=0.3635  uauc=0.4762  loss=nan  (0.4s)
Round   19/30  coverage=0.3007  prec@K=0.0025  accepted=6  auc=0.3715  uauc=0.4903  loss=nan  (0.4s)
Round   20/30  coverage=0.3007  prec@K=0.0037  accepted=9  auc=0.4055  uauc=0.5929  loss=nan  (0.5s)
Round   21/30  coverage=0.3007  prec@K=0.0013  accepted=3  auc=0.4163  uauc=0.4410  loss=nan  (2.2s)
Round   22/30  coverage=0.3008  prec@K=0.0042  accepted=10  auc=0.4082  uauc=0.5501  loss=nan  (0.5s)
Round   23/30  coverage=0.3008  prec@K=0.0050  accepted=12  auc=0.3369  uauc=0.6455  loss=nan  (0.5s)
Round   24/30  coverage=0.3008  prec@K=0.0017  accepted=4  auc=0.3817  uauc=0.8681  loss=nan  (0.5s)
Round   25/30  coverage=0.3009  prec@K=0.0041  accepted=10  auc=0.3686  uauc=0.5521  loss=nan  (0.5s)
Round   26/30  coverage=0.3009  prec@K=0.0025  accepted=6  auc=0.3296  uauc=0.5159  loss=nan  (0.5s)
Round   27/30  coverage=0.3010  prec@K=0.0037  accepted=9  auc=0.3597  uauc=0.6972  loss=nan  (0.6s)
Round   28/30  coverage=0.3010  prec@K=0.0033  accepted=8  auc=0.4209  uauc=0.8952  loss=nan  (0.7s)
Round   29/30  coverage=0.3010  prec@K=0.0054  accepted=13  auc=0.4294  uauc=0.6319  loss=nan  (0.7s)
Round   30/30  coverage=0.3011  prec@K=0.0050  accepted=12  auc=0.3173  uauc=0.6146  loss=nan  (0.6s)

结果已写入 results\orchestrator\runs\ir30_constlr5e5_multiseed_bidir\sx_mathoverflow\jaccard_s42/rounds.csv
