=== dnc_email_gnn_sum_s1  started 2026-05-07T13:20:24 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.4031  prec@K=0.0100  accepted=18  auc=0.0980  uauc=0.7786  loss=0.7143  (1.6s)
Round    2/30  coverage=0.4076  prec@K=0.0135  accepted=25  auc=0.0977  uauc=0.7155  loss=0.7098  (0.8s)
Round    3/30  coverage=0.4089  prec@K=0.0039  accepted=7  auc=0.0467  uauc=0.4111  loss=0.7096  (0.8s)
Round    4/30  coverage=0.4098  prec@K=0.0027  accepted=5  auc=0.1791  uauc=0.5741  loss=0.7074  (0.9s)
Round    5/30  coverage=0.4118  prec@K=0.0060  accepted=11  auc=0.0949  uauc=0.6570  loss=0.7017  (0.8s)
Round    6/30  coverage=0.4127  prec@K=0.0027  accepted=5  auc=0.1902  uauc=0.9028  loss=0.7028  (0.8s)
Round    7/30  coverage=0.4156  prec@K=0.0087  accepted=16  auc=0.2429  uauc=0.8428  loss=0.6955  (0.8s)
Round    8/30  coverage=0.4173  prec@K=0.0049  accepted=9  auc=0.0834  uauc=0.8177  loss=0.6914  (0.9s)
Round    9/30  coverage=0.4180  prec@K=0.0022  accepted=4  auc=0.2709  uauc=0.7083  loss=0.6911  (0.9s)
Round   10/30  coverage=0.4198  prec@K=0.0055  accepted=10  auc=0.0821  uauc=0.6473  loss=0.6882  (0.9s)
Round   11/30  coverage=0.4211  prec@K=0.0038  accepted=7  auc=0.1005  uauc=0.7222  loss=0.6832  (0.9s)
Round   12/30  coverage=0.4223  prec@K=0.0038  accepted=7  auc=0.1243  uauc=0.7587  loss=0.6802  (0.8s)
Round   13/30  coverage=0.4232  prec@K=0.0027  accepted=5  auc=0.4014  uauc=0.8889  loss=0.6786  (0.8s)
Round   14/30  coverage=0.4260  prec@K=0.0083  accepted=15  auc=0.1308  uauc=0.7946  loss=0.6772  (0.9s)
Round   15/30  coverage=0.4263  prec@K=0.0011  accepted=2  auc=0.7515  uauc=1.0000  loss=0.6787  (0.9s)
Round   16/30  coverage=0.4276  prec@K=0.0039  accepted=7  auc=0.2329  uauc=0.7130  loss=0.6667  (0.8s)
Round   17/30  coverage=0.4281  prec@K=0.0016  accepted=3  auc=0.0617  uauc=0.5185  loss=0.6632  (0.9s)
Round   18/30  coverage=0.4292  prec@K=0.0032  accepted=6  auc=0.2271  uauc=0.6528  loss=0.6655  (1.0s)
Round   19/30  coverage=0.4305  prec@K=0.0038  accepted=7  auc=0.2222  uauc=0.6910  loss=0.6581  (1.0s)
Round   20/30  coverage=0.4312  prec@K=0.0022  accepted=4  auc=0.2061  uauc=1.0000  loss=0.6555  (1.0s)
Round   21/30  coverage=0.4318  prec@K=0.0016  accepted=3  auc=0.2291  uauc=0.7188  loss=0.6554  (1.0s)
Round   22/30  coverage=0.4338  prec@K=0.0060  accepted=11  auc=0.0793  uauc=0.6852  loss=0.6553  (0.9s)
Round   23/30  coverage=0.4354  prec@K=0.0049  accepted=9  auc=0.1119  uauc=0.6201  loss=0.6508  (1.1s)
Round   24/30  coverage=0.4359  prec@K=0.0016  accepted=3  auc=0.0955  uauc=0.5185  loss=0.6451  (1.1s)
Round   25/30  coverage=0.4377  prec@K=0.0055  accepted=10  auc=0.1587  uauc=0.5139  loss=0.6451  (1.0s)
Round   26/30  coverage=0.4379  prec@K=0.0005  accepted=1  auc=0.0208  uauc=0.7778  loss=0.6448  (1.0s)
Round   27/30  coverage=0.4385  prec@K=0.0017  accepted=3  auc=0.2621  uauc=0.7500  loss=0.6378  (1.0s)
Round   28/30  coverage=0.4392  prec@K=0.0022  accepted=4  auc=0.4314  uauc=0.7500  loss=0.6391  (1.0s)
Round   29/30  coverage=0.4401  prec@K=0.0027  accepted=5  auc=0.0845  uauc=0.7569  loss=0.6331  (1.0s)
Round   30/30  coverage=0.4401  prec@K=0.0000  accepted=0  loss=0.6327  (1.1s)

结果已写入 results\orchestrator\runs\ir40_constlr5e5_multiseed\dnc_email\gnn_sum_s1/rounds.csv
