=== sx_mathoverflow_gat_emb_s3  started 2026-05-07T17:56:41 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.4000  prec@K=0.0021  accepted=5  auc=0.0889  uauc=0.7153  loss=0.7043  (5.7s)
Round    2/30  coverage=0.4001  prec@K=0.0042  accepted=10  auc=0.1257  uauc=0.7387  loss=0.7041  (2.5s)
Round    3/30  coverage=0.4001  prec@K=0.0042  accepted=10  auc=0.2694  uauc=0.5833  loss=0.7039  (2.8s)
Round    4/30  coverage=0.4001  prec@K=0.0017  accepted=4  auc=0.4128  uauc=0.5278  loss=0.7039  (2.2s)
Round    5/30  coverage=0.4001  prec@K=0.0013  accepted=3  auc=0.0886  uauc=0.8889  loss=0.7038  (2.4s)
Round    6/30  coverage=0.4002  prec@K=0.0029  accepted=7  auc=0.5247  uauc=0.5613  loss=0.7036  (2.6s)
Round    7/30  coverage=0.4002  prec@K=0.0034  accepted=8  auc=0.1464  uauc=0.5903  loss=0.7033  (2.7s)
Round    8/30  coverage=0.4002  prec@K=0.0034  accepted=8  auc=0.1363  uauc=0.7083  loss=0.7032  (2.7s)
Round    9/30  coverage=0.4003  prec@K=0.0042  accepted=10  auc=0.1314  uauc=0.6758  loss=0.7030  (2.4s)
Round   10/30  coverage=0.4003  prec@K=0.0033  accepted=8  auc=0.1346  uauc=0.5437  loss=0.7029  (2.7s)
Round   11/30  coverage=0.4003  prec@K=0.0017  accepted=4  auc=0.2120  uauc=0.7778  loss=0.7029  (4.7s)
Round   12/30  coverage=0.4004  prec@K=0.0046  accepted=11  auc=0.1482  uauc=0.7955  loss=0.7026  (2.9s)
Round   13/30  coverage=0.4004  prec@K=0.0030  accepted=7  auc=0.1792  uauc=0.6865  loss=0.7025  (2.6s)
Round   14/30  coverage=0.4004  prec@K=0.0029  accepted=7  auc=0.1676  uauc=0.5266  loss=0.7024  (2.7s)
Round   15/30  coverage=0.4005  prec@K=0.0017  accepted=4  auc=0.1224  uauc=0.7153  loss=0.7022  (2.7s)
Round   16/30  coverage=0.4005  prec@K=0.0017  accepted=4  auc=0.1660  uauc=0.5266  loss=0.7021  (2.8s)
Round   17/30  coverage=0.4005  prec@K=0.0025  accepted=6  auc=0.1685  uauc=0.4259  loss=0.7020  (2.9s)
Round   18/30  coverage=0.4005  prec@K=0.0021  accepted=5  auc=0.1940  uauc=0.5889  loss=0.7019  (3.1s)
Round   19/30  coverage=0.4006  prec@K=0.0033  accepted=8  auc=0.1030  uauc=0.8095  loss=0.7016  (2.6s)
Round   20/30  coverage=0.4006  prec@K=0.0063  accepted=15  auc=0.1311  uauc=0.7253  loss=0.7013  (2.8s)
Round   21/30  coverage=0.4007  prec@K=0.0021  accepted=5  auc=0.1015  uauc=0.9556  loss=0.7014  (5.2s)
Round   22/30  coverage=0.4007  prec@K=0.0013  accepted=3  auc=0.2009  uauc=0.9815  loss=0.7013  (3.1s)
Round   23/30  coverage=0.4007  prec@K=0.0017  accepted=4  auc=0.0924  uauc=0.3194  loss=0.7011  (2.9s)
Round   24/30  coverage=0.4007  prec@K=0.0025  accepted=6  auc=0.1794  uauc=0.5097  loss=0.7010  (3.0s)
Round   25/30  coverage=0.4007  prec@K=0.0033  accepted=8  auc=0.1582  uauc=0.5794  loss=0.7008  (3.1s)
Round   26/30  coverage=0.4008  prec@K=0.0035  accepted=8  auc=0.1895  uauc=0.5397  loss=0.7005  (3.0s)
Round   27/30  coverage=0.4008  prec@K=0.0021  accepted=5  auc=0.0816  uauc=0.6007  loss=0.7005  (2.9s)
Round   28/30  coverage=0.4008  prec@K=0.0034  accepted=8  auc=0.1456  uauc=0.4653  loss=0.7003  (3.1s)
Round   29/30  coverage=0.4008  prec@K=0.0013  accepted=3  auc=0.0760  uauc=0.4074  loss=0.7003  (3.0s)
Round   30/30  coverage=0.4009  prec@K=0.0021  accepted=5  auc=0.0918  uauc=0.7333  loss=0.7001  (3.3s)

结果已写入 results\orchestrator\runs\ir40_constlr5e5_multiseed\sx_mathoverflow\gat_emb_s3/rounds.csv
