=== college_msg_seal_s1  started 2026-05-08T20:20:10 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.5006  prec@K=0.0070  accepted=13  auc=0.7410  uauc=0.6661  loss=0.7656  (3.5s)
Round    2/30  coverage=0.5016  prec@K=0.0102  accepted=19  auc=0.7263  uauc=0.6013  loss=0.7644  (2.9s)
Round    3/30  coverage=0.5019  prec@K=0.0033  accepted=6  auc=0.3734  uauc=0.5463  loss=0.7649  (2.8s)
Round    4/30  coverage=0.5023  prec@K=0.0043  accepted=8  auc=0.6137  uauc=0.5208  loss=0.7646  (2.8s)
Round    5/30  coverage=0.5028  prec@K=0.0053  accepted=10  auc=0.7195  uauc=0.5208  loss=0.7639  (2.8s)
Round    6/30  coverage=0.5032  prec@K=0.0049  accepted=9  auc=0.5488  uauc=0.5247  loss=0.7634  (2.9s)
Round    7/30  coverage=0.5038  prec@K=0.0065  accepted=12  auc=0.7788  uauc=0.7315  loss=0.7625  (2.7s)
Round    8/30  coverage=0.5045  prec@K=0.0081  accepted=15  auc=0.7275  uauc=0.6736  loss=0.7626  (2.8s)
Round    9/30  coverage=0.5051  prec@K=0.0066  accepted=12  auc=0.6307  uauc=0.4627  loss=0.7620  (3.0s)
Round   10/30  coverage=0.5060  prec@K=0.0097  accepted=18  auc=0.5960  uauc=0.4809  loss=0.7613  (2.8s)
Round   11/30  coverage=0.5070  prec@K=0.0115  accepted=21  auc=0.6545  uauc=0.6569  loss=0.7606  (2.9s)
Round   12/30  coverage=0.5073  prec@K=0.0027  accepted=5  auc=0.6637  uauc=0.6667  loss=0.7620  (2.8s)
Round   13/30  coverage=0.5077  prec@K=0.0048  accepted=9  auc=0.4162  uauc=0.5617  loss=0.7610  (2.9s)
Round   14/30  coverage=0.5082  prec@K=0.0053  accepted=10  auc=0.4605  uauc=0.4835  loss=0.7599  (2.8s)
Round   15/30  coverage=0.5084  prec@K=0.0016  accepted=3  auc=0.6613  uauc=0.3333  loss=0.7599  (2.9s)
Round   16/30  coverage=0.5086  prec@K=0.0022  accepted=4  auc=0.5853  uauc=0.4456  loss=0.7597  (2.7s)
Round   17/30  coverage=0.5089  prec@K=0.0038  accepted=7  auc=0.5781  uauc=0.7181  loss=0.7584  (2.6s)
Round   18/30  coverage=0.5095  prec@K=0.0064  accepted=12  auc=0.3682  uauc=0.5530  loss=0.7585  (2.8s)
Round   19/30  coverage=0.5100  prec@K=0.0048  accepted=9  auc=0.4828  uauc=0.5069  loss=0.7572  (3.0s)
Round   20/30  coverage=0.5103  prec@K=0.0038  accepted=7  auc=0.3152  uauc=0.6508  loss=0.7572  (3.2s)
Round   21/30  coverage=0.5107  prec@K=0.0049  accepted=9  auc=0.5416  uauc=0.5218  loss=0.7563  (3.2s)
Round   22/30  coverage=0.5109  prec@K=0.0016  accepted=3  auc=0.8074  uauc=0.7407  loss=0.7563  (3.3s)
Round   23/30  coverage=0.5111  prec@K=0.0021  accepted=4  auc=0.4997  uauc=0.5278  loss=0.7571  (2.9s)
Round   24/30  coverage=0.5117  prec@K=0.0065  accepted=12  auc=0.4420  uauc=0.5463  loss=0.7555  (2.9s)
Round   25/30  coverage=0.5120  prec@K=0.0037  accepted=7  auc=0.5671  uauc=0.5000  loss=0.7550  (2.9s)
Round   26/30  coverage=0.5122  prec@K=0.0016  accepted=3  auc=0.2536  uauc=0.5370  loss=0.7548  (2.9s)
Round   27/30  coverage=0.5125  prec@K=0.0038  accepted=7  auc=0.3426  uauc=0.5952  loss=0.7544  (3.0s)
Round   28/30  coverage=0.5129  prec@K=0.0038  accepted=7  auc=0.4866  uauc=0.4444  loss=0.7548  (2.9s)
Round   29/30  coverage=0.5130  prec@K=0.0011  accepted=2  auc=0.3352  uauc=0.3611  loss=0.7536  (2.8s)
Round   30/30  coverage=0.5134  prec@K=0.0043  accepted=8  auc=0.5169  uauc=0.5139  loss=0.7536  (2.9s)

结果已写入 results\orchestrator\runs\ir50_constlr5e5_multiseed_bidir\college_msg\seal_s1/rounds.csv
