=== email_eu_seal_s1  started 2026-05-08T20:06:05 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.5005  prec@K=0.0143  accepted=14  auc=0.7239  uauc=0.5013  loss=0.7218  (3.5s)
Round    2/30  coverage=0.5009  prec@K=0.0082  accepted=8  auc=0.7863  uauc=0.7708  loss=0.7077  (2.6s)
Round    3/30  coverage=0.5011  prec@K=0.0072  accepted=7  auc=0.7891  uauc=0.6329  loss=0.7054  (2.5s)
Round    4/30  coverage=0.5013  prec@K=0.0041  accepted=4  auc=0.6715  uauc=0.5648  loss=0.7223  (2.3s)
Round    5/30  coverage=0.5018  prec@K=0.0133  accepted=13  auc=0.5699  uauc=0.5817  loss=0.7092  (2.5s)
Round    6/30  coverage=0.5022  prec@K=0.0102  accepted=10  auc=0.6608  uauc=0.3993  loss=0.7148  (2.3s)
Round    7/30  coverage=0.5025  prec@K=0.0082  accepted=8  auc=0.6081  uauc=0.5486  loss=0.7078  (2.5s)
Round    8/30  coverage=0.5029  prec@K=0.0082  accepted=8  auc=0.6315  uauc=0.5972  loss=0.7109  (2.5s)
Round    9/30  coverage=0.5033  prec@K=0.0123  accepted=12  auc=0.4811  uauc=0.4861  loss=0.7124  (2.5s)
Round   10/30  coverage=0.5036  prec@K=0.0052  accepted=5  auc=0.6886  uauc=0.3667  loss=0.6983  (2.4s)
Round   11/30  coverage=0.5039  prec@K=0.0092  accepted=9  auc=0.4677  uauc=0.5062  loss=0.7229  (2.3s)
Round   12/30  coverage=0.5041  prec@K=0.0051  accepted=5  auc=0.5838  uauc=0.4000  loss=0.6929  (2.3s)
Round   13/30  coverage=0.5045  prec@K=0.0102  accepted=10  auc=0.6233  uauc=0.5517  loss=0.6878  (2.5s)
Round   14/30  coverage=0.5046  prec@K=0.0021  accepted=2  auc=0.9173  uauc=0.8125  loss=0.7132  (2.3s)
Round   15/30  coverage=0.5048  prec@K=0.0041  accepted=4  auc=0.2819  uauc=0.3750  loss=0.7112  (2.3s)
Round   16/30  coverage=0.5051  prec@K=0.0082  accepted=8  auc=0.6054  uauc=0.4569  loss=0.6927  (2.4s)
Round   17/30  coverage=0.5055  prec@K=0.0112  accepted=11  auc=0.4605  uauc=0.5312  loss=0.6954  (2.4s)
Round   18/30  coverage=0.5057  prec@K=0.0051  accepted=5  auc=0.3513  uauc=0.5139  loss=0.7088  (2.2s)
Round   19/30  coverage=0.5061  prec@K=0.0103  accepted=10  auc=0.5399  uauc=0.5694  loss=0.6938  (2.5s)
Round   20/30  coverage=0.5063  prec@K=0.0051  accepted=5  auc=0.5496  uauc=0.4444  loss=0.6942  (2.4s)
Round   21/30  coverage=0.5064  prec@K=0.0021  accepted=2  auc=0.4400  uauc=0.7500  loss=0.6842  (2.9s)
Round   22/30  coverage=0.5064  prec@K=0.0010  accepted=1  auc=0.3626  uauc=0.5556  loss=0.6812  (2.5s)
Round   23/30  coverage=0.5066  prec@K=0.0031  accepted=3  auc=0.4730  uauc=0.3889  loss=0.6843  (2.4s)
Round   24/30  coverage=0.5067  prec@K=0.0031  accepted=3  auc=0.7107  uauc=0.6667  loss=0.6649  (2.5s)
Round   25/30  coverage=0.5068  prec@K=0.0041  accepted=4  auc=0.2237  uauc=0.1528  loss=0.6780  (2.4s)
Round   26/30  coverage=0.5070  prec@K=0.0051  accepted=5  auc=0.3887  uauc=0.3472  loss=0.6708  (2.7s)
Round   27/30  coverage=0.5073  prec@K=0.0071  accepted=7  auc=0.4371  uauc=0.5631  loss=0.6901  (2.4s)
Round   28/30  coverage=0.5074  prec@K=0.0021  accepted=2  auc=0.6391  uauc=0.4167  loss=0.6720  (2.4s)
Round   29/30  coverage=0.5075  prec@K=0.0031  accepted=3  auc=0.2163  uauc=0.4062  loss=0.6751  (2.7s)
Round   30/30  coverage=0.5077  prec@K=0.0041  accepted=4  auc=0.4492  uauc=0.4583  loss=0.6678  (2.7s)

结果已写入 results\orchestrator\runs\ir50_constlr5e5_multiseed_bidir\email_eu\seal_s1/rounds.csv
