=== sx_mathoverflow_gnn_sum_s2  started 2026-05-08T22:04:24 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.5000  prec@K=0.0042  accepted=10  auc=0.1929  uauc=0.8829  loss=0.6786  (7.6s)
Round    2/30  coverage=0.5001  prec@K=0.0041  accepted=10  auc=0.3639  uauc=0.7284  loss=0.6761  (3.3s)
Round    3/30  coverage=0.5001  prec@K=0.0041  accepted=10  auc=0.2669  uauc=0.6559  loss=0.6744  (3.2s)
Round    4/30  coverage=0.5002  prec@K=0.0034  accepted=8  auc=0.3834  uauc=0.7619  loss=0.6728  (3.3s)
Round    5/30  coverage=0.5002  prec@K=0.0058  accepted=14  auc=0.1731  uauc=0.7436  loss=0.6708  (3.2s)
Round    6/30  coverage=0.5003  prec@K=0.0050  accepted=12  auc=0.2720  uauc=0.7603  loss=0.6671  (3.5s)
Round    7/30  coverage=0.5003  prec@K=0.0037  accepted=9  auc=0.1132  uauc=0.8140  loss=0.6665  (3.3s)
Round    8/30  coverage=0.5004  prec@K=0.0058  accepted=14  auc=0.2868  uauc=0.7046  loss=0.6631  (3.7s)
Round    9/30  coverage=0.5004  prec@K=0.0041  accepted=10  auc=0.1444  uauc=0.7056  loss=0.6636  (3.5s)
Round   10/30  coverage=0.5005  prec@K=0.0049  accepted=12  auc=0.1494  uauc=0.5915  loss=0.6619  (3.2s)
Round   11/30  coverage=0.5005  prec@K=0.0038  accepted=9  auc=0.3804  uauc=0.8194  loss=0.6600  (6.5s)
Round   12/30  coverage=0.5005  prec@K=0.0029  accepted=7  auc=0.1864  uauc=0.7153  loss=0.6562  (3.9s)
Round   13/30  coverage=0.5006  prec@K=0.0034  accepted=8  auc=0.4124  uauc=0.7222  loss=0.6572  (3.1s)
Round   14/30  coverage=0.5006  prec@K=0.0021  accepted=5  auc=0.1735  uauc=0.8194  loss=0.6534  (3.6s)
Round   15/30  coverage=0.5006  prec@K=0.0029  accepted=7  auc=0.1762  uauc=0.7095  loss=0.6498  (3.9s)
Round   16/30  coverage=0.5007  prec@K=0.0021  accepted=5  auc=0.0628  uauc=0.5764  loss=0.6509  (3.4s)
Round   17/30  coverage=0.5007  prec@K=0.0033  accepted=8  auc=0.2216  uauc=0.8889  loss=0.6482  (3.6s)
Round   18/30  coverage=0.5007  prec@K=0.0038  accepted=9  auc=0.3073  uauc=0.9392  loss=0.6456  (3.5s)
Round   19/30  coverage=0.5008  prec@K=0.0041  accepted=10  auc=0.2397  uauc=0.8778  loss=0.6449  (3.5s)
Round   20/30  coverage=0.5008  prec@K=0.0033  accepted=8  auc=0.2504  uauc=0.8750  loss=0.6420  (3.4s)
Round   21/30  coverage=0.5008  prec@K=0.0013  accepted=3  auc=0.2701  uauc=0.6852  loss=0.6402  (6.7s)
Round   22/30  coverage=0.5008  prec@K=0.0025  accepted=6  auc=0.2690  uauc=0.8056  loss=0.6387  (3.6s)
Round   23/30  coverage=0.5009  prec@K=0.0012  accepted=3  auc=0.2428  uauc=0.8333  loss=0.6367  (3.5s)
Round   24/30  coverage=0.5009  prec@K=0.0021  accepted=5  auc=0.2184  uauc=0.8222  loss=0.6359  (3.6s)
Round   25/30  coverage=0.5009  prec@K=0.0037  accepted=9  auc=0.0991  uauc=0.7695  loss=0.6322  (3.8s)
Round   26/30  coverage=0.5010  prec@K=0.0041  accepted=10  auc=0.1337  uauc=0.9722  loss=0.6311  (3.5s)
Round   27/30  coverage=0.5010  prec@K=0.0033  accepted=8  auc=0.2402  uauc=0.8750  loss=0.6298  (3.3s)
Round   28/30  coverage=0.5010  prec@K=0.0037  accepted=9  auc=0.1656  uauc=0.8411  loss=0.6284  (3.5s)
Round   29/30  coverage=0.5011  prec@K=0.0033  accepted=8  auc=0.0702  uauc=0.8542  loss=0.6249  (3.7s)
Round   30/30  coverage=0.5011  prec@K=0.0013  accepted=3  auc=0.1564  uauc=0.7778  loss=0.6244  (3.5s)

结果已写入 results\orchestrator\runs\ir50_constlr5e5_multiseed_bidir\sx_mathoverflow\gnn_sum_s2/rounds.csv
