=== sx_mathoverflow_seal_s3  started 2026-05-08T22:10:18 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.5001  prec@K=0.0053  accepted=13  auc=0.8735  uauc=0.5722  loss=0.6092  (7.1s)
Round    2/30  coverage=0.5001  prec@K=0.0029  accepted=7  auc=0.7598  uauc=0.4762  loss=0.6087  (3.2s)
Round    3/30  coverage=0.5001  prec@K=0.0033  accepted=8  auc=0.8843  uauc=0.9155  loss=0.6085  (3.6s)
Round    4/30  coverage=0.5002  prec@K=0.0033  accepted=8  auc=0.7018  uauc=0.5278  loss=0.6081  (2.8s)
Round    5/30  coverage=0.5002  prec@K=0.0030  accepted=7  auc=0.8629  uauc=0.7540  loss=0.6077  (3.1s)
Round    6/30  coverage=0.5002  prec@K=0.0025  accepted=6  auc=0.9096  uauc=0.6042  loss=0.6074  (3.3s)
Round    7/30  coverage=0.5002  prec@K=0.0017  accepted=4  auc=0.7363  uauc=0.8333  loss=0.6073  (3.3s)
Round    8/30  coverage=0.5003  prec@K=0.0049  accepted=12  auc=0.7982  uauc=0.6714  loss=0.6078  (3.6s)
Round    9/30  coverage=0.5003  prec@K=0.0025  accepted=6  auc=0.8786  uauc=0.6488  loss=0.6064  (2.9s)
Round   10/30  coverage=0.5004  prec@K=0.0046  accepted=11  auc=0.8715  uauc=0.6153  loss=0.6071  (3.4s)
Round   11/30  coverage=0.5004  prec@K=0.0029  accepted=7  auc=0.8341  uauc=0.7477  loss=0.6060  (6.5s)
Round   12/30  coverage=0.5004  prec@K=0.0058  accepted=14  auc=0.8645  uauc=0.7310  loss=0.6064  (3.4s)
Round   13/30  coverage=0.5005  prec@K=0.0025  accepted=6  auc=0.7091  uauc=0.6296  loss=0.6056  (3.3s)
Round   14/30  coverage=0.5005  prec@K=0.0041  accepted=10  auc=0.8459  uauc=0.6944  loss=0.6057  (3.2s)
Round   15/30  coverage=0.5005  prec@K=0.0025  accepted=6  auc=0.7949  uauc=0.7870  loss=0.6051  (3.2s)
Round   16/30  coverage=0.5006  prec@K=0.0029  accepted=7  auc=0.9617  uauc=0.8889  loss=0.6051  (3.3s)
Round   17/30  coverage=0.5006  prec@K=0.0042  accepted=10  auc=0.8653  uauc=0.6056  loss=0.6052  (3.9s)
Round   18/30  coverage=0.5007  prec@K=0.0045  accepted=11  auc=0.8737  uauc=0.8333  loss=0.6050  (3.7s)
Round   19/30  coverage=0.5007  prec@K=0.0008  accepted=2  auc=0.6132  uauc=0.7500  loss=0.6037  (3.0s)
Round   20/30  coverage=0.5007  prec@K=0.0046  accepted=11  auc=0.6704  uauc=0.5153  loss=0.6044  (3.3s)
Round   21/30  coverage=0.5008  prec@K=0.0025  accepted=6  auc=0.6764  uauc=0.6204  loss=0.6036  (6.8s)
Round   22/30  coverage=0.5008  prec@K=0.0029  accepted=7  auc=0.7778  uauc=0.6111  loss=0.6036  (3.9s)
Round   23/30  coverage=0.5008  prec@K=0.0017  accepted=4  auc=0.7370  uauc=0.6458  loss=0.6031  (3.5s)
Round   24/30  coverage=0.5008  prec@K=0.0033  accepted=8  auc=0.8140  uauc=0.6647  loss=0.6030  (3.7s)
Round   25/30  coverage=0.5009  prec@K=0.0037  accepted=9  auc=0.7249  uauc=0.7665  loss=0.6028  (3.4s)
Round   26/30  coverage=0.5009  prec@K=0.0025  accepted=6  auc=0.7922  uauc=0.7130  loss=0.6024  (3.7s)
Round   27/30  coverage=0.5009  prec@K=0.0029  accepted=7  auc=0.7828  uauc=0.7083  loss=0.6022  (3.6s)
Round   28/30  coverage=0.5009  prec@K=0.0017  accepted=4  auc=0.8162  uauc=0.5208  loss=0.6017  (3.8s)
Round   29/30  coverage=0.5010  prec@K=0.0025  accepted=6  auc=0.8418  uauc=0.7417  loss=0.6016  (3.4s)
Round   30/30  coverage=0.5010  prec@K=0.0037  accepted=9  auc=0.6708  uauc=0.6853  loss=0.6017  (3.9s)

结果已写入 results\orchestrator\runs\ir50_constlr5e5_multiseed_bidir\sx_mathoverflow\seal_s3/rounds.csv
