=== sx_mathoverflow_graphsage_emb_s3  started 2026-05-09T17:34:56 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.5000  prec@K=0.0111  accepted=27  auc=0.4449  uauc=0.5272  loss=0.6967  (7.0s)
Round    2/30  coverage=0.5000  prec@K=0.0108  accepted=26  auc=0.4859  uauc=0.4800  loss=0.6966  (3.1s)
Round    3/30  coverage=0.5000  prec@K=0.0139  accepted=34  auc=0.4782  uauc=0.4262  loss=0.6954  (3.4s)
Round    4/30  coverage=0.5000  prec@K=0.0104  accepted=25  auc=0.5338  uauc=0.5590  loss=0.6956  (2.7s)
Round    5/30  coverage=0.5001  prec@K=0.0099  accepted=23  auc=0.5049  uauc=0.5314  loss=0.6945  (2.8s)
Round    6/30  coverage=0.5001  prec@K=0.0118  accepted=28  auc=0.5592  uauc=0.5053  loss=0.6937  (3.0s)
Round    7/30  coverage=0.5001  prec@K=0.0078  accepted=19  auc=0.4814  uauc=0.4799  loss=0.6938  (3.3s)
Round    8/30  coverage=0.5001  prec@K=0.0090  accepted=22  auc=0.4596  uauc=0.5303  loss=0.6931  (3.3s)
Round    9/30  coverage=0.5001  prec@K=0.0128  accepted=31  auc=0.4988  uauc=0.5097  loss=0.6935  (2.7s)
Round   10/30  coverage=0.5001  prec@K=0.0079  accepted=19  auc=0.4877  uauc=0.4795  loss=0.6924  (3.2s)
Round   11/30  coverage=0.5001  prec@K=0.0105  accepted=25  auc=0.4734  uauc=0.3490  loss=0.6929  (6.1s)
Round   12/30  coverage=0.5001  prec@K=0.0095  accepted=23  auc=0.5267  uauc=0.6377  loss=0.6918  (3.2s)
Round   13/30  coverage=0.5001  prec@K=0.0105  accepted=25  auc=0.4939  uauc=0.6052  loss=0.6916  (3.0s)
Round   14/30  coverage=0.5001  prec@K=0.0083  accepted=20  auc=0.3128  uauc=0.5376  loss=0.6915  (3.1s)
Round   15/30  coverage=0.5001  prec@K=0.0109  accepted=26  auc=0.4234  uauc=0.4850  loss=0.6904  (3.0s)
Round   16/30  coverage=0.5001  prec@K=0.0092  accepted=22  auc=0.4237  uauc=0.4667  loss=0.6896  (3.1s)
Round   17/30  coverage=0.5002  prec@K=0.0088  accepted=21  auc=0.4653  uauc=0.6490  loss=0.6892  (3.3s)
Round   18/30  coverage=0.5002  prec@K=0.0091  accepted=22  auc=0.4268  uauc=0.4781  loss=0.6890  (3.5s)
Round   19/30  coverage=0.5002  prec@K=0.0101  accepted=24  auc=0.4388  uauc=0.5294  loss=0.6897  (2.9s)
Round   20/30  coverage=0.5002  prec@K=0.0108  accepted=26  auc=0.5036  uauc=0.5271  loss=0.6888  (3.0s)
Round   21/30  coverage=0.5002  prec@K=0.0093  accepted=22  auc=0.5342  uauc=0.4795  loss=0.6881  (6.4s)
Round   22/30  coverage=0.5002  prec@K=0.0092  accepted=22  auc=0.5369  uauc=0.5505  loss=0.6870  (3.6s)
Round   23/30  coverage=0.5002  prec@K=0.0104  accepted=25  auc=0.5094  uauc=0.5347  loss=0.6872  (3.2s)
Round   24/30  coverage=0.5002  prec@K=0.0107  accepted=26  auc=0.4342  uauc=0.4404  loss=0.6872  (3.3s)
Round   25/30  coverage=0.5002  prec@K=0.0083  accepted=20  auc=0.5111  uauc=0.5833  loss=0.6873  (2.9s)
Round   26/30  coverage=0.5002  prec@K=0.0096  accepted=23  auc=0.4580  uauc=0.6379  loss=0.6853  (3.5s)
Round   27/30  coverage=0.5002  prec@K=0.0092  accepted=22  auc=0.4648  uauc=0.4854  loss=0.6858  (3.2s)
Round   28/30  coverage=0.5002  prec@K=0.0105  accepted=25  auc=0.4526  uauc=0.4016  loss=0.6853  (3.3s)
Round   29/30  coverage=0.5002  prec@K=0.0083  accepted=20  auc=0.6695  uauc=0.4722  loss=0.6854  (3.0s)
Round   30/30  coverage=0.5002  prec@K=0.0092  accepted=22  auc=0.5222  uauc=0.5913  loss=0.6843  (3.3s)

结果已写入 results\orchestrator\runs\ir50_constlr5e5_ppos95_pneg01\sx_mathoverflow\graphsage_emb_s3/rounds.csv
