[orchestrator] sweep=ir50_constlr5e5_ppos95_pneg01  cells=840  resume=True  dry_run=False  workers=8
[orchestrator] ledger: {'pending': 840}
  [parallel] 840 cells  workers=8
  [completed] email_eu_cn_s1  (1/840, 9.4s)
  [completed] email_eu_cn_s2  (2/840, 9.4s)
  [completed] email_eu_cn_s0  (3/840, 9.4s)
  [completed] email_eu_aa_s3  (4/840, 11.8s)
  [completed] email_eu_aa_s42  (5/840, 11.8s)
  [completed] email_eu_aa_s1  (6/840, 11.8s)
  [completed] email_eu_aa_s2  (7/840, 11.8s)
  [completed] email_eu_aa_s0  (8/840, 11.9s)
  [completed] email_eu_cn_s3  (9/840, 9.2s)
  [completed] email_eu_cn_s42  (10/840, 9.4s)
  [completed] email_eu_gnn_s0  (11/840, 86.5s)
  [completed] email_eu_gat_emb_s0  (12/840, 89.2s)
  [completed] email_eu_gat_emb_s1  (13/840, 89.3s)
  [completed] email_eu_gat_emb_s42  (14/840, 89.7s)
  [completed] email_eu_gat_emb_s2  (15/840, 90.0s)
  [completed] email_eu_gat_emb_s3  (16/840, 90.9s)
  [completed] email_eu_gnn_s1  (17/840, 84.2s)
  [completed] email_eu_gnn_s2  (18/840, 87.8s)
  [completed] email_eu_gnn_s3  (19/840, 87.1s)
  [completed] email_eu_gnn_s42  (20/840, 87.3s)
  [completed] email_eu_gnn_concat_s0  (21/840, 87.1s)
  [completed] email_eu_gnn_concat_s1  (22/840, 86.6s)
  [completed] email_eu_gnn_concat_s2  (23/840, 88.1s)
  [completed] email_eu_gnn_concat_s42  (24/840, 88.2s)
  [completed] email_eu_gnn_concat_s3  (25/840, 90.1s)
  [completed] email_eu_gnn_concat_h8_s0  (26/840, 87.2s)
  [completed] email_eu_gnn_concat_h8_s1  (27/840, 85.6s)
  [completed] email_eu_gnn_concat_h8_s2  (28/840, 90.0s)
  [completed] email_eu_gnn_concat_h8_s3  (29/840, 87.8s)
  [completed] email_eu_gnn_h32_s2  (30/840, 84.3s)
  [completed] email_eu_gnn_h32_s0  (31/840, 88.0s)
  [completed] email_eu_gnn_h32_s1  (32/840, 87.9s)
  [completed] email_eu_gnn_concat_h8_s42  (33/840, 90.9s)
  [completed] email_eu_gnn_h32_s3  (34/840, 86.8s)
  [completed] email_eu_gnn_h32_s42  (35/840, 87.6s)
  [completed] email_eu_gnn_sum_s1  (36/840, 86.1s)
  [completed] email_eu_gnn_sum_s0  (37/840, 88.1s)
  [completed] email_eu_gnn_sum_s2  (38/840, 89.0s)
  [completed] email_eu_gnn_sum_h8_s0  (39/840, 87.4s)
  [completed] email_eu_gnn_sum_h8_s1  (40/840, 86.5s)
  [completed] email_eu_gnn_sum_s42  (41/840, 88.2s)
  [completed] email_eu_gnn_sum_s3  (42/840, 89.6s)
  [completed] email_eu_gnn_sum_h8_s2  (43/840, 85.7s)
  [completed] email_eu_gnn_sum_h8_s3  (44/840, 88.1s)
  [completed] email_eu_graphsage_emb_s0  (45/840, 86.1s)
  [completed] email_eu_graphsage_emb_s2  (46/840, 85.3s)
  [completed] email_eu_graphsage_emb_s1  (47/840, 86.5s)
  [completed] email_eu_jaccard_s0  (48/840, 9.1s)
  [completed] email_eu_gnn_sum_h8_s42  (49/840, 89.9s)
  [completed] email_eu_graphsage_emb_s42  (50/840, 87.4s)
  [completed] email_eu_graphsage_emb_s3  (51/840, 88.1s)
  [completed] email_eu_jaccard_s1  (52/840, 8.9s)
  [completed] email_eu_jaccard_s2  (53/840, 8.9s)
  [completed] email_eu_jaccard_s3  (54/840, 8.9s)
  [completed] email_eu_pa_s0  (55/840, 7.9s)
  [completed] email_eu_jaccard_s42  (56/840, 8.8s)
  [completed] email_eu_pa_s1  (57/840, 7.8s)
  [completed] email_eu_pa_s2  (58/840, 7.8s)
  [completed] email_eu_pa_s3  (59/840, 7.8s)
  [completed] email_eu_pa_s42  (60/840, 7.7s)
  [completed] email_eu_random_s0  (61/840, 6.5s)
  [completed] email_eu_random_s1  (62/840, 6.5s)
  [completed] email_eu_random_s2  (63/840, 6.5s)
  [completed] email_eu_random_s3  (64/840, 6.5s)
  [completed] email_eu_random_s42  (65/840, 6.6s)
  [completed] dnc_email_aa_s0  (66/840, 8.1s)
  [completed] dnc_email_aa_s2  (67/840, 8.1s)
  [completed] dnc_email_aa_s1  (68/840, 8.2s)
  [completed] dnc_email_cn_s0  (69/840, 7.2s)
  [completed] dnc_email_aa_s3  (70/840, 8.1s)
  [completed] dnc_email_aa_s42  (71/840, 8.2s)
  [completed] dnc_email_cn_s1  (72/840, 7.4s)
  [completed] dnc_email_cn_s2  (73/840, 7.2s)
  [completed] dnc_email_cn_s3  (74/840, 7.2s)
  [completed] dnc_email_cn_s42  (75/840, 7.1s)
  [completed] dnc_email_gat_emb_s1  (76/840, 53.6s)
  [completed] dnc_email_gat_emb_s0  (77/840, 54.2s)
  [completed] email_eu_seal_s1  (78/840, 84.4s)
  [completed] email_eu_seal_s0  (79/840, 87.3s)
  [completed] dnc_email_gat_emb_s2  (80/840, 51.9s)
  [completed] email_eu_seal_s2  (81/840, 86.5s)
  [completed] email_eu_seal_s42  (82/840, 88.8s)
  [completed] email_eu_seal_s3  (83/840, 90.6s)
  [completed] dnc_email_gnn_s0  (84/840, 49.8s)
  [completed] dnc_email_gat_emb_s3  (85/840, 52.7s)
  [completed] dnc_email_gat_emb_s42  (86/840, 53.4s)
  [completed] dnc_email_gnn_s1  (87/840, 49.4s)
  [completed] dnc_email_gnn_s2  (88/840, 50.2s)
  [completed] dnc_email_gnn_s3  (89/840, 50.6s)
  [completed] dnc_email_gnn_s42  (90/840, 50.0s)
  [completed] dnc_email_gnn_concat_s0  (91/840, 52.3s)
  [completed] dnc_email_gnn_concat_s1  (92/840, 52.9s)
  [completed] dnc_email_gnn_concat_s2  (93/840, 52.7s)
  [completed] dnc_email_gnn_concat_s42  (94/840, 52.8s)
  [completed] dnc_email_gnn_concat_s3  (95/840, 53.2s)
  [completed] dnc_email_gnn_concat_h8_s0  (96/840, 53.8s)
  [completed] dnc_email_gnn_concat_h8_s1  (97/840, 52.5s)
  [completed] dnc_email_gnn_concat_h8_s2  (98/840, 53.9s)
  [completed] dnc_email_gnn_concat_h8_s3  (99/840, 53.1s)
  [completed] dnc_email_gnn_h32_s2  (100/840, 48.9s)
  [completed] dnc_email_gnn_h32_s0  (101/840, 51.0s)
  [completed] dnc_email_gnn_concat_h8_s42  (102/840, 52.5s)
  [completed] dnc_email_gnn_h32_s1  (103/840, 51.7s)
  [completed] dnc_email_gnn_h32_s3  (104/840, 50.4s)
  [completed] dnc_email_gnn_h32_s42  (105/840, 49.8s)
  [completed] dnc_email_gnn_sum_s0  (106/840, 53.4s)
  [completed] dnc_email_gnn_sum_s1  (107/840, 52.5s)
  [completed] dnc_email_gnn_sum_s2  (108/840, 52.0s)
  [completed] dnc_email_gnn_sum_s3  (109/840, 52.0s)
  [completed] dnc_email_gnn_sum_s42  (110/840, 52.1s)
  [completed] dnc_email_gnn_sum_h8_s1  (111/840, 51.9s)
  [completed] dnc_email_gnn_sum_h8_s2  (112/840, 50.5s)
  [completed] dnc_email_gnn_sum_h8_s0  (113/840, 53.0s)
  [completed] dnc_email_jaccard_s0  (114/840, 7.4s)
  [completed] dnc_email_gnn_sum_h8_s3  (115/840, 51.6s)
  [completed] dnc_email_gnn_sum_h8_s42  (116/840, 52.8s)
  [completed] dnc_email_jaccard_s1  (117/840, 7.3s)
  [completed] dnc_email_jaccard_s2  (118/840, 7.3s)
  [completed] dnc_email_jaccard_s3  (119/840, 7.2s)
  [completed] dnc_email_jaccard_s42  (120/840, 7.3s)
  [completed] dnc_email_pa_s0  (121/840, 7.0s)
  [completed] dnc_email_pa_s1  (122/840, 7.1s)
  [completed] dnc_email_pa_s2  (123/840, 7.1s)
  [completed] dnc_email_pa_s3  (124/840, 7.2s)
  [completed] dnc_email_pa_s42  (125/840, 7.3s)
  [completed] dnc_email_random_s0  (126/840, 6.3s)
  [completed] dnc_email_random_s1  (127/840, 6.4s)
  [completed] dnc_email_random_s2  (128/840, 6.4s)
  [completed] dnc_email_random_s3  (129/840, 6.4s)
  [completed] dnc_email_random_s42  (130/840, 6.4s)
  [completed] dnc_email_graphsage_emb_s2  (131/840, 50.0s)
  [completed] dnc_email_graphsage_emb_s0  (132/840, 51.6s)
  [completed] dnc_email_graphsage_emb_s1  (133/840, 51.8s)
  [completed] dnc_email_graphsage_emb_s42  (134/840, 50.8s)
  [completed] dnc_email_graphsage_emb_s3  (135/840, 50.9s)
  [completed] college_msg_aa_s0  (136/840, 9.0s)
  [completed] college_msg_aa_s1  (137/840, 9.1s)
  [completed] college_msg_aa_s2  (138/840, 9.1s)
  [completed] college_msg_aa_s3  (139/840, 9.0s)
  [completed] college_msg_cn_s0  (140/840, 7.8s)
  [completed] college_msg_aa_s42  (141/840, 9.1s)
  [completed] college_msg_cn_s1  (142/840, 7.9s)
  [completed] college_msg_cn_s2  (143/840, 7.8s)
  [completed] college_msg_cn_s3  (144/840, 7.8s)
  [completed] college_msg_cn_s42  (145/840, 7.7s)
  [completed] dnc_email_seal_s0  (146/840, 50.8s)
  [completed] dnc_email_seal_s2  (147/840, 49.0s)
  [completed] dnc_email_seal_s1  (148/840, 50.2s)
  [completed] dnc_email_seal_s3  (149/840, 50.0s)
  [completed] dnc_email_seal_s42  (150/840, 49.8s)
  [completed] college_msg_gat_emb_s0  (151/840, 97.1s)
  [completed] college_msg_gat_emb_s1  (152/840, 98.8s)
  [completed] college_msg_gat_emb_s2  (153/840, 95.5s)
  [completed] college_msg_gnn_s0  (154/840, 94.6s)
  [completed] college_msg_gat_emb_s42  (155/840, 95.7s)
  [completed] college_msg_gat_emb_s3  (156/840, 97.1s)
  [completed] college_msg_gnn_s2  (157/840, 92.6s)
  [completed] college_msg_gnn_s1  (158/840, 95.3s)
  [completed] college_msg_gnn_s3  (159/840, 95.1s)
  [completed] college_msg_gnn_s42  (160/840, 92.8s)
  [completed] college_msg_gnn_concat_s0  (161/840, 97.0s)
  [completed] college_msg_gnn_concat_s2  (162/840, 94.6s)
  [completed] college_msg_gnn_concat_s1  (163/840, 96.8s)
  [completed] college_msg_gnn_concat_s3  (164/840, 96.9s)
  [completed] college_msg_gnn_concat_s42  (165/840, 95.4s)
  [completed] college_msg_gnn_concat_h8_s0  (166/840, 96.5s)
  [completed] college_msg_gnn_concat_h8_s2  (167/840, 95.2s)
  [completed] college_msg_gnn_concat_h8_s1  (168/840, 96.8s)
  [completed] college_msg_gnn_concat_h8_s3  (169/840, 95.4s)
  [completed] college_msg_gnn_h32_s2  (170/840, 91.5s)
  [completed] college_msg_gnn_concat_h8_s42  (171/840, 95.8s)
  [completed] college_msg_gnn_h32_s0  (172/840, 95.6s)
  [completed] college_msg_gnn_h32_s1  (173/840, 95.4s)
  [completed] college_msg_gnn_h32_s3  (174/840, 93.0s)
  [completed] college_msg_gnn_h32_s42  (175/840, 92.6s)
  [completed] college_msg_gnn_sum_s0  (176/840, 97.2s)
  [completed] college_msg_gnn_sum_s1  (177/840, 97.6s)
  [completed] college_msg_gnn_sum_s2  (178/840, 94.9s)
  [completed] college_msg_gnn_sum_s3  (179/840, 95.8s)
  [completed] college_msg_gnn_sum_s42  (180/840, 95.9s)
  [completed] college_msg_gnn_sum_h8_s0  (181/840, 97.0s)
  [completed] college_msg_gnn_sum_h8_s1  (182/840, 98.2s)
  [completed] college_msg_gnn_sum_h8_s2  (183/840, 93.5s)
  [completed] college_msg_jaccard_s0  (184/840, 7.9s)
  [completed] college_msg_gnn_sum_h8_s3  (185/840, 96.4s)
  [completed] college_msg_gnn_sum_h8_s42  (186/840, 95.7s)
  [completed] college_msg_jaccard_s1  (187/840, 7.9s)
  [completed] college_msg_jaccard_s2  (188/840, 7.9s)
  [completed] college_msg_graphsage_emb_s0  (189/840, 94.6s)
  [completed] college_msg_graphsage_emb_s2  (190/840, 92.5s)
  [completed] college_msg_graphsage_emb_s1  (191/840, 96.0s)
  [completed] college_msg_graphsage_emb_s3  (192/840, 94.3s)
  [completed] college_msg_jaccard_s3  (193/840, 7.9s)
  [completed] college_msg_jaccard_s42  (194/840, 8.1s)
  [completed] college_msg_pa_s0  (195/840, 7.7s)
  [completed] college_msg_graphsage_emb_s42  (196/840, 94.0s)
  [completed] college_msg_pa_s1  (197/840, 7.7s)
  [completed] college_msg_pa_s2  (198/840, 7.7s)
  [completed] college_msg_pa_s3  (199/840, 7.7s)
  [completed] college_msg_random_s0  (200/840, 6.2s)
  [completed] college_msg_pa_s42  (201/840, 7.8s)
  [completed] college_msg_random_s1  (202/840, 6.2s)
  [completed] college_msg_random_s2  (203/840, 6.3s)
  [completed] college_msg_random_s3  (204/840, 6.5s)
  [completed] college_msg_random_s42  (205/840, 6.5s)
  [completed] bitcoin_alpha_aa_s0  (206/840, 13.8s)
  [completed] bitcoin_alpha_aa_s1  (207/840, 14.0s)
  [completed] bitcoin_alpha_aa_s2  (208/840, 14.0s)
  [completed] bitcoin_alpha_cn_s0  (209/840, 11.4s)
  [completed] bitcoin_alpha_aa_s3  (210/840, 13.7s)
  [completed] bitcoin_alpha_aa_s42  (211/840, 13.9s)
  [completed] bitcoin_alpha_cn_s1  (212/840, 11.2s)
  [completed] bitcoin_alpha_cn_s2  (213/840, 11.2s)
  [completed] bitcoin_alpha_cn_s3  (214/840, 11.2s)
  [completed] bitcoin_alpha_cn_s42  (215/840, 11.2s)
  [completed] college_msg_seal_s2  (216/840, 92.6s)
  [completed] college_msg_seal_s0  (217/840, 96.6s)
  [completed] college_msg_seal_s1  (218/840, 95.1s)
  [completed] college_msg_seal_s42  (219/840, 93.8s)
  [completed] college_msg_seal_s3  (220/840, 94.1s)
  [completed] bitcoin_alpha_gat_emb_s0  (221/840, 135.1s)
  [completed] bitcoin_alpha_gat_emb_s1  (222/840, 134.9s)
  [completed] bitcoin_alpha_gat_emb_s2  (223/840, 137.7s)
  [completed] bitcoin_alpha_gnn_s0  (224/840, 128.0s)
  [completed] bitcoin_alpha_gnn_s1  (225/840, 129.7s)
  [completed] bitcoin_alpha_gnn_s2  (226/840, 132.5s)
  [completed] bitcoin_alpha_gat_emb_s3  (227/840, 135.6s)
  [completed] bitcoin_alpha_gat_emb_s42  (228/840, 135.5s)
  [completed] bitcoin_alpha_gnn_s3  (229/840, 131.1s)
  [completed] bitcoin_alpha_gnn_s42  (230/840, 132.6s)
  [completed] bitcoin_alpha_gnn_concat_s0  (231/840, 133.3s)
  [completed] bitcoin_alpha_gnn_concat_s1  (232/840, 133.4s)
  [completed] bitcoin_alpha_gnn_concat_s3  (233/840, 132.8s)
  [completed] bitcoin_alpha_gnn_concat_h8_s0  (234/840, 131.4s)
  [completed] bitcoin_alpha_gnn_concat_s42  (235/840, 133.7s)
  [completed] bitcoin_alpha_gnn_concat_s2  (236/840, 138.0s)
  [completed] bitcoin_alpha_gnn_concat_h8_s1  (237/840, 128.5s)
  [completed] bitcoin_alpha_gnn_concat_h8_s2  (238/840, 132.7s)
  [completed] bitcoin_alpha_gnn_concat_h8_s3  (239/840, 127.1s)
  [completed] bitcoin_alpha_gnn_h32_s0  (240/840, 124.8s)
  [completed] bitcoin_alpha_gnn_concat_h8_s42  (241/840, 129.7s)
  [completed] bitcoin_alpha_gnn_h32_s2  (242/840, 125.0s)
  [completed] bitcoin_alpha_gnn_h32_s3  (243/840, 124.4s)
  [completed] bitcoin_alpha_gnn_h32_s1  (244/840, 126.9s)
  [completed] bitcoin_alpha_gnn_h32_s42  (245/840, 123.6s)
  [completed] bitcoin_alpha_gnn_sum_s0  (246/840, 126.6s)
  [completed] bitcoin_alpha_gnn_sum_s1  (247/840, 128.5s)
  [completed] bitcoin_alpha_gnn_sum_s3  (248/840, 128.6s)
  [completed] bitcoin_alpha_gnn_sum_h8_s0  (249/840, 127.2s)
  [completed] bitcoin_alpha_gnn_sum_h8_s1  (250/840, 129.0s)
  [completed] bitcoin_alpha_gnn_sum_s2  (251/840, 132.3s)
  [completed] bitcoin_alpha_gnn_sum_s42  (252/840, 132.1s)
