=== dnc_email_graphsage_emb_s42  started 2026-05-09T21:36:33 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.6011  prec@K=0.0033  accepted=6  auc=0.4104  uauc=0.4549  loss=0.7452  (2.1s)
Round    2/30  coverage=0.6020  prec@K=0.0028  accepted=5  auc=0.3640  uauc=0.4757  loss=0.7445  (1.5s)
Round    3/30  coverage=0.6025  prec@K=0.0017  accepted=3  auc=0.4053  uauc=0.4444  loss=0.7446  (1.4s)
Round    4/30  coverage=0.6040  prec@K=0.0044  accepted=8  auc=0.3877  uauc=0.5972  loss=0.7434  (1.6s)
Round    5/30  coverage=0.6047  prec@K=0.0022  accepted=4  auc=0.4708  uauc=0.9167  loss=0.7435  (1.3s)
Round    6/30  coverage=0.6056  prec@K=0.0028  accepted=5  auc=0.1269  uauc=0.8750  loss=0.7426  (1.6s)
Round    7/30  coverage=0.6065  prec@K=0.0028  accepted=5  auc=0.4621  uauc=0.5602  loss=0.7431  (1.5s)
Round    8/30  coverage=0.6079  prec@K=0.0044  accepted=8  auc=0.3508  uauc=0.7604  loss=0.7422  (1.6s)
Round    9/30  coverage=0.6085  prec@K=0.0017  accepted=3  auc=0.4776  uauc=0.4074  loss=0.7414  (1.5s)
Round   10/30  coverage=0.6087  prec@K=0.0006  accepted=1  auc=0.8895  uauc=0.8889  loss=0.7415  (1.5s)
Round   11/30  coverage=0.6092  prec@K=0.0017  accepted=3  auc=0.3184  uauc=0.6296  loss=0.7406  (1.5s)
Round   12/30  coverage=0.6107  prec@K=0.0044  accepted=8  auc=0.1466  uauc=0.8500  loss=0.7398  (1.5s)
Round   13/30  coverage=0.6108  prec@K=0.0005  accepted=1  auc=0.2490  uauc=0.0000  loss=0.7400  (1.5s)
Round   14/30  coverage=0.6112  prec@K=0.0011  accepted=2  auc=0.2533  uauc=0.6111  loss=0.7394  (1.5s)
Round   15/30  coverage=0.6114  prec@K=0.0006  accepted=1  auc=0.0044  uauc=0.8889  loss=0.7391  (1.6s)
Round   16/30  coverage=0.6117  prec@K=0.0011  accepted=2  auc=0.3673  uauc=0.5000  loss=0.7387  (1.6s)
Round   17/30  coverage=0.6121  prec@K=0.0011  accepted=2  auc=0.0602  uauc=0.6111  loss=0.7379  (1.6s)
Round   18/30  coverage=0.6127  prec@K=0.0017  accepted=3  auc=0.2322  uauc=0.8194  loss=0.7375  (1.5s)
Round   19/30  coverage=0.6128  prec@K=0.0006  accepted=1  auc=0.4053  uauc=0.0000  loss=0.7373  (1.4s)
Round   20/30  coverage=0.6134  prec@K=0.0017  accepted=3  auc=0.0555  uauc=0.9048  loss=0.7362  (1.6s)
Round   21/30  coverage=0.6139  prec@K=0.0016  accepted=3  auc=0.3047  uauc=0.5926  loss=0.7362  (1.5s)
Round   22/30  coverage=0.6145  prec@K=0.0017  accepted=3  auc=0.1390  uauc=0.4965  loss=0.7357  (1.5s)
Round   23/30  coverage=0.6150  prec@K=0.0017  accepted=3  auc=0.1560  uauc=0.0741  loss=0.7360  (1.5s)
Round   24/30  coverage=0.6152  prec@K=0.0005  accepted=1  auc=0.1748  uauc=0.0000  loss=0.7348  (1.6s)
Round   25/30  coverage=0.6159  prec@K=0.0022  accepted=4  auc=0.4059  uauc=0.5185  loss=0.7344  (1.4s)
Round   26/30  coverage=0.6165  prec@K=0.0016  accepted=3  auc=0.2055  uauc=0.7037  loss=0.7336  (1.4s)
Round   27/30  coverage=0.6168  prec@K=0.0011  accepted=2  auc=0.0329  uauc=0.6111  loss=0.7340  (1.5s)
Round   28/30  coverage=0.6168  prec@K=0.0000  accepted=0  loss=0.7330  (1.6s)
Round   29/30  coverage=0.6175  prec@K=0.0022  accepted=4  auc=0.1622  uauc=0.4676  loss=0.7328  (1.4s)
Round   30/30  coverage=0.6179  prec@K=0.0011  accepted=2  auc=0.1969  uauc=0.4444  loss=0.7325  (1.6s)

结果已写入 results\orchestrator\runs\ir60_constlr5e5_multiseed_bidir\dnc_email\graphsage_emb_s42/rounds.csv
