=== email_eu_graphsage_emb_s1  started 2026-05-09T21:30:03 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.6012  prec@K=0.0308  accepted=30  auc=0.4723  uauc=0.6254  loss=0.7626  (3.6s)
Round    2/30  coverage=0.6019  prec@K=0.0184  accepted=18  auc=0.4444  uauc=0.4225  loss=0.7652  (2.7s)
Round    3/30  coverage=0.6027  prec@K=0.0206  accepted=20  auc=0.3558  uauc=0.6590  loss=0.7630  (2.8s)
Round    4/30  coverage=0.6034  prec@K=0.0175  accepted=17  auc=0.5256  uauc=0.5716  loss=0.7632  (2.4s)
Round    5/30  coverage=0.6042  prec@K=0.0216  accepted=21  auc=0.4118  uauc=0.6127  loss=0.7616  (2.7s)
Round    6/30  coverage=0.6049  prec@K=0.0163  accepted=16  auc=0.5196  uauc=0.4696  loss=0.7618  (2.4s)
Round    7/30  coverage=0.6056  prec@K=0.0173  accepted=17  auc=0.5271  uauc=0.5662  loss=0.7610  (2.6s)
Round    8/30  coverage=0.6068  prec@K=0.0318  accepted=31  auc=0.4400  uauc=0.6186  loss=0.7577  (2.7s)
Round    9/30  coverage=0.6076  prec@K=0.0206  accepted=20  auc=0.4845  uauc=0.6293  loss=0.7595  (2.7s)
Round   10/30  coverage=0.6082  prec@K=0.0155  accepted=15  auc=0.5430  uauc=0.6197  loss=0.7588  (2.5s)
Round   11/30  coverage=0.6089  prec@K=0.0186  accepted=18  auc=0.3356  uauc=0.5877  loss=0.7598  (2.7s)
Round   12/30  coverage=0.6099  prec@K=0.0236  accepted=23  auc=0.4576  uauc=0.6080  loss=0.7566  (2.7s)
Round   13/30  coverage=0.6106  prec@K=0.0194  accepted=19  auc=0.5010  uauc=0.6907  loss=0.7571  (2.9s)
Round   14/30  coverage=0.6113  prec@K=0.0185  accepted=18  auc=0.5359  uauc=0.6549  loss=0.7555  (2.6s)
Round   15/30  coverage=0.6117  prec@K=0.0092  accepted=9  auc=0.6139  uauc=0.6033  loss=0.7560  (2.6s)
Round   16/30  coverage=0.6123  prec@K=0.0156  accepted=15  auc=0.4603  uauc=0.8350  loss=0.7552  (2.6s)
Round   17/30  coverage=0.6127  prec@K=0.0092  accepted=9  auc=0.5025  uauc=0.5665  loss=0.7562  (2.6s)
Round   18/30  coverage=0.6134  prec@K=0.0195  accepted=19  auc=0.4243  uauc=0.7178  loss=0.7537  (2.5s)
Round   19/30  coverage=0.6141  prec@K=0.0164  accepted=16  auc=0.5657  uauc=0.7227  loss=0.7524  (2.7s)
Round   20/30  coverage=0.6146  prec@K=0.0143  accepted=14  auc=0.5522  uauc=0.5436  loss=0.7524  (2.6s)
Round   21/30  coverage=0.6153  prec@K=0.0175  accepted=17  auc=0.4603  uauc=0.6245  loss=0.7516  (3.1s)
Round   22/30  coverage=0.6157  prec@K=0.0092  accepted=9  auc=0.5790  uauc=0.7901  loss=0.7526  (2.7s)
Round   23/30  coverage=0.6163  prec@K=0.0163  accepted=16  auc=0.5079  uauc=0.7803  loss=0.7497  (2.7s)
Round   24/30  coverage=0.6169  prec@K=0.0143  accepted=14  auc=0.4706  uauc=0.6956  loss=0.7500  (2.8s)
Round   25/30  coverage=0.6174  prec@K=0.0134  accepted=13  auc=0.5327  uauc=0.5660  loss=0.7490  (2.7s)
Round   26/30  coverage=0.6180  prec@K=0.0143  accepted=14  auc=0.5380  uauc=0.6746  loss=0.7491  (2.9s)
Round   27/30  coverage=0.6185  prec@K=0.0133  accepted=13  auc=0.4202  uauc=0.4792  loss=0.7484  (2.6s)
Round   28/30  coverage=0.6188  prec@K=0.0093  accepted=9  auc=0.5796  uauc=0.4691  loss=0.7477  (2.5s)
Round   29/30  coverage=0.6195  prec@K=0.0175  accepted=17  auc=0.5507  uauc=0.6995  loss=0.7472  (2.8s)
Round   30/30  coverage=0.6199  prec@K=0.0103  accepted=10  auc=0.5171  uauc=0.2994  loss=0.7458  (2.8s)

结果已写入 results\orchestrator\runs\ir60_constlr5e5_multiseed_bidir\email_eu\graphsage_emb_s1/rounds.csv
