=== slashdot_aa_s0  started 2026-05-10T00:13:33 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.6000  prec@K=0.0035  accepted=25  auc=0.9223  uauc=0.6418  loss=nan  (6.6s)
Round    2/30  coverage=0.6001  prec@K=0.0033  accepted=24  auc=0.8846  uauc=0.7636  loss=nan  (0.8s)
Round    3/30  coverage=0.6001  prec@K=0.0037  accepted=27  auc=0.9068  uauc=0.6604  loss=nan  (0.9s)
Round    4/30  coverage=0.6002  prec@K=0.0033  accepted=24  auc=0.9077  uauc=0.6942  loss=nan  (1.0s)
Round    5/30  coverage=0.6002  prec@K=0.0030  accepted=22  auc=0.8538  uauc=0.6440  loss=nan  (1.0s)
Round    6/30  coverage=0.6003  prec@K=0.0039  accepted=28  auc=0.9445  uauc=0.8196  loss=nan  (1.0s)
Round    7/30  coverage=0.6003  prec@K=0.0036  accepted=26  auc=0.8907  uauc=0.7352  loss=nan  (1.1s)
Round    8/30  coverage=0.6004  prec@K=0.0037  accepted=27  auc=0.9224  uauc=0.7101  loss=nan  (1.2s)
Round    9/30  coverage=0.6004  prec@K=0.0030  accepted=22  auc=0.9635  uauc=0.8416  loss=nan  (1.3s)
Round   10/30  coverage=0.6005  prec@K=0.0035  accepted=26  auc=0.9132  uauc=0.7606  loss=nan  (1.5s)
Round   11/30  coverage=0.6005  prec@K=0.0032  accepted=23  auc=0.8803  uauc=0.7269  loss=nan  (7.2s)
Round   12/30  coverage=0.6006  prec@K=0.0025  accepted=18  auc=0.9197  uauc=0.7680  loss=nan  (1.5s)
Round   13/30  coverage=0.6006  prec@K=0.0037  accepted=27  auc=0.9286  uauc=0.7822  loss=nan  (2.0s)
Round   14/30  coverage=0.6007  prec@K=0.0026  accepted=19  auc=0.8965  uauc=0.7130  loss=nan  (2.0s)
Round   15/30  coverage=0.6007  prec@K=0.0041  accepted=30  auc=0.8912  uauc=0.6590  loss=nan  (2.0s)
Round   16/30  coverage=0.6008  prec@K=0.0036  accepted=26  auc=0.9225  uauc=0.7961  loss=nan  (2.0s)
Round   17/30  coverage=0.6008  prec@K=0.0033  accepted=24  auc=0.9322  uauc=0.7029  loss=nan  (2.4s)
Round   18/30  coverage=0.6009  prec@K=0.0032  accepted=23  auc=0.8784  uauc=0.6703  loss=nan  (2.5s)
Round   19/30  coverage=0.6009  prec@K=0.0038  accepted=28  auc=0.8310  uauc=0.6963  loss=nan  (2.3s)
Round   20/30  coverage=0.6010  prec@K=0.0059  accepted=43  auc=0.9233  uauc=0.7271  loss=nan  (2.7s)
Round   21/30  coverage=0.6010  prec@K=0.0041  accepted=30  auc=0.9275  uauc=0.7160  loss=nan  (8.9s)
Round   22/30  coverage=0.6011  prec@K=0.0023  accepted=17  auc=0.9532  uauc=0.7778  loss=nan  (3.1s)
Round   23/30  coverage=0.6011  prec@K=0.0023  accepted=17  auc=0.8989  uauc=0.7454  loss=nan  (3.1s)
Round   24/30  coverage=0.6012  prec@K=0.0035  accepted=26  auc=0.8919  uauc=0.7273  loss=nan  (2.7s)
Round   25/30  coverage=0.6012  prec@K=0.0022  accepted=16  auc=0.9277  uauc=0.6698  loss=nan  (3.1s)
Round   26/30  coverage=0.6012  prec@K=0.0030  accepted=22  auc=0.8904  uauc=0.7292  loss=nan  (3.1s)
Round   27/30  coverage=0.6013  prec@K=0.0024  accepted=17  auc=0.8678  uauc=0.7292  loss=nan  (3.5s)
Round   28/30  coverage=0.6013  prec@K=0.0031  accepted=23  auc=0.9265  uauc=0.6487  loss=nan  (3.8s)
Round   29/30  coverage=0.6014  prec@K=0.0032  accepted=23  auc=0.8772  uauc=0.6478  loss=nan  (3.6s)
Round   30/30  coverage=0.6014  prec@K=0.0038  accepted=28  auc=0.8789  uauc=0.7213  loss=nan  (3.3s)

结果已写入 results\orchestrator\runs\ir60_constlr5e5_multiseed_bidir\slashdot\aa_s0/rounds.csv
