=== slashdot_gnn_sum_s2  started 2026-05-10T00:35:22 ===

C:\conda\envs\gnn\lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
C:\conda\envs\gnn\lib\site-packages\outdated\__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
Round    1/30  coverage=0.6000  prec@K=0.0019  accepted=14  auc=0.5878  uauc=0.8552  loss=0.6794  (15.0s)
Round    2/30  coverage=0.6001  prec@K=0.0028  accepted=20  auc=0.5168  uauc=0.7519  loss=0.6777  (9.1s)
Round    3/30  coverage=0.6001  prec@K=0.0025  accepted=18  auc=0.3458  uauc=0.7701  loss=0.6759  (8.6s)
Round    4/30  coverage=0.6001  prec@K=0.0027  accepted=20  auc=0.7113  uauc=0.7158  loss=0.6749  (8.5s)
Round    5/30  coverage=0.6002  prec@K=0.0023  accepted=17  auc=0.5058  uauc=0.5759  loss=0.6715  (8.5s)
Round    6/30  coverage=0.6002  prec@K=0.0029  accepted=21  auc=0.3632  uauc=0.7868  loss=0.6698  (8.8s)
Round    7/30  coverage=0.6003  prec@K=0.0028  accepted=20  auc=0.3441  uauc=0.6997  loss=0.6683  (8.7s)
Round    8/30  coverage=0.6003  prec@K=0.0025  accepted=18  auc=0.2330  uauc=0.7532  loss=0.6666  (9.1s)
Round    9/30  coverage=0.6003  prec@K=0.0032  accepted=23  auc=0.4777  uauc=0.6509  loss=0.6655  (8.9s)
Round   10/30  coverage=0.6004  prec@K=0.0016  accepted=12  auc=0.3830  uauc=0.7315  loss=0.6635  (8.8s)
Round   11/30  coverage=0.6004  prec@K=0.0017  accepted=12  auc=0.4531  uauc=0.7442  loss=0.6614  (14.8s)
Round   12/30  coverage=0.6004  prec@K=0.0014  accepted=10  auc=0.3996  uauc=0.8014  loss=0.6600  (9.4s)
Round   13/30  coverage=0.6005  prec@K=0.0039  accepted=29  auc=0.3859  uauc=0.8133  loss=0.6582  (10.4s)
Round   14/30  coverage=0.6005  prec@K=0.0025  accepted=18  auc=0.3112  uauc=0.8698  loss=0.6559  (9.7s)
Round   15/30  coverage=0.6005  prec@K=0.0022  accepted=16  auc=0.3406  uauc=0.7818  loss=0.6550  (10.0s)
Round   16/30  coverage=0.6006  prec@K=0.0026  accepted=19  auc=0.3532  uauc=0.8257  loss=0.6523  (10.1s)
Round   17/30  coverage=0.6006  prec@K=0.0016  accepted=12  auc=0.3050  uauc=0.6757  loss=0.6510  (10.1s)
Round   18/30  coverage=0.6006  prec@K=0.0018  accepted=13  auc=0.3247  uauc=0.7692  loss=0.6496  (9.9s)
Round   19/30  coverage=0.6006  prec@K=0.0010  accepted=7  auc=0.2570  uauc=0.8667  loss=0.6467  (10.5s)
Round   20/30  coverage=0.6006  prec@K=0.0018  accepted=13  auc=0.3531  uauc=0.5352  loss=0.6457  (10.4s)
Round   21/30  coverage=0.6007  prec@K=0.0020  accepted=15  auc=0.4618  uauc=0.5944  loss=0.6439  (16.4s)
Round   22/30  coverage=0.6007  prec@K=0.0028  accepted=20  auc=0.3193  uauc=0.7704  loss=0.6424  (10.2s)
Round   23/30  coverage=0.6007  prec@K=0.0018  accepted=13  auc=0.3106  uauc=0.7944  loss=0.6403  (10.9s)
Round   24/30  coverage=0.6008  prec@K=0.0024  accepted=17  auc=0.2544  uauc=0.6929  loss=0.6385  (10.6s)
Round   25/30  coverage=0.6008  prec@K=0.0022  accepted=16  auc=0.3146  uauc=0.6529  loss=0.6377  (11.6s)
Round   26/30  coverage=0.6008  prec@K=0.0015  accepted=11  auc=0.2805  uauc=0.7816  loss=0.6357  (11.2s)
Round   27/30  coverage=0.6009  prec@K=0.0022  accepted=16  auc=0.1919  uauc=0.7440  loss=0.6337  (11.7s)
Round   28/30  coverage=0.6009  prec@K=0.0022  accepted=16  auc=0.2338  uauc=0.5424  loss=0.6320  (11.9s)
Round   29/30  coverage=0.6009  prec@K=0.0015  accepted=11  auc=0.1713  uauc=0.6314  loss=0.6303  (11.5s)
Round   30/30  coverage=0.6009  prec@K=0.0015  accepted=11  auc=0.3027  uauc=0.8241  loss=0.6268  (12.6s)

结果已写入 results\orchestrator\runs\ir60_constlr5e5_multiseed_bidir\slashdot\gnn_sum_s2/rounds.csv
