round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30283229023018987,0.5591717868945051,0.5990034271284272,0.02725238966849705,134.0,4917.0,515.0,0.0,0.26666666666666666,0.26666666666666666,0.39629629629629637,0.5777777777777777,0.4390740740740741,0.7666666666666667,0.47084215167548504,1.0,0.04660194174757282,0.17326732673267325,350.0,1.9275362318840579,0.1515288870835192,0.012177062699602191,0.0
1,0.3051872281743927,0.45009458716141887,0.49841269841269836,0.02238354506957048,111.0,4959.0,515.0,0.0,0.18292682926829268,0.18292682926829268,0.27032520325203246,0.3902439024390244,0.3111788617886178,0.573170731707317,0.3688734030197445,1.0,0.02912621359223301,0.17327975891511804,345.0,,,,0.0
2,0.30739365651851064,0.42639392839864537,0.5245090702947846,0.021337710299548625,104.0,4874.0,515.0,0.0,0.22535211267605634,0.22535211267605634,0.3568075117370892,0.5352112676056338,0.3884976525821596,0.676056338028169,0.4316957299351666,1.0,0.031067961165048542,0.17806841046277666,354.0,,,,0.0
3,0.30947279091969876,0.4709656618454036,0.5979166666666667,0.020094320278859955,98.0,4877.0,515.0,0.0,0.3076923076923077,0.3076923076923077,0.4333333333333333,0.6153846153846154,0.4871794871794872,0.8461538461538461,0.5055311355311355,1.0,0.038834951456310676,0.17352056168505517,346.0,,,,0.0
4,0.3112973374350271,0.4283049757071803,0.5147684198057333,0.01744421906693712,86.0,4930.0,515.0,0.0,0.13432835820895522,0.13432835820895522,0.26368159203980096,0.43283582089552236,0.3017412935323383,0.5970149253731343,0.35472044539208714,1.0,0.017475728155339806,0.16784274193548387,333.0,,,,0.0
5,0.3127824334358757,0.49914513677811556,0.49534493284493286,0.014118596208148447,70.0,4958.0,515.0,0.0,0.15384615384615385,0.15384615384615385,0.25,0.36538461538461536,0.3076923076923077,0.6153846153846154,0.35642551892551894,1.0,0.015533980582524271,0.18031140130587645,359.0,,,,0.0
6,0.314543332979739,0.3671353446573178,0.5800753393144696,0.016723755792867216,83.0,4963.0,515.0,0.0,0.15942028985507245,0.15942028985507245,0.28743961352657005,0.4492753623188406,0.34613526570048314,0.7101449275362319,0.3869047619047619,1.0,0.021359223300970873,0.18355065195586762,366.0,,,,0.0
7,0.3163254481807574,0.44664023351743015,0.5471304193319118,0.017069701280227598,84.0,4921.0,515.0,0.0,0.10294117647058823,0.10294117647058823,0.21323529411764705,0.36764705882352944,0.2852941176470588,0.6911764705882353,0.32613211951447246,1.0,0.013592233009708738,0.17402206619859578,347.0,,,,0.0
8,0.31766203458152115,0.32941249566713104,0.5526025835866263,0.012812690665039659,63.0,4917.0,515.0,0.0,0.16326530612244897,0.16326530612244897,0.30612244897959184,0.4897959183673469,0.35612244897959183,0.7142857142857143,0.3921363783608681,1.0,0.015533980582524271,0.17626953125,361.0,,,,0.0
9,0.31872281743927017,0.4186943132826935,0.46585012210012205,0.01016053647632595,50.0,4921.0,515.0,0.0,0.175,0.175,0.2833333333333333,0.425,0.29958333333333337,0.5,0.35961309523809526,1.0,0.013592233009708738,0.1792452830188679,361.0,,,,0.0
10,0.320016972525724,0.3204461556781646,0.43559368191721143,0.012158660554116005,61.0,5017.0,515.0,0.0,0.09803921568627451,0.09803921568627451,0.16666666666666666,0.2549019607843137,0.22352941176470587,0.5098039215686274,0.2839246809835045,1.0,0.009708737864077669,0.17145640526059425,352.0,1.9935483870967743,0.13233933836607822,0.013738187936165887,0.0
11,0.3212899119550228,0.3639230769230769,0.6145089285714286,0.0121580547112462,60.0,4935.0,515.0,0.0,0.3170731707317073,0.3170731707317073,0.43902439024390244,0.5853658536585366,0.47682926829268296,0.7560975609756098,0.5112369337979094,1.0,0.02524271844660194,0.1677169171110034,346.0,,,,0.0
12,0.32258406704147663,0.3292647564585848,0.5011925869638636,0.012390818606540727,61.0,4923.0,515.0,0.0,0.1702127659574468,0.1702127659574468,0.29787234042553196,0.46808510638297873,0.3234042553191489,0.574468085106383,0.37646909827760894,1.0,0.015533980582524271,0.17862444334487879,361.0,,,,0.0
13,0.32396308475655033,0.278771628207757,0.5303234501347708,0.013152569809793607,65.0,4942.0,515.0,0.0,0.18518518518518517,0.18518518518518517,0.2777777777777778,0.4074074074074074,0.31666666666666665,0.5740740740740741,0.3713403880070547,1.0,0.019417475728155338,0.1747865394274234,348.0,,,,0.0
14,0.3252996711573141,0.31515043828476663,0.5749202458761282,0.01289134438305709,63.0,4887.0,515.0,0.0,0.23076923076923078,0.23076923076923078,0.3205128205128205,0.4423076923076923,0.36762820512820515,0.6538461538461539,0.41424755799755797,1.0,0.02330097087378641,0.17189030362389815,351.0,,,,0.0
15,0.32631802270075316,0.2998474059003052,0.5523384353741496,0.009671569615152125,48.0,4963.0,515.0,0.0,0.13513513513513514,0.13513513513513514,0.23873873873873874,0.3783783783783784,0.2954954954954955,0.6216216216216216,0.3462998712998713,1.0,0.009708737864077669,0.17826740110165248,356.0,,,,0.0
16,0.3271454333297974,0.2556815224293909,0.5231253420908594,0.00785498489425982,39.0,4965.0,515.0,0.0,0.13793103448275862,0.13793103448275862,0.22988505747126434,0.3448275862068966,0.26954022988505744,0.5172413793103449,0.3370963327859879,1.0,0.007766990291262136,0.17582961862308075,355.0,,,,0.0
17,0.3282062161875464,0.2938130381303813,0.5640782828282829,0.010146103896103896,50.0,4928.0,515.0,0.0,0.13636363636363635,0.13636363636363635,0.25,0.4318181818181818,0.2863636363636364,0.5909090909090909,0.34319083694083696,1.0,0.011650485436893204,0.1855361596009975,372.0,,,,0.0
18,0.3292882147024504,0.2685992382564537,0.49128919860627174,0.010374288039056143,51.0,4916.0,515.0,0.0,0.19047619047619047,0.19047619047619047,0.28174603174603174,0.40476190476190477,0.31746031746031744,0.5714285714285714,0.3713151927437641,1.0,0.015533980582524271,0.18137013307047806,368.0,,,,0.0
