round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3040840140023337,0.7925975231172044,0.697056277056277,0.03952488224452181,193.0,4883.0,515.0,0.0,0.35714285714285715,0.35714285714285715,0.525297619047619,0.7410714285714286,0.5561011904761904,0.875,0.5734304138321996,1.0,0.07766990291262135,0.19408602150537635,361.0,1.920863309352518,0.14874871734484083,0.009550170914172915,0.0
1,0.3079028322902302,0.7077743831062415,0.6362948662948664,0.03654080389768575,180.0,4926.0,515.0,0.0,0.4107142857142857,0.4107142857142857,0.5104166666666667,0.6517857142857143,0.5430059523809524,0.7946428571428571,0.5704435941043083,1.0,0.08932038834951456,0.17914300464636035,347.0,,,,0.0
2,0.31140341572080193,0.7391694257875319,0.65625,0.03319919517102616,165.0,4970.0,515.0,0.0,0.35514018691588783,0.35514018691588783,0.48753894080996885,0.6542056074766355,0.5034267912772586,0.7289719626168224,0.5395898234683283,1.0,0.07378640776699029,0.18114406779661016,342.0,,,,0.0
3,0.314606979951204,0.7166468139948783,0.6421332311802609,0.030822616860583792,151.0,4899.0,515.0,0.0,0.3465346534653465,0.3465346534653465,0.4587458745874587,0.594059405940594,0.4968646864686469,0.7623762376237624,0.5280567342448531,1.0,0.06796116504854369,0.17262830482115085,333.0,,,,0.0
4,0.317831759838761,0.722828615098352,0.6938993930905696,0.03099510603588907,152.0,4904.0,515.0,0.0,0.4380952380952381,0.4380952380952381,0.5507936507936507,0.6857142857142857,0.5669841269841269,0.7619047619047619,0.5981783824640967,1.0,0.08932038834951456,0.1816261879619852,344.0,,,,0.0
5,0.3203139917258937,0.7225004056842155,0.6503245270711023,0.023828920570264766,117.0,4910.0,515.0,0.0,0.4266666666666667,0.4266666666666667,0.5133333333333333,0.6266666666666667,0.5433333333333333,0.76,0.5746878306878307,1.0,0.062135922330097085,0.18350079323109467,347.0,,,,0.0
6,0.3230508114988862,0.6939185409785593,0.6857016594516595,0.02612393681652491,129.0,4938.0,515.0,0.0,0.29545454545454547,0.29545454545454547,0.46401515151515155,0.6590909090909091,0.4878787878787879,0.7613636363636364,0.5212436868686868,1.0,0.05048543689320388,0.17946058091286307,346.0,,,,0.0
7,0.32534210247162404,0.7117997149799085,0.6597334004024145,0.022203947368421052,108.0,4864.0,515.0,0.0,0.4305555555555556,0.4305555555555556,0.5092592592592593,0.625,0.5363425925925926,0.75,0.5691688712522046,1.0,0.06019417475728155,0.18586387434554974,355.0,,,,0.0
8,0.32720908030126233,0.7290862216199157,0.7006172839506173,0.01765295887662989,88.0,4985.0,515.0,0.0,0.3968253968253968,0.3968253968253968,0.5291005291005292,0.6984126984126984,0.5664021164021165,0.8571428571428571,0.5849647266313933,1.0,0.04854368932038835,0.1835245046923879,352.0,,,,0.0
9,0.3288214702450408,0.68259219735217,0.6797941468253968,0.015403323875152006,76.0,4934.0,515.0,0.0,0.3275862068965517,0.3275862068965517,0.45689655172413784,0.6551724137931034,0.4887931034482758,0.7931034482758621,0.5162219485495347,1.0,0.036893203883495145,0.18153364632237873,348.0,,,,0.0
10,0.33087938898907393,0.6671599975509394,0.6311956403565994,0.019477911646586344,97.0,4980.0,515.0,0.0,0.3287671232876712,0.3287671232876712,0.42694063926940634,0.5616438356164384,0.44680365296803654,0.6438356164383562,0.49257990867579904,1.0,0.04660194174757282,0.1736040609137056,342.0,1.9241379310344828,0.12681469369499826,0.015915003644461113,0.0
11,0.33247056327569746,0.6230984956776258,0.5737742130750604,0.015084473049074818,75.0,4972.0,515.0,0.0,0.288135593220339,0.288135593220339,0.3870056497175141,0.5254237288135594,0.4056497175141243,0.6101694915254238,0.4540153349475383,1.0,0.03300970873786408,0.17598343685300208,340.0,,,,0.0
12,0.33431632544818074,0.5809253631505369,0.6682667690732207,0.017886513157894735,87.0,4864.0,515.0,0.0,0.3870967741935484,0.3870967741935484,0.5026881720430108,0.6612903225806451,0.535752688172043,0.8064516129032258,0.5598758320532514,1.0,0.04660194174757282,0.17650103519668736,341.0,,,,0.0
13,0.3361620876206641,0.5726247229763914,0.6427535962301587,0.01766138855054811,87.0,4926.0,515.0,0.0,0.4375,0.4375,0.5130208333333334,0.609375,0.5380208333333333,0.71875,0.572451636904762,1.0,0.05436893203883495,0.17058222676200205,334.0,,,,0.0
14,0.3380290654503023,0.48775502550255023,0.6455549632788439,0.017828200972447326,88.0,4936.0,515.0,0.0,0.27941176470588236,0.27941176470588236,0.42892156862745096,0.6176470588235294,0.45171568627450975,0.7205882352941176,0.4895133053221289,1.0,0.036893203883495145,0.1845758354755784,359.0,,,,0.0
15,0.3396838867083908,0.49293935124352906,0.6007118490671123,0.01579906826007697,78.0,4937.0,515.0,0.0,0.3333333333333333,0.3333333333333333,0.37426900584795325,0.42105263157894735,0.41549707602339186,0.6140350877192983,0.469667223614592,1.0,0.036893203883495145,0.17842535787321062,349.0,,,,0.0
16,0.3407871008804498,0.35771580761397465,0.7357982295482295,0.010479645304312777,52.0,4962.0,515.0,0.0,0.35,0.35,0.5125,0.725,0.53625,0.825,0.5589186507936509,1.0,0.027184466019417475,0.1743718592964824,347.0,,,,0.0
17,0.34201760899543865,0.4330282042077553,0.6380348516218082,0.011700625378252975,58.0,4957.0,515.0,0.0,0.2826086956521739,0.2826086956521739,0.40942028985507245,0.5652173913043478,0.44637681159420284,0.7391304347826086,0.47909765355417533,1.0,0.02524271844660194,0.18087318087318088,348.0,,,,0.0
18,0.3431420388246526,0.35245305967894314,0.6743128145567171,0.010629763337344564,53.0,4986.0,515.0,0.0,0.4146341463414634,0.4146341463414634,0.5121951219512195,0.6585365853658537,0.5341463414634146,0.7560975609756098,0.5674312814556717,1.0,0.03300970873786408,0.16872835230084116,341.0,,,,0.0
19,0.3443301156253315,0.39043169351073764,0.7161609562524196,0.011308562197092083,56.0,4952.0,515.0,0.0,0.4634146341463415,0.4634146341463415,0.5365853658536586,0.6097560975609756,0.573170731707317,0.7560975609756098,0.6054006968641115,1.0,0.036893203883495145,0.18087215064420217,365.0,,,,0.0
20,0.3453696828259255,0.2091909428131114,0.6055839002267573,0.009875050382910117,49.0,4962.0,515.0,0.0,0.34285714285714286,0.34285714285714286,0.44285714285714284,0.5428571428571428,0.48428571428571426,0.7142857142857143,0.5193877551020408,1.0,0.02330097087378641,0.18094758064516128,359.0,1.96,0.11821270914302885,0.01419389000357633,0.0
21,0.34632438739789967,0.3223517382413088,0.5321691176470589,0.00911854103343465,45.0,4935.0,515.0,0.0,0.2647058823529412,0.2647058823529412,0.3382352941176471,0.4411764705882353,0.3735294117647059,0.5882352941176471,0.42934173669467784,1.0,0.017475728155339806,0.175,350.0,,,,0.0
22,0.3468547788267742,0.2643589743589744,0.6678743961352659,0.005061753391374772,25.0,4939.0,515.0,0.0,0.30434782608695654,0.30434782608695654,0.41304347826086957,0.5652173913043478,0.43478260869565216,0.6521739130434783,0.47879572118702557,1.0,0.013592233009708738,0.16906130268199235,353.0,,,,0.0
23,0.3474276015699586,0.34763446252982566,0.6364734299516909,0.005509079779636809,27.0,4901.0,515.0,0.0,0.2608695652173913,0.2608695652173913,0.391304347826087,0.6086956521739131,0.40869565217391307,0.6956521739130435,0.45362318840579713,1.0,0.011650485436893204,0.1724299065420561,369.0,,,,0.0
24,0.34797920865598814,0.271758264012213,0.6556051587301587,0.005237711522965351,26.0,4964.0,515.0,0.0,0.45,0.45,0.4916666666666667,0.55,0.5391666666666667,0.75,0.5780555555555555,1.0,0.017475728155339806,0.17958412098298676,380.0,,,,0.0
25,0.3485732470563276,0.302801134563884,0.6322222222222222,0.005612347163760273,28.0,4989.0,515.0,0.0,0.28,0.28,0.3133333333333333,0.36,0.3953333333333333,0.72,0.4367619047619047,1.0,0.013592233009708738,0.1758345086976963,374.0,,,,0.0
26,0.349188501113822,0.2515095816501964,0.5100308641975309,0.005843239975821076,29.0,4963.0,515.0,0.0,0.1111111111111111,0.1111111111111111,0.2345679012345679,0.4074074074074074,0.28456790123456793,0.6296296296296297,0.32992357436801883,1.0,0.005825242718446602,0.1790556334735858,383.0,,,,0.0
27,0.3495279516283017,0.20097742845626765,0.437962962962963,0.0032141422257934912,16.0,4978.0,515.0,0.0,0.13333333333333333,0.13333333333333333,0.2555555555555556,0.4666666666666667,0.2555555555555556,0.4666666666666667,0.32544973544973543,1.0,0.003883495145631068,0.1838970938542163,386.0,,,,0.0
28,0.34999469608571127,0.21471932848684702,0.5773809523809524,0.004513746409519901,22.0,4874.0,515.0,0.0,0.2857142857142857,0.2857142857142857,0.38095238095238093,0.5238095238095238,0.40238095238095234,0.6190476190476191,0.4467498110355253,1.0,0.011650485436893204,0.17480842911877395,365.0,,,,0.0
29,0.35046144054312084,0.248871924266981,0.5136363636363637,0.004437273093989512,22.0,4958.0,515.0,0.0,0.045454545454545456,0.045454545454545456,0.14393939393939392,0.2727272727272727,0.1962121212121212,0.5,0.2613455988455989,1.0,0.001941747572815534,0.18548774627582892,386.0,,,,0.0
