round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3039991513737138,0.572852039857116,0.6058248299319728,0.03843807199511898,189.0,4917.0,515.0,0.0,0.36,0.36,0.485,0.64,0.5195000000000001,0.79,0.5478968253968255,1.0,0.06990291262135923,0.1791044776119403,432.0,1.8985507246376812,0.14961791822327786,0.01222593781349558,0.0
1,0.3079664792616951,0.5909309429784259,0.6143971147486772,0.03770921556765477,187.0,4959.0,515.0,0.0,0.3854166666666667,0.3854166666666667,0.5086805555555555,0.6770833333333334,0.5253472222222222,0.75,0.5564525462962963,1.0,0.07184466019417475,0.17495921696574226,429.0,,,,0.0
2,0.3115519253208868,0.5314259525168676,0.5854470409563002,0.034666666666666665,169.0,4875.0,515.0,0.0,0.32926829268292684,0.32926829268292684,0.4817073170731707,0.6707317073170732,0.5128048780487805,0.8048780487804879,0.5383226867982965,1.0,0.05242718446601942,0.17394957983193277,414.0,,,,0.0
3,0.31467062692266895,0.5563562565466118,0.5859925474254742,0.030153846153846153,147.0,4875.0,515.0,0.0,0.3373493975903614,0.3373493975903614,0.45381526104417674,0.6265060240963856,0.4791164658634538,0.7349397590361446,0.5099301969783898,1.0,0.05436893203883495,0.1808466913275791,440.0,,,,0.0
4,0.317874191153071,0.608566322148023,0.6357457413859853,0.030622591766375988,151.0,4931.0,515.0,0.0,0.36585365853658536,0.36585365853658536,0.47967479674796754,0.6219512195121951,0.516260162601626,0.7804878048780488,0.545150987224158,1.0,0.05825242718446602,0.16875522138680032,404.0,,,,0.0
5,0.3205473639545985,0.5530676864873756,0.6678940781440781,0.0254494041607756,126.0,4951.0,515.0,0.0,0.4307692307692308,0.4307692307692308,0.5666666666666667,0.7384615384615385,0.5928205128205128,0.8615384615384616,0.6113614163614164,1.0,0.05436893203883495,0.16770444167704443,404.0,,,,0.0
6,0.3237509281850005,0.5719692130593115,0.613825904392765,0.030370072405470634,151.0,4972.0,515.0,0.0,0.27906976744186046,0.27906976744186046,0.4205426356589147,0.6046511627906976,0.46240310077519386,0.7906976744186046,0.48913805832410495,1.0,0.04660194174757282,0.17343946376204442,414.0,,,,0.0
7,0.32735758990134717,0.6113469251336898,0.6250313768918421,0.034538805363673306,170.0,4922.0,515.0,0.0,0.3488372093023256,0.3488372093023256,0.46317829457364335,0.6046511627906976,0.5062015503875968,0.7906976744186046,0.5325627537836841,1.0,0.05825242718446602,0.17700205338809036,431.0,,,,0.0
8,0.33056115413174925,0.5537447510811205,0.6076484420928866,0.030778638401956788,151.0,4906.0,515.0,0.0,0.39759036144578314,0.39759036144578314,0.5100401606425703,0.6506024096385542,0.528714859437751,0.7349397590361446,0.5645630139606044,1.0,0.06407766990291262,0.17535353535353534,434.0,,,,0.0
9,0.3336162087620664,0.6024883411252996,0.6292086385836385,0.029262345051818735,144.0,4921.0,515.0,0.0,0.35443037974683544,0.35443037974683544,0.44092827004219415,0.5443037974683544,0.4827004219409284,0.7341772151898734,0.519976893711071,1.0,0.05436893203883495,0.17096114519427402,418.0,,,,0.0
