round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3033986603820392,0.8819807865824533,0.5738658588435374,0.023795871559633027,83.0,3488.0,378.0,0.0,0.21428571428571427,0.21428571428571427,0.3392857142857143,0.5357142857142857,0.375,0.6964285714285714,0.413109410430839,1.0,0.031746031746031744,0.17952635599694422,235.0,1.945945945945946,0.1325812912051879,0.04751888224498784,0.0
1,0.3071198213842719,0.8820244157200678,0.5907632815030774,0.02575844304522038,90.0,3494.0,378.0,0.0,0.32,0.32,0.4933333333333333,0.72,0.5173333333333333,0.82,0.5406349206349206,1.0,0.042328042328042326,0.17737003058103976,232.0,,,,0.0
2,0.3095179029190441,0.9075375334201686,0.5543774801587301,0.016205644034646548,58.0,3579.0,378.0,0.0,0.30303030303030304,0.30303030303030304,0.3939393939393939,0.5151515151515151,0.4287878787878788,0.6666666666666666,0.4740740740740741,1.0,0.026455026455026454,0.178544061302682,233.0,,,,0.0
3,0.31261887042090464,0.8884563629373318,0.6375580720092915,0.021168501270110076,75.0,3543.0,378.0,0.0,0.34146341463414637,0.34146341463414637,0.467479674796748,0.6097560975609756,0.4991869918699188,0.7560975609756098,0.5314266356949284,1.0,0.037037037037037035,0.17893961708394698,243.0,,,,0.0
4,0.31571983792276526,0.9111343508573582,0.6169331709956709,0.02075837254359258,75.0,3613.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.39772727272727265,0.5681818181818182,0.4420454545454545,0.75,0.4739177489177489,1.0,0.031746031746031744,0.18885448916408668,244.0,,,,0.0
5,0.3181179194575374,0.8922791231354551,0.61437447786132,0.016647531572904706,58.0,3484.0,378.0,0.0,0.2631578947368421,0.2631578947368421,0.42982456140350883,0.631578947368421,0.45087719298245615,0.7368421052631579,0.48459690893901425,1.0,0.026455026455026454,0.1812822402358143,246.0,,,,0.0
6,0.3211775407260399,0.8883785348753501,0.5423432055749129,0.020975056689342405,74.0,3528.0,378.0,0.0,0.2619047619047619,0.2619047619047619,0.39285714285714285,0.5476190476190477,0.42857142857142855,0.7142857142857143,0.4679705215419501,1.0,0.0291005291005291,0.17069486404833836,226.0,,,,0.0
7,0.3246092780947656,0.9127696731288256,0.6629261363636364,0.023727844482561464,83.0,3498.0,378.0,0.0,0.4772727272727273,0.4772727272727273,0.5454545454545454,0.6590909090909091,0.5761363636363636,0.7954545454545454,0.6015692640692639,1.0,0.05555555555555555,0.18692307692307691,243.0,,,,0.0
8,0.32820640039692384,0.9129803285391155,0.6147594246031746,0.02434928631402183,87.0,3573.0,378.0,0.0,0.20833333333333334,0.20833333333333334,0.37152777777777773,0.5833333333333334,0.40902777777777777,0.75,0.44122023809523814,1.0,0.026455026455026454,0.18105423987776928,237.0,,,,0.0
9,0.33134871413214256,0.9038856316092476,0.5808073870573869,0.02140845070422535,76.0,3550.0,378.0,0.0,0.3,0.3,0.4583333333333333,0.65,0.49333333333333335,0.8,0.5178075396825397,1.0,0.031746031746031744,0.19342507645259938,253.0,,,,0.0
10,0.3346150665674357,0.9239427608550906,0.6502125220458553,0.022688110281447443,79.0,3482.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.4703703703703703,0.6666666666666666,0.5003703703703704,0.8,0.5262874779541445,1.0,0.03968253968253968,0.17996987951807228,239.0,1.9716312056737588,0.11266539558637524,0.06024094105572884,0.0
11,0.33804680393616143,0.902480674950747,0.6197089947089947,0.023539421440726037,83.0,3526.0,378.0,0.0,0.35555555555555557,0.35555555555555557,0.4407407407407407,0.5555555555555556,0.4896296296296297,0.7777777777777778,0.5191446208112875,1.0,0.042328042328042326,0.18475750577367206,240.0,,,,0.0
12,0.3402381543041429,0.8705436977610503,0.5288234663234663,0.015221137277426766,53.0,3482.0,378.0,0.0,0.08108108108108109,0.08108108108108109,0.22972972972972974,0.4594594594594595,0.27837837837837837,0.6756756756756757,0.315079365079365,1.0,0.007936507936507936,0.18498023715415018,234.0,,,,0.0
13,0.3430496981724965,0.8866193841408646,0.6366625138427464,0.01921446736366205,68.0,3539.0,378.0,0.0,0.3023255813953488,0.3023255813953488,0.4457364341085271,0.6511627906976745,0.48410852713178293,0.813953488372093,0.5099021779254337,1.0,0.03439153439153439,0.18029029793735676,236.0,,,,0.0
14,0.3451997023071198,0.9091917697686929,0.6118413800705468,0.014925373134328358,52.0,3484.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.4259259259259259,0.5555555555555556,0.4453703703703703,0.6388888888888888,0.49215167548500877,1.0,0.031746031746031744,0.18322981366459629,236.0,,,,0.0
