round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3021169271479368,0.22642591000286616,0.7252896825396825,0.014685117198531489,52.0,3541.0,378.0,0.0,0.6571428571428571,0.6571428571428571,0.6857142857142857,0.7142857142857143,0.6985714285714285,0.7714285714285715,0.7302607709750567,1.0,0.06084656084656084,0.18705035971223022,260.0,1.900662251655629,0.13075485223407116,0.02452936946083952,0.0
1,0.30434962374927643,0.21763116175641312,0.8102745602745604,0.015275813295615276,54.0,3535.0,378.0,0.0,0.717948717948718,0.717948717948718,0.7564102564102564,0.7948717948717948,0.773076923076923,0.8717948717948718,0.7913410663410664,1.0,0.07407407407407407,0.20058997050147492,272.0,,,,0.0
2,0.30658232035061606,0.20019138806713957,0.7572052154195011,0.01522413307020017,54.0,3547.0,378.0,0.0,0.4722222222222222,0.4722222222222222,0.5833333333333334,0.7222222222222222,0.6166666666666667,0.8611111111111112,0.6357914462081129,1.0,0.04497354497354497,0.1907255048616305,255.0,,,,0.0
3,0.3078640535847184,0.2218716359181855,0.6954166666666666,0.008839463929284289,31.0,3507.0,378.0,0.0,0.4230769230769231,0.4230769230769231,0.4935897435897436,0.5769230769230769,0.5205128205128206,0.6923076923076923,0.5619505494505495,1.0,0.0291005291005291,0.19438444924406048,270.0,,,,0.0
4,0.30976598031919295,0.2341358040106885,0.7612179487179488,0.013038548752834467,46.0,3528.0,378.0,0.0,0.5128205128205128,0.5128205128205128,0.6153846153846153,0.7692307692307693,0.6269230769230768,0.8205128205128205,0.6486365486365485,1.0,0.05291005291005291,0.1910688140556369,261.0,,,,0.0
5,0.31170925328702553,0.19545283100533614,0.8311631944444444,0.013474770642201836,47.0,3488.0,378.0,0.0,0.675,0.675,0.7125,0.75,0.74125,0.875,0.757390873015873,1.0,0.07142857142857142,0.20072463768115942,277.0,,,,0.0
6,0.31361118002150007,0.19617156016119747,0.7600452628968255,0.013068181818181817,46.0,3520.0,378.0,0.0,0.625,0.625,0.6666666666666666,0.71875,0.6854166666666666,0.8125,0.7110119047619048,1.0,0.05291005291005291,0.19971469329529243,280.0,,,,0.0
7,0.31514099065575124,0.20682958407509305,0.6326058201058201,0.01044018058690745,37.0,3544.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.4135802469135803,0.5185185185185185,0.46728395061728395,0.7407407407407407,0.5003086419753087,1.0,0.023809523809523808,0.1896551724137931,253.0,,,,0.0
8,0.31691887869015134,0.24545198799699924,0.6719276094276095,0.012233285917496443,43.0,3515.0,378.0,0.0,0.4117647058823529,0.4117647058823529,0.5392156862745099,0.7058823529411765,0.5612745098039217,0.7941176470588235,0.5883520074696547,1.0,0.037037037037037035,0.21005917159763313,284.0,,,,0.0
9,0.31762176465723974,0.15164605614973262,0.7962962962962964,0.004806333050607859,17.0,3537.0,378.0,0.0,0.6,0.6,0.6222222222222221,0.6666666666666666,0.6488888888888888,0.8,0.675,1.0,0.023809523809523808,0.2051470588235294,279.0,,,,0.0
10,0.318862151657984,0.1610096976611523,0.8229166666666667,0.008484162895927601,30.0,3536.0,378.0,0.0,0.56,0.56,0.66,0.8,0.67,0.84,0.6891111111111111,1.0,0.037037037037037035,0.19673348181143283,265.0,1.908450704225352,0.11908989241790557,0.008944079725401814,0.0
11,0.3202679235921608,0.22851460008463817,0.6759837962962963,0.00968937019093759,34.0,3509.0,378.0,0.0,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.5,0.5083333333333333,0.7083333333333334,0.5450231481481481,1.0,0.026455026455026454,0.1910192444761226,268.0,,,,0.0
12,0.3219217729264864,0.17271359365825015,0.7269437095825985,0.011607661056297156,40.0,3446.0,378.0,0.0,0.5925925925925926,0.5925925925925926,0.6481481481481481,0.7037037037037037,0.6555555555555556,0.7407407407407407,0.6891387419165197,1.0,0.042328042328042326,0.19706959706959706,269.0,,,,0.0
13,0.3234929297940958,0.1823762820992738,0.6622698412698412,0.0106951871657754,38.0,3553.0,378.0,0.0,0.4,0.4,0.5,0.64,0.51,0.68,0.5520952380952382,1.0,0.026455026455026454,0.19545131485429992,275.0,,,,0.0
14,0.325022740428347,0.1834409906023366,0.8434139784946236,0.010529311326124075,37.0,3514.0,378.0,0.0,0.6451612903225806,0.6451612903225806,0.7150537634408602,0.8064516129032258,0.7376344086021506,0.9032258064516129,0.7480286738351255,1.0,0.05291005291005291,0.1949640287769784,271.0,,,,0.0
15,0.3262631274290912,0.20858286252354052,0.8997395833333334,0.008403361344537815,30.0,3570.0,378.0,0.0,0.8333333333333334,0.8333333333333334,0.875,0.9166666666666666,0.875,0.9166666666666666,0.8855820105820106,1.0,0.05291005291005291,0.1948608137044968,273.0,,,,0.0
