round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30245560800179816,0.4371110907759883,0.7707518952854774,0.01585014409221902,88.0,5552.0,588.0,0.0,0.5882352941176471,0.5882352941176471,0.6813725490196079,0.7941176470588235,0.6909313725490196,0.8382352941176471,0.711000233426704,1.0,0.06802721088435375,0.18516699410609036,377.0,1.9416058394160585,0.12816221481294512,0.027914540814937383,0.0
1,0.30534951674533606,0.40338398103662804,0.7992923280423281,0.018906020558002938,103.0,5448.0,588.0,0.0,0.618421052631579,0.618421052631579,0.7302631578947368,0.8552631578947368,0.7394736842105263,0.8947368421052632,0.753999582289056,1.0,0.07993197278911565,0.19928644240570845,391.0,,,,0.0
2,0.30810294448190606,0.31332387595366135,0.7702655677655678,0.01793557833089312,98.0,5464.0,588.0,0.0,0.6060606060606061,0.6060606060606061,0.6792929292929292,0.7727272727272727,0.7042929292929293,0.8787878787878788,0.720448532948533,1.0,0.06802721088435375,0.19186046511627908,396.0,,,,0.0
3,0.3103225443919982,0.34326531286738843,0.7947865353037767,0.014519389818048152,79.0,5441.0,588.0,0.0,0.6206896551724138,0.6206896551724138,0.6839080459770116,0.7586206896551724,0.707183908045977,0.8620689655172413,0.7249521072796935,1.0,0.061224489795918366,0.19979969954932397,399.0,,,,0.0
4,0.31296358732299395,0.31810874270399514,0.8181022408963586,0.01696750902527076,94.0,5540.0,588.0,0.0,0.6764705882352942,0.6764705882352942,0.7132352941176471,0.75,0.725735294117647,0.8088235294117647,0.7510154061624651,1.0,0.0782312925170068,0.19345524542829645,402.0,,,,0.0
5,0.31523937963587323,0.25538815651810004,0.7319757196663976,0.014862385321100917,81.0,5450.0,588.0,0.0,0.5333333333333333,0.5333333333333333,0.6138888888888889,0.7,0.6497222222222222,0.8666666666666667,0.6666137566137568,1.0,0.05442176870748299,0.19620901639344263,383.0,,,,0.0
6,0.3172061137334232,0.26796564865294026,0.7907212885154062,0.012801755669348939,70.0,5468.0,588.0,0.0,0.6274509803921569,0.6274509803921569,0.6993464052287581,0.803921568627451,0.7189542483660131,0.8823529411764706,0.7348817304699657,1.0,0.05442176870748299,0.1998974884674526,390.0,,,,0.0
7,0.3191166554281861,0.2878272930793939,0.8237698412698413,0.012347920828037044,68.0,5507.0,588.0,0.0,0.6470588235294118,0.6470588235294118,0.7091503267973855,0.7843137254901961,0.7218954248366012,0.8431372549019608,0.7395969498910675,1.0,0.05612244897959184,0.19635627530364372,388.0,,,,0.0
8,0.32122387053270396,0.2655411735700197,0.7423066448801744,0.013678643078606603,75.0,5483.0,588.0,0.0,0.6274509803921569,0.6274509803921569,0.7058823529411765,0.803921568627451,0.7245098039215687,0.8823529411764706,0.7384531590413945,1.0,0.05442176870748299,0.19603859827323514,386.0,,,,0.0
9,0.3226848730051697,0.21625497952084383,0.8210535230352303,0.00939306358381503,52.0,5536.0,588.0,0.0,0.6585365853658537,0.6585365853658537,0.7154471544715447,0.8048780487804879,0.7325203252032519,0.8780487804878049,0.7478513356562136,1.0,0.04591836734693878,0.19433198380566802,384.0,,,,0.0
10,0.3242582602832097,0.16706806077694236,0.7377524801587302,0.010130246020260492,56.0,5528.0,588.0,0.0,0.5714285714285714,0.5714285714285714,0.6269841269841271,0.6904761904761905,0.6376984126984127,0.7380952380952381,0.6702286470143614,1.0,0.04081632653061224,0.2,390.0,1.8970588235294117,0.11402363857593135,0.021984517463367766,0.0
