round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.301416048550236,0.18890861198142228,0.5960970770421989,0.009185878962536023,51.0,5552.0,588.0,0.0,0.30952380952380953,0.30952380952380953,0.36111111111111116,0.4523809523809524,0.4075396825396825,0.6666666666666666,0.4512471655328798,1.0,0.022108843537414966,0.2,400.0,1.9708029197080292,0.12849307760517484,0.02791643147894508,0.0
1,0.30284895482130814,0.2466224073024317,0.5423280423280422,0.009362952083715808,51.0,5447.0,588.0,0.0,0.27906976744186046,0.27906976744186046,0.3875968992248062,0.5116279069767442,0.4131782945736434,0.627906976744186,0.45887781469176825,1.0,0.02040816326530612,0.20468127490039842,411.0,,,,0.0
2,0.30453472690492245,0.21061181044057756,0.611456176673568,0.010984987184181618,60.0,5462.0,588.0,0.0,0.3191489361702128,0.3191489361702128,0.4184397163120568,0.5531914893617021,0.4524822695035461,0.7021276595744681,0.4879010469436002,1.0,0.025510204081632654,0.19742701632855023,399.0,,,,0.0
3,0.3059114407732075,0.16342054447010715,0.6261700513538749,0.009009009009009009,49.0,5439.0,588.0,0.0,0.38235294117647056,0.38235294117647056,0.4754901960784313,0.6176470588235294,0.5019607843137255,0.7352941176470589,0.5341853408029879,1.0,0.022108843537414966,0.20268256333830104,408.0,,,,0.0
4,0.30742863564846035,0.20822362647007198,0.6419589232089232,0.009747292418772563,54.0,5540.0,588.0,0.0,0.40540540540540543,0.40540540540540543,0.48198198198198194,0.5675675675675675,0.5225225225225225,0.7567567567567568,0.5571643071643071,1.0,0.025510204081632654,0.20162059103908483,423.0,,,,0.0
5,0.30886154191953247,0.20155714685355336,0.7029695767195768,0.009361233480176211,51.0,5448.0,588.0,0.0,0.4864864864864865,0.4864864864864865,0.572072072072072,0.6756756756756757,0.6153153153153152,0.8648648648648649,0.6320892320892321,1.0,0.030612244897959183,0.2018664047151277,411.0,,,,0.0
6,0.3103225443919982,0.2517540620384047,0.6205208333333333,0.009509875640087784,52.0,5468.0,588.0,0.0,0.375,0.375,0.4541666666666666,0.575,0.49416666666666664,0.75,0.5265773809523809,1.0,0.025510204081632654,0.19862677783227073,405.0,,,,0.0
7,0.31136210384356033,0.2220391323682,0.6425328144078144,0.006718721627020156,37.0,5507.0,588.0,0.0,0.48148148148148145,0.48148148148148145,0.5493827160493827,0.6296296296296297,0.5567901234567901,0.6666666666666666,0.5952087007642562,1.0,0.022108843537414966,0.19538017324350337,406.0,,,,0.0
8,0.3125983367048775,0.18356064784636214,0.6075963718820862,0.008024803939449206,44.0,5483.0,588.0,0.0,0.37142857142857144,0.37142857142857144,0.44761904761904764,0.5428571428571428,0.4804761904761904,0.6857142857142857,0.5217346938775509,1.0,0.022108843537414966,0.1895551257253385,392.0,,,,0.0
9,0.3135817037536525,0.2427246753246753,0.5991743471582182,0.006323396567299007,35.0,5535.0,588.0,0.0,0.3225806451612903,0.3225806451612903,0.41397849462365593,0.5483870967741935,0.43010752688172044,0.6129032258064516,0.4759728622631848,1.0,0.017006802721088437,0.19667318982387474,402.0,,,,0.0
