round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3012506797172376,0.4111488621997471,0.6962962962962962,0.003856749311294766,7.0,1815.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.5,0.7142857142857143,0.5,0.7142857142857143,0.5346938775510204,1.0,0.010752688172043012,0.1737012987012987,107.0,1.9761904761904763,0.15193054661798183,0.05627907262177716,0.0
1,0.30270074315751316,0.36282733224222585,0.71875,0.0043454644215100485,8.0,1841.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.47222222222222215,0.6666666666666666,0.5555555555555556,1.0,0.5555555555555556,1.0,0.010752688172043012,0.16869565217391305,97.0,,,,0.0
2,0.3054196121080297,0.34940833788458037,0.5515252976190477,0.008125677139761646,15.0,1846.0,186.0,0.0,0.25,0.25,0.29166666666666663,0.375,0.37916666666666665,0.75,0.4095238095238095,1.0,0.010752688172043012,0.16898954703832753,97.0,,,,0.0
3,0.3072321914083741,0.34790633608815424,0.5166170634920635,0.005479452054794521,10.0,1825.0,186.0,0.0,0.0,0.0,0.27777777777777773,0.6666666666666666,0.27777777777777773,0.6666666666666666,0.3263888888888889,1.0,0.0,0.17162872154115585,98.0,,,,0.0
4,0.3090447707087185,0.4054226918798665,0.6501736111111112,0.0055309734513274336,10.0,1808.0,186.0,0.0,0.125,0.125,0.2708333333333333,0.5,0.3520833333333333,0.875,0.3677083333333333,1.0,0.005376344086021506,0.17123287671232876,100.0,,,,0.0
5,0.3094072865687874,0.5973439211391018,0.25,0.0010940919037199124,2.0,1828.0,186.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.005376344086021506,0.17301038062283736,100.0,,,,0.0
6,0.3108573500090629,0.39490049751243783,0.5567129629629629,0.004402861860209136,8.0,1817.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.4849206349206349,1.0,0.010752688172043012,0.16943521594684385,102.0,,,,0.0
7,0.31212615551930395,0.3307496621353049,0.3979166666666667,0.003880266075388027,7.0,1804.0,186.0,0.0,0.2,0.2,0.3,0.4,0.35,0.6,0.4007936507936508,1.0,0.005376344086021506,0.1781512605042017,106.0,,,,0.0
8,0.31303244516947615,0.4964383561643836,0.5777777777777778,0.00273224043715847,5.0,1830.0,186.0,0.0,0.2,0.2,0.4333333333333333,0.8,0.4333333333333333,0.8,0.4619047619047619,1.0,0.005376344086021506,0.16830065359477125,103.0,,,,0.0
9,0.3144825086097517,0.46607537272225286,0.5892857142857143,0.0043980208905992305,8.0,1819.0,186.0,0.0,0.5,0.5,0.638888888888889,0.8333333333333334,0.6722222222222222,1.0,0.6722222222222222,1.0,0.016129032258064516,0.16531604538087522,102.0,,,,0.0
10,0.3155700561899583,0.45434981684981685,0.5555555555555556,0.0032858707557502738,6.0,1826.0,186.0,0.0,0.2,0.2,0.26666666666666666,0.4,0.36666666666666664,0.8,0.39166666666666666,1.0,0.005376344086021506,0.1597222222222222,92.0,1.9871794871794872,0.14571238754856417,0.06780931332838544,0.0
11,0.3162950879100961,0.5220668115154807,0.48611111111111116,0.002168021680216802,4.0,1845.0,186.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.3506944444444444,1.0,0.005376344086021506,0.1563517915309446,96.0,,,,0.0
12,0.3172013775602683,0.4150525733259546,0.6944444444444444,0.0027593818984547464,5.0,1812.0,186.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.005376344086021506,0.16831683168316833,102.0,,,,0.0
13,0.31774515135037157,0.5192377826404084,0.46296296296296297,0.0016384489350081922,3.0,1831.0,186.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25925925925925924,1.0,0.0,0.17744610281923714,107.0,,,,0.0
14,0.317926409280406,0.4632553075666848,0.4444444444444445,0.000544069640914037,1.0,1838.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.17264957264957265,101.0,,,,0.0
15,0.31847018307050934,0.29693486590038315,0.5115740740740741,0.001639344262295082,3.0,1830.0,186.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.2333333333333333,0.6666666666666666,0.2888888888888889,1.0,0.0,0.1761827079934747,108.0,,,,0.0
16,0.32028276237085374,0.409978009895547,0.6845238095238095,0.005467468562055768,10.0,1829.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.45238095238095244,0.8571428571428571,0.45238095238095244,0.8571428571428571,0.4702380952380953,1.0,0.005376344086021506,0.16415410385259632,98.0,,,,0.0
17,0.3219140837411637,0.3818264840182648,0.4216269841269842,0.004907306434023991,9.0,1834.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.3095238095238095,0.5714285714285714,0.3095238095238095,0.5714285714285714,0.3591269841269842,1.0,0.005376344086021506,0.15161290322580645,94.0,,,,0.0
18,0.32300163132137033,0.3235294117647059,0.3428819444444444,0.003257328990228013,6.0,1842.0,186.0,0.0,0.25,0.25,0.25,0.25,0.3625,0.75,0.3875,1.0,0.005376344086021506,0.17428087986463622,103.0,,,,0.0
19,0.3242704368316114,0.4869226488592099,0.7407407407407408,0.003880266075388027,7.0,1804.0,186.0,0.0,0.5,0.5,0.5555555555555555,0.6666666666666666,0.5888888888888889,0.8333333333333334,0.6126984126984126,1.0,0.016129032258064516,0.17993630573248406,113.0,,,,0.0
20,0.3248142106217147,0.4898542704298099,0.4375,0.0016574585635359116,3.0,1810.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,1.0,0.005376344086021506,0.1646655231560892,96.0,1.9875,0.14358890758622583,0.0758926159041643,0.0
21,0.32590175820192135,0.3472606530160487,0.626984126984127,0.003309431880860452,6.0,1813.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,1.0,0.005376344086021506,0.1672185430463576,101.0,,,,0.0
22,0.32735182164219684,0.503382996172772,0.7621296296296296,0.004354926510615134,8.0,1837.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.010752688172043012,0.17363344051446947,108.0,,,,0.0
23,0.32843936922240347,0.5015775798069785,0.6706349206349207,0.003329633740288568,6.0,1802.0,186.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.4583333333333333,0.75,0.5,1.0,0.005376344086021506,0.16472545757071547,99.0,,,,0.0
24,0.3289831430125068,0.38432561558250644,0.7604166666666667,0.001651073197578426,3.0,1817.0,186.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.005376344086021506,0.17088607594936708,108.0,,,,0.0
25,0.3297081747326446,0.2781077348066298,0.27777777777777785,0.002205071664829107,4.0,1814.0,186.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1851851851851852,1.0,0.0,0.1811722912966252,102.0,,,,0.0
26,0.33007069059271343,0.41305555555555556,0.7222222222222222,0.0011098779134295228,2.0,1802.0,186.0,0.0,0.0,0.0,0.25,0.5,0.375,1.0,0.375,1.0,0.0,0.1652754590984975,99.0,,,,0.0
