round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.303063259017582,0.7565968021449826,0.6776785714285715,0.009361233480176211,17.0,1816.0,186.0,0.0,0.5,0.5,0.6,0.7,0.625,0.8,0.6503968253968254,1.0,0.026881720430107527,0.1983640081799591,97.0,1.9350649350649352,0.15814544177634404,0.06966993080926628,0.0
1,0.3083197389885807,0.6155095529158497,0.6530448717948718,0.015907844212835986,29.0,1823.0,186.0,0.0,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.7692307692307693,0.6153846153846154,0.7692307692307693,0.6469780219780219,1.0,0.03225806451612903,0.1970954356846473,95.0,,,,0.0
2,0.3126699293094073,0.6361837174442571,0.6873015873015873,0.013311148086522463,24.0,1803.0,186.0,0.0,0.4,0.4,0.5333333333333333,0.7,0.5983333333333334,1.0,0.5983333333333334,1.0,0.021505376344086023,0.19455252918287938,100.0,,,,0.0
3,0.31865144100054377,0.6843744709666497,0.6973928571428571,0.018102029621503018,33.0,1823.0,186.0,0.0,0.6363636363636364,0.6363636363636364,0.7424242424242423,0.9090909090909091,0.7424242424242423,0.9090909090909091,0.7537878787878788,1.0,0.03763440860215054,0.18200408997955012,89.0,,,,0.0
4,0.32227659960123256,0.6351867335562988,0.6307043650793651,0.011025358324145534,20.0,1814.0,186.0,0.0,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.6153846153846154,0.5153846153846154,0.8461538461538461,0.5359890109890111,1.0,0.021505376344086023,0.18181818181818182,92.0,,,,0.0
5,0.3248142106217147,0.4854687994931898,0.6903409090909091,0.007700770077007701,14.0,1818.0,186.0,0.0,0.18181818181818182,0.18181818181818182,0.4090909090909091,0.6363636363636364,0.4090909090909091,0.6363636363636364,0.45263347763347767,1.0,0.010752688172043012,0.18714555765595464,99.0,,,,0.0
6,0.32662678992205907,0.411923290717065,0.5493827160493827,0.00552791597567717,10.0,1809.0,186.0,0.0,0.1111111111111111,0.1111111111111111,0.24074074074074073,0.4444444444444444,0.26296296296296295,0.5555555555555556,0.3297619047619047,1.0,0.005376344086021506,0.1791044776119403,96.0,,,,0.0
7,0.3322457857531267,0.2239786729435261,0.6261446886446886,0.01684782608695652,31.0,1840.0,186.0,0.0,0.46153846153846156,0.46153846153846156,0.5,0.5384615384615384,0.5461538461538462,0.7692307692307693,0.5733821733821735,1.0,0.03225806451612903,0.1827956989247312,102.0,,,,0.0
8,0.3364147181439188,0.36806472522987543,0.6427045177045178,0.012540894220283533,23.0,1834.0,186.0,0.0,0.38461538461538464,0.38461538461538464,0.47435897435897434,0.6153846153846154,0.5282051282051282,0.8461538461538461,0.5495726495726495,1.0,0.026881720430107527,0.18574108818011256,99.0,,,,0.0
9,0.3387710712343665,0.16806526806526806,0.46944444444444444,0.007111597374179431,13.0,1828.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4777777777777778,0.8333333333333334,0.5015873015873016,1.0,0.010752688172043012,0.19767441860465115,102.0,,,,0.0
10,0.34275874569512416,0.1471825276173102,0.6028138528138528,0.012114537444933921,22.0,1816.0,186.0,0.0,0.2727272727272727,0.2727272727272727,0.4090909090909091,0.6363636363636364,0.4681818181818182,0.9090909090909091,0.4833333333333334,1.0,0.016129032258064516,0.18024263431542462,104.0,1.964705882352941,0.1441456913846513,0.07825288771325926,0.0
11,0.3438462932753308,0.09768869628024555,0.8194444444444444,0.0032397408207343412,6.0,1852.0,186.0,0.0,0.4,0.4,0.6,0.8,0.6,0.8,0.6333333333333334,1.0,0.010752688172043012,0.18024263431542462,104.0,,,,0.0
12,0.34547761464564075,0.13807774716865623,0.4781746031746032,0.004934210526315789,9.0,1824.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.4015873015873016,1.0,0.010752688172043012,0.17647058823529413,105.0,,,,0.0
13,0.34819648359615735,0.029588839941262865,0.4992592592592593,0.008192244675040962,15.0,1831.0,186.0,0.0,0.0,0.0,0.3055555555555555,0.6666666666666666,0.34722222222222215,0.8333333333333334,0.36388888888888893,1.0,0.0,0.18275862068965518,106.0,,,,0.0
14,0.35055283668660503,0.2602163461538462,0.673611111111111,0.007202216066481994,13.0,1805.0,186.0,0.0,0.125,0.125,0.2708333333333333,0.5,0.3520833333333333,0.875,0.3659722222222222,1.0,0.005376344086021506,0.1899159663865546,113.0,,,,0.0
15,0.35345296356715605,0.10763113839285712,0.6193783068783069,0.008849557522123894,16.0,1808.0,186.0,0.0,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.6785714285714286,0.8571428571428571,0.6928571428571428,1.0,0.021505376344086023,0.17907801418439717,101.0,,,,0.0
16,0.3547217690773971,0.13188634569850036,0.7520833333333334,0.003852504127682994,7.0,1817.0,186.0,0.0,0.4,0.4,0.5,0.6,0.55,0.8,0.5833333333333334,1.0,0.010752688172043012,0.1632,102.0,,,,0.0
17,0.3565343483777415,0.1378678511937812,0.538888888888889,0.005521811154058531,10.0,1811.0,186.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.375,0.6666666666666666,0.41250000000000003,1.0,0.005376344086021506,0.1832797427652733,114.0,,,,0.0
18,0.35762189595794813,0.13653170641523382,0.4074074074074074,0.003316749585406302,6.0,1809.0,186.0,0.0,0.0,0.0,0.13888888888888887,0.3333333333333333,0.20555555555555552,0.6666666666666666,0.24305555555555555,1.0,0.0,0.18421052631578946,112.0,,,,0.0
19,0.3583469276780859,0.17838753387533876,0.5416666666666667,0.002163331530557058,4.0,1849.0,186.0,0.0,0.0,0.0,0.125,0.25,0.3125,1.0,0.3125,1.0,0.0,0.1658119658119658,97.0,,,,0.0
20,0.359615733188327,0.05281551873085683,0.6941964285714286,0.0038335158817086527,7.0,1826.0,186.0,0.0,0.25,0.25,0.5,0.75,0.5625,1.0,0.5625,1.0,0.005376344086021506,0.18225806451612903,113.0,1.9896907216494846,0.13732142632449695,0.08554096985827714,0.0
21,0.3605220228384992,0.18541666666666667,0.5,0.002733734281027884,5.0,1829.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.611111111111111,1.0,0.611111111111111,1.0,0.611111111111111,1.0,0.005376344086021506,0.17973856209150327,110.0,,,,0.0
22,0.3612470545586369,0.08328796951551444,0.625,0.0021727322107550242,4.0,1841.0,186.0,0.0,0.25,0.25,0.25,0.25,0.3,0.5,0.3729166666666667,1.0,0.005376344086021506,0.1766612641815235,109.0,,,,0.0
23,0.36160957041870584,0.05851358846367166,0.0625,0.00110803324099723,2.0,1805.0,186.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.15000000000000002,1.0,0.0,0.1705685618729097,102.0,,,,0.0
24,0.3619720862787747,0.061606160616061584,0.4444444444444444,0.001098901098901099,2.0,1820.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,1.0,0.0,0.16946308724832215,101.0,,,,0.0
25,0.36251586006887804,0.3468938977460143,0.5,0.001646542261251372,3.0,1822.0,186.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.1722222222222222,1.0,0.0,0.18292682926829268,105.0,,,,0.0
26,0.3630596338589813,0.14597069597069595,0.6851851851851851,0.0016456390565002743,3.0,1823.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7222222222222223,1.0,0.010752688172043012,0.16797488226059654,107.0,,,,0.0
27,0.36342214971905024,0.3085339168490153,0.6666666666666667,0.001092896174863388,2.0,1830.0,186.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.005376344086021506,0.16803953871499178,102.0,,,,0.0
28,0.36360340764908466,0.19615384615384612,0.2222222222222222,0.0005491488193300384,1.0,1821.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.17983193277310924,107.0,,,,0.0
29,0.3637846655791191,0.7304515418502203,0.5,0.000550357732526142,1.0,1817.0,186.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.16778523489932887,100.0,,,,0.0
