round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30360703280768536,0.854551705170517,0.5953282828282829,0.01088139281828074,20.0,1838.0,186.0,0.0,0.45454545454545453,0.45454545454545453,0.5757575757575757,0.7272727272727273,0.5939393939393939,0.8181818181818182,0.6121212121212122,1.0,0.026881720430107527,0.18161925601750548,83.0,1.92,0.15606019618644304,0.09316623090037486,0.0
1,0.3135762189595795,0.823949950677535,0.7022869674185465,0.03045404208194906,55.0,1806.0,186.0,0.0,0.42105263157894735,0.42105263157894735,0.6140350877192983,0.8947368421052632,0.6271929824561403,0.9473684210526315,0.6347117794486214,1.0,0.043010752688172046,0.18008474576271186,85.0,,,,0.0
2,0.3190139568606126,0.8797829286239883,0.602922077922078,0.016286644951140065,30.0,1842.0,186.0,0.0,0.36363636363636365,0.36363636363636365,0.5757575757575757,0.8181818181818182,0.5757575757575757,0.8181818181818182,0.5949494949494949,1.0,0.021505376344086023,0.1917808219178082,84.0,,,,0.0
3,0.32499546855174916,0.9171540461043848,0.6329365079365079,0.018282548476454295,33.0,1805.0,186.0,0.0,0.38461538461538464,0.38461538461538464,0.5897435897435898,0.8461538461538461,0.6051282051282052,0.9230769230769231,0.6128205128205129,1.0,0.026881720430107527,0.2,88.0,,,,0.0
4,0.33387710712343666,0.7954873730314044,0.7441984126984127,0.027207107162687396,49.0,1801.0,186.0,0.0,0.5,0.5,0.6166666666666666,0.8,0.6491666666666667,0.95,0.6547222222222222,1.0,0.053763440860215055,0.21016166281755197,91.0,,,,0.0
5,0.3378647815841943,0.826167418749683,0.5311791383219955,0.012121212121212121,22.0,1815.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.4047619047619047,0.7142857142857143,0.4333333333333333,0.8571428571428571,0.44761904761904764,1.0,0.005376344086021506,0.1957040572792363,82.0,,,,0.0
6,0.34638390429581295,0.8161419398121524,0.4633364661654135,0.02578167855183763,47.0,1823.0,186.0,0.0,0.3684210526315789,0.3684210526315789,0.47368421052631576,0.631578947368421,0.5,0.7368421052631579,0.5330827067669173,1.0,0.03763440860215054,0.1958997722095672,86.0,,,,0.0
7,0.3518216421968461,0.8560311284046692,0.57680291005291,0.016402405686167305,30.0,1829.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.4666666666666666,0.6666666666666666,0.5066666666666666,0.8666666666666667,0.5257142857142857,1.0,0.026881720430107527,0.17842323651452283,86.0,,,,0.0
8,0.3556280587275693,0.8974751439037152,0.6623263888888888,0.011406844106463879,21.0,1841.0,186.0,0.0,0.375,0.375,0.5,0.625,0.575,1.0,0.575,1.0,0.016129032258064516,0.2151029748283753,94.0,,,,0.0
9,0.3630596338589813,0.7637669376693766,0.6448996265172735,0.022270505160239002,41.0,1841.0,186.0,0.0,0.47058823529411764,0.47058823529411764,0.6470588235294118,0.8823529411764706,0.6735294117647058,1.0,0.6735294117647058,1.0,0.043010752688172046,0.1851106639839034,92.0,,,,0.0
10,0.3684973717600145,0.2677962962962962,0.6707671957671958,0.01639344262295082,30.0,1830.0,186.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6055555555555556,0.7777777777777778,0.6399470899470899,1.0,0.026881720430107527,0.18664047151277013,95.0,1.89010989010989,0.13610819364711535,0.0949830753843785,0.0
11,0.37393510966104765,0.38109480812641083,0.49081101190476184,0.016648168701442843,30.0,1802.0,186.0,0.0,0.3125,0.3125,0.40625,0.5,0.4375,0.625,0.4908730158730159,1.0,0.026881720430107527,0.20041753653444677,96.0,,,,0.0
12,0.37792278412180536,0.2980205278592375,0.6341575091575092,0.012087912087912088,22.0,1820.0,186.0,0.0,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.6153846153846154,0.5876068376068376,1.0,0.03225806451612903,0.18290258449304175,92.0,,,,0.0
13,0.38317926409280406,0.225705329153605,0.6183028083028083,0.01601325234676974,29.0,1811.0,186.0,0.0,0.46153846153846156,0.46153846153846156,0.5641025641025641,0.6923076923076923,0.5948717948717949,0.8461538461538461,0.6121794871794871,1.0,0.03225806451612903,0.18401486988847585,99.0,,,,0.0
14,0.3851731013231829,0.017513222233310057,0.35648148148148145,0.006001091107474086,11.0,1833.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.425925925925926,1.0,0.005376344086021506,0.18271119842829076,93.0,,,,0.0
15,0.3889795178539061,0.18328495593734473,0.7402705627705628,0.011400651465798045,21.0,1842.0,186.0,0.0,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.8181818181818182,0.5681818181818182,0.9090909090909091,0.5811688311688311,1.0,0.016129032258064516,0.16820702402957485,91.0,,,,0.0
16,0.39206090266449156,0.09522886584617374,0.49747474747474746,0.009249183895538629,17.0,1838.0,186.0,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.36818181818181817,0.7272727272727273,0.40151515151515155,1.0,0.016129032258064516,0.20384615384615384,106.0,,,,0.0
17,0.39659235091535255,0.13423483583750695,0.6990740740740741,0.013721185510428101,25.0,1822.0,186.0,0.0,0.25,0.25,0.4166666666666667,0.5833333333333334,0.47500000000000003,0.8333333333333334,0.5007936507936509,1.0,0.016129032258064516,0.17970049916805325,108.0,,,,0.0
18,0.40203008881638574,0.14089729328883943,0.6912556689342403,0.016411378555798686,30.0,1828.0,186.0,0.0,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.7857142857142857,0.5857142857142856,0.8571428571428571,0.6065476190476191,1.0,0.026881720430107527,0.18032786885245902,110.0,,,,0.0
19,0.4065615370672467,0.06241855328547763,0.6231845238095238,0.013616557734204794,25.0,1836.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.40277777777777773,0.5,0.4611111111111111,0.75,0.4946759259259259,1.0,0.021505376344086023,0.16853932584269662,105.0,,,,0.0
20,0.40964292187783213,0.11451780271094104,0.6566840277777778,0.009284543965046422,17.0,1831.0,186.0,0.0,0.375,0.375,0.5,0.625,0.55625,0.875,0.5687500000000001,1.0,0.016129032258064516,0.16750418760469013,100.0,1.9473684210526316,0.12278203325459955,0.10819719259448918,0.0
21,0.4121805328983143,0.16264532568880397,0.5434027777777778,0.007743362831858407,14.0,1808.0,186.0,0.0,0.25,0.25,0.41666666666666663,0.625,0.4666666666666666,0.875,0.48452380952380947,1.0,0.010752688172043012,0.17224080267558528,103.0,,,,0.0
22,0.4168932390792097,0.0752522242560981,0.7623134920634922,0.014184397163120567,26.0,1833.0,186.0,0.0,0.4,0.4,0.65,0.9,0.65,0.9,0.6625,1.0,0.021505376344086023,0.17094017094017094,100.0,,,,0.0
