round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3049460467728349,0.48216941203385955,0.5716128117913832,0.12783505154639174,124.0,970.0,98.0,0.0,0.35714285714285715,0.35714285714285715,0.45238095238095244,0.5892857142857143,0.5050595238095238,0.8214285714285714,0.5282383786848073,1.0,0.20408163265306123,0.18581907090464547,76.0,1.7674418604651163,0.27542917746791606,0.22413842193029387,0.0
1,0.30975971759797827,0.3880434782608696,0.6428532454648526,0.12358393408856849,120.0,971.0,98.0,0.0,0.42857142857142855,0.42857142857142855,0.5446428571428571,0.6785714285714286,0.5705357142857143,0.7857142857142857,0.6006519274376417,1.0,0.24489795918367346,0.20297029702970298,82.0,,,,0.0
2,0.31529543904689317,0.42394784000556746,0.5759654836777478,0.14212152420185376,138.0,971.0,98.0,0.0,0.39622641509433965,0.39622641509433965,0.5220125786163522,0.6792452830188679,0.5484276729559747,0.7924528301886793,0.5760631925726265,1.0,0.21428571428571427,0.1941031941031941,79.0,,,,0.0
3,0.32002888202495083,0.41197567905895444,0.6325907029478458,0.121524201853759,118.0,971.0,98.0,0.0,0.4107142857142857,0.4107142857142857,0.5357142857142857,0.6964285714285714,0.5482142857142857,0.75,0.5820649092970521,1.0,0.23469387755102042,0.2044334975369458,83.0,,,,0.0
4,0.32488266677363714,0.3151704365060275,0.5262998056365403,0.12346938775510204,121.0,980.0,98.0,0.0,0.3877551020408163,0.3877551020408163,0.47959183673469385,0.6122448979591837,0.5132653061224489,0.7551020408163265,0.54477648202138,1.0,0.19387755102040816,0.1896551724137931,77.0,,,,0.0
5,0.3299370211400377,0.30041572184429327,0.6374068675089083,0.13043478260869565,126.0,966.0,98.0,0.0,0.4897959183673469,0.4897959183673469,0.6394557823129251,0.8163265306122449,0.6496598639455782,0.8571428571428571,0.6680191124068675,1.0,0.24489795918367346,0.1938534278959811,82.0,,,,0.0
6,0.33426932488266675,0.31725174142031937,0.6189011313745355,0.11020408163265306,108.0,980.0,98.0,0.0,0.425531914893617,0.425531914893617,0.5283687943262411,0.6595744680851063,0.5624113475177305,0.8085106382978723,0.5855707531239446,1.0,0.20408163265306123,0.20145631067961164,83.0,,,,0.0
7,0.3381603754663244,0.28923188287352164,0.6039471187025535,0.09897959183673469,97.0,980.0,98.0,0.0,0.3695652173913043,0.3695652173913043,0.503623188405797,0.6739130434782609,0.5242753623188405,0.7608695652173914,0.5584972394755003,1.0,0.17346938775510204,0.18527315914489312,78.0,,,,0.0
8,0.34080789442015325,0.24369382914035617,0.6103595478595478,0.06783144912641316,66.0,973.0,98.0,0.0,0.30303030303030304,0.30303030303030304,0.4646464646464646,0.6666666666666666,0.4722222222222222,0.696969696969697,0.5142977392977394,1.0,0.10204081632653061,0.18203309692671396,77.0,,,,0.0
9,0.34321472983272494,0.308804347826087,0.6772486772486773,0.061224489795918366,60.0,980.0,98.0,0.0,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.6666666666666666,0.4974358974358974,0.8205128205128205,0.5223850223850224,1.0,0.12244897959183673,0.18944844124700239,79.0,,,,0.0
10,0.3457419070159252,0.2542124542124542,0.623347275847276,0.06474820143884892,63.0,973.0,98.0,0.0,0.3783783783783784,0.3783783783783784,0.4414414414414415,0.5405405405405406,0.49144144144144136,0.7567567567567568,0.524088374088374,1.0,0.14285714285714285,0.1867881548974943,82.0,1.8372093023255813,0.2429859098998893,0.27285244881356924,0.0
11,0.3478679449636969,0.2992725619458968,0.7232125350140056,0.054865424430641824,53.0,966.0,98.0,0.0,0.4117647058823529,0.4117647058823529,0.5441176470588235,0.7058823529411765,0.5794117647058823,0.8529411764705882,0.5991363211951447,1.0,0.14285714285714285,0.18969555035128804,81.0,,,,0.0
12,0.34987364114083996,0.3093548387096774,0.7258403361344536,0.05102040816326531,50.0,980.0,98.0,0.0,0.4411764705882353,0.4411764705882353,0.5980392156862745,0.7647058823529411,0.6303921568627451,0.9117647058823529,0.6408029878618114,1.0,0.15306122448979592,0.17467248908296942,80.0,,,,0.0
13,0.3517991094708974,0.3519885337667028,0.7749295954941116,0.04943357363542739,48.0,971.0,98.0,0.0,0.41935483870967744,0.41935483870967744,0.5913978494623655,0.8064516129032258,0.6075268817204301,0.8709677419354839,0.6254480286738351,1.0,0.1326530612244898,0.18629550321199143,87.0,,,,0.0
14,0.3526013879417546,0.2825520833333333,0.622199074074074,0.02040816326530612,20.0,980.0,98.0,0.0,0.3333333333333333,0.3333333333333333,0.4305555555555555,0.5833333333333334,0.4930555555555555,0.8333333333333334,0.5106481481481481,1.0,0.04081632653061224,0.183585313174946,85.0,,,,0.0
15,0.3532432107184404,0.20319037656903766,0.5046296296296297,0.01646090534979424,16.0,972.0,98.0,0.0,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.4166666666666667,0.225,0.5,0.292691798941799,1.0,0.01020408163265306,0.17057569296375266,80.0,,,,0.0
16,0.3538449195715833,0.34314949705168224,0.6333333333333333,0.015368852459016393,15.0,976.0,98.0,0.0,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.4,0.39333333333333337,0.6666666666666666,0.43552910052910054,1.0,0.04081632653061224,0.1728395061728395,84.0,,,,0.0
17,0.3542861727305548,0.4909375593091669,0.4833333333333334,0.011351909184726523,11.0,969.0,98.0,0.0,0.3,0.3,0.3333333333333333,0.4,0.35333333333333333,0.5,0.41222222222222216,1.0,0.030612244897959183,0.1794871794871795,84.0,,,,0.0
18,0.3548878815836977,0.43550949913644216,0.557997557997558,0.015306122448979591,15.0,980.0,98.0,0.0,0.38461538461538464,0.38461538461538464,0.4230769230769231,0.46153846153846156,0.4423076923076923,0.5384615384615384,0.49508547008547016,1.0,0.05102040816326531,0.16733870967741934,83.0,,,,0.0
19,0.35548959043684064,0.3264654873395768,0.6028311965811964,0.015368852459016393,15.0,976.0,98.0,0.0,0.15384615384615385,0.15384615384615385,0.2948717948717949,0.5384615384615384,0.32948717948717954,0.6923076923076923,0.3728327228327229,1.0,0.02040816326530612,0.1744421906693712,86.0,,,,0.0
20,0.3561715271370693,0.3741982774418179,0.5063131313131314,0.017346938775510204,17.0,980.0,98.0,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.3590909090909091,0.6363636363636364,0.4103174603174603,1.0,0.030612244897959183,0.17551020408163265,86.0,1.9673913043478262,0.2360049178630219,0.18825635950735115,0.0
21,0.3566930081431265,0.3927483974358974,0.6666666666666666,0.013360739979445015,13.0,973.0,98.0,0.0,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.5384615384615384,0.3487179487179487,0.6153846153846154,0.40671550671550677,1.0,0.030612244897959183,0.18089430894308944,89.0,,,,0.0
22,0.35713426130209797,0.36373027798647634,0.6565656565656566,0.011235955056179775,11.0,979.0,98.0,0.0,0.2727272727272727,0.2727272727272727,0.3484848484848485,0.45454545454545453,0.4075757575757576,0.7272727272727273,0.44202741702741694,1.0,0.030612244897959183,0.17777777777777778,88.0,,,,0.0
23,0.35765574230815517,0.19753781783070487,0.7685185185185185,0.013415892672858616,13.0,969.0,98.0,0.0,0.5,0.5,0.5555555555555555,0.6666666666666666,0.5763888888888888,0.75,0.6134259259259259,1.0,0.061224489795918366,0.15851272015655576,81.0,,,,0.0
24,0.3581371093906695,0.4027203856749311,0.578125,0.012244897959183673,12.0,980.0,98.0,0.0,0.1,0.1,0.2,0.3,0.29,0.7,0.33166666666666667,1.0,0.01020408163265306,0.18012422360248448,87.0,,,,0.0
25,0.3586585903967267,0.3951157425821335,0.6990740740740741,0.013265306122448979,13.0,980.0,98.0,0.0,0.4166666666666667,0.4166666666666667,0.5138888888888888,0.6666666666666666,0.5305555555555556,0.75,0.5585648148148148,1.0,0.05102040816326531,0.17681728880157171,90.0,,,,0.0
26,0.358859160014441,0.46518595041322314,0.5888888888888889,0.0051387461459403904,5.0,973.0,98.0,0.0,0.0,0.0,0.1,0.2,0.15,0.4,0.23055555555555554,1.0,0.0,0.18055555555555555,91.0,,,,0.0
27,0.3593004131734125,0.42373842373842374,0.6931423611111112,0.011305241521068859,11.0,973.0,98.0,0.0,0.25,0.25,0.3958333333333333,0.625,0.4270833333333333,0.75,0.46354166666666663,1.0,0.02040816326530612,0.17248459958932238,84.0,,,,0.0
28,0.3596213245617554,0.37829287190082644,0.4930555555555556,0.00819672131147541,8.0,976.0,98.0,0.0,0.125,0.125,0.16666666666666666,0.25,0.22916666666666666,0.5,0.29424603174603176,1.0,0.01020408163265306,0.17922606924643583,88.0,,,,0.0
29,0.36006257772072686,0.18427518427518427,0.6640625,0.011305241521068859,11.0,973.0,98.0,0.0,0.125,0.125,0.375,0.75,0.375,0.75,0.41369047619047616,1.0,0.01020408163265306,0.1743486973947896,87.0,,,,0.0
