round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3002081216578197,0.9272020618272531,0.5954789752158173,0.015249604373471443,106.0,6951.0,758.0,0.0,0.3770491803278688,0.3770491803278688,0.5081967213114753,0.6557377049180327,0.5262295081967213,0.7377049180327869,0.5617551392141557,1.0,0.030343007915567283,0.12440612352630653,707.0,1.970873786407767,0.09596376414665694,0.0015338017795206943,0.0
1,0.30046557148949465,0.9359993967647071,0.6667917529330573,0.018674269422665715,131.0,7015.0,758.0,0.0,0.4057971014492754,0.4057971014492754,0.5314009661835749,0.6956521739130435,0.56256038647343,0.8405797101449275,0.5838739360478492,1.0,0.036939313984168866,0.12449517120280948,709.0,,,,0.0
2,0.3007780487661078,0.9377508302463708,0.6198650271512115,0.02298352124891587,159.0,6918.0,758.0,0.0,0.43037974683544306,0.43037974683544306,0.5506329113924051,0.6962025316455697,0.5677215189873418,0.7721518987341772,0.5997136829415312,1.0,0.044854881266490766,0.12241287811781355,692.0,,,,0.0
3,0.3010315680660015,0.9315157561579744,0.7082952815829529,0.018725504427347946,129.0,6889.0,758.0,0.0,0.5454545454545454,0.5454545454545454,0.632034632034632,0.7402597402597403,0.6528138528138528,0.8311688311688312,0.6761544011544012,1.0,0.055408970976253295,0.12750586960447896,706.0,,,,0.0
4,0.301230059920957,0.943153404912487,0.6838023088023087,0.014637681159420289,101.0,6900.0,758.0,0.0,0.417910447761194,0.417910447761194,0.554726368159204,0.7313432835820896,0.5898009950248756,0.8805970149253731,0.6056266287609572,1.0,0.036939313984168866,0.12468960624334871,703.0,,,,0.0
5,0.3014167601805686,0.9483553582019193,0.6844111514662361,0.013538549237565912,95.0,7017.0,758.0,0.0,0.41935483870967744,0.41935483870967744,0.5403225806451611,0.7096774193548387,0.5774193548387098,0.8709677419354839,0.5936507936507939,1.0,0.03430079155672823,0.12275132275132275,696.0,,,,0.0
6,0.3016860016075875,0.9407285857069301,0.6688439360119047,0.01989832970225127,137.0,6885.0,758.0,0.0,0.3384615384615385,0.3384615384615385,0.4974358974358974,0.676923076923077,0.5397435897435898,0.8615384615384616,0.5592490842490844,1.0,0.029023746701846966,0.1242094167252284,707.0,,,,0.0
7,0.30189431979199627,0.9416079127497389,0.7339420995670997,0.015366772977674688,106.0,6898.0,758.0,0.0,0.463768115942029,0.463768115942029,0.5942028985507246,0.7536231884057971,0.6152173913043478,0.8405797101449275,0.636904761904762,1.0,0.04221635883905013,0.125,704.0,,,,0.0
8,0.30216749175079644,0.9371960029149826,0.7029314735844586,0.02005482614341365,139.0,6931.0,758.0,0.0,0.5285714285714286,0.5285714285714286,0.6571428571428571,0.8142857142857143,0.675,0.8857142857142857,0.6897335600907031,1.0,0.048812664907651716,0.12447033898305085,705.0,,,,0.0
9,0.3023915320623304,0.9373299659994916,0.6117885487528345,0.016090331686661963,114.0,7085.0,758.0,0.0,0.3939393939393939,0.3939393939393939,0.4823232323232323,0.5757575757575758,0.5285353535353535,0.7878787878787878,0.5537157287157286,1.0,0.03430079155672823,0.12294795668878798,704.0,,,,0.0
10,0.3026136071079737,0.9232388657696637,0.6551566257816258,0.016214664944755344,113.0,6969.0,758.0,0.0,0.3888888888888889,0.3888888888888889,0.49537037037037046,0.625,0.5182870370370369,0.7222222222222222,0.5561177248677249,1.0,0.036939313984168866,0.12369676621311186,700.0,1.9166666666666667,0.0930352752299609,0.001559644243131396,0.0
11,0.3028022726334759,0.9317941226287263,0.6467126623376623,0.013745704467353952,96.0,6984.0,758.0,0.0,0.43283582089552236,0.43283582089552236,0.5174129353233831,0.6119402985074627,0.5450248756218905,0.7313432835820896,0.5824923004027481,1.0,0.03825857519788918,0.12078896840635364,692.0,,,,0.0
12,0.30308920145351065,0.9403976036936696,0.6726641414141413,0.0209559351227214,146.0,6967.0,758.0,0.0,0.46987951807228917,0.46987951807228917,0.5562248995983936,0.6626506024096386,0.5845381526104418,0.7831325301204819,0.6129661503155479,1.0,0.051451187335092345,0.12520007113640405,704.0,,,,0.0
13,0.30329358910613813,0.93181600099343,0.6328643578643579,0.01503324660306447,104.0,6918.0,758.0,0.0,0.4067796610169492,0.4067796610169492,0.53954802259887,0.7288135593220338,0.565819209039548,0.847457627118644,0.5860304008609094,1.0,0.0316622691292876,0.12436055741753396,705.0,,,,0.0
14,0.3034940462269843,0.9319394234237256,0.6720270097286227,0.014335910049191849,102.0,7115.0,758.0,0.0,0.375,0.375,0.5182291666666666,0.703125,0.5416666666666666,0.8125,0.5659164186507937,1.0,0.0316622691292876,0.12225705329153605,702.0,,,,0.0
15,0.30370432967728367,0.9277941643784272,0.6587597725657427,0.015309772499642296,107.0,6989.0,758.0,0.0,0.4411764705882353,0.4411764705882353,0.5392156862745098,0.6764705882352942,0.578921568627451,0.8529411764705882,0.599171335200747,1.0,0.0395778364116095,0.12412709497206705,711.0,,,,0.0
16,0.3039676753066306,0.9270026756068469,0.6219388138138139,0.018929227291990394,134.0,7079.0,758.0,0.0,0.34210526315789475,0.34210526315789475,0.46491228070175433,0.618421052631579,0.500438596491228,0.7631578947368421,0.5326493316624896,1.0,0.03430079155672823,0.1206508568461139,697.0,,,,0.0
17,0.3042054724793991,0.919307355865769,0.6780140455304928,0.017330277857347465,121.0,6982.0,758.0,0.0,0.4230769230769231,0.4230769230769231,0.5363247863247863,0.6923076923076923,0.5767094017094018,0.8717948717948718,0.5927808302808304,1.0,0.04353562005277045,0.12411971830985916,705.0,,,,0.0
18,0.30448454023587124,0.9439536114277776,0.6462119708994708,0.020181921546333144,142.0,7036.0,758.0,0.0,0.4594594594594595,0.4594594594594595,0.5563063063063063,0.6756756756756757,0.5684684684684684,0.7297297297297297,0.603555341055341,1.0,0.044854881266490766,0.12414638417089827,709.0,,,,0.0
19,0.30478326065124983,0.9568080322650432,0.7300672398589065,0.021826536473291212,152.0,6964.0,758.0,0.0,0.5822784810126582,0.5822784810126582,0.6687763713080169,0.7721518987341772,0.6947257383966244,0.8860759493670886,0.7103325296363271,1.0,0.06068601583113457,0.12308786908573462,692.0,,,,0.0
20,0.3050210578240183,0.9387323485390773,0.6755594053541816,0.017337727468118642,121.0,6979.0,758.0,0.0,0.4927536231884058,0.4927536231884058,0.6231884057971014,0.7681159420289855,0.6492753623188406,0.8840579710144928,0.6629802162410859,1.0,0.044854881266490766,0.12087336244541484,692.0,1.891089108910891,0.09030312569727467,0.00158854168671942,0.0
21,0.3052844034533652,0.9313318527711553,0.7013150492264417,0.01917298612104736,134.0,6989.0,758.0,0.0,0.43373493975903615,0.43373493975903615,0.5682730923694781,0.7349397590361446,0.6050200803212853,0.891566265060241,0.6198125836680054,1.0,0.047493403693931395,0.12351709699930216,708.0,,,,0.0
22,0.3055732975392906,0.9482328908068367,0.6255669710806697,0.02112979732643381,147.0,6957.0,758.0,0.0,0.39473684210526316,0.39473684210526316,0.5263157894736842,0.6710526315789473,0.5546052631578947,0.7894736842105263,0.581484962406015,1.0,0.0395778364116095,0.12604296112195987,710.0,,,,0.0
23,0.30583860843452815,0.9257288342431949,0.6749766865079365,0.01930225907921075,135.0,6994.0,758.0,0.0,0.325,0.325,0.4854166666666666,0.6875,0.5116666666666667,0.8,0.5396031746031745,1.0,0.03430079155672823,0.12104708362614196,689.0,,,,0.0
24,0.30606854454373406,0.9590490536397183,0.6990633423180592,0.016728624535315983,117.0,6994.0,758.0,0.0,0.543859649122807,0.543859649122807,0.6666666666666666,0.8245614035087719,0.6754385964912281,0.8596491228070176,0.695036201615149,1.0,0.040897097625329816,0.12220461348829019,694.0,,,,0.0
25,0.30630241118472123,0.9468331652986163,0.6858946339729922,0.01697090701654307,119.0,7012.0,758.0,0.0,0.43478260869565216,0.43478260869565216,0.570048309178744,0.7246376811594203,0.6019323671497585,0.8695652173913043,0.6189958592132506,1.0,0.0395778364116095,0.12061711079943899,688.0,,,,0.0
26,0.3065146599009113,0.9395022574338701,0.6739025974025974,0.015503875968992248,108.0,6966.0,758.0,0.0,0.4107142857142857,0.4107142857142857,0.5625,0.7678571428571429,0.5821428571428572,0.8571428571428571,0.599454365079365,1.0,0.030343007915567283,0.12354599929502996,701.0,,,,0.0
27,0.3068428593046496,0.9390595103024809,0.6866816748066749,0.02408769652387134,167.0,6933.0,758.0,0.0,0.44047619047619047,0.44047619047619047,0.5734126984126984,0.75,0.5954365079365079,0.8452380952380952,0.6145738851095994,1.0,0.048812664907651716,0.12693333333333334,714.0,,,,0.0
28,0.30704331642549576,0.933300109409817,0.676295862607338,0.01468048359240069,102.0,6948.0,758.0,0.0,0.4098360655737705,0.4098360655737705,0.5300546448087431,0.6885245901639344,0.5677595628415302,0.8524590163934426,0.5889799635701276,1.0,0.032981530343007916,0.122602023020579,703.0,,,,0.0
29,0.3073322105114211,0.9369946377127364,0.6385518483709273,0.02133217239878102,147.0,6891.0,758.0,0.0,0.3974358974358974,0.3974358974358974,0.4850427350427351,0.6025641025641025,0.5299145299145299,0.7948717948717948,0.5608719983719984,1.0,0.040897097625329816,0.12535663338088446,703.0,,,,0.0
